epoch,spent_eps
1,0.1010,25.5435,25.4628
2,0.1011,25.5367,25.5048
3,0.1013,25.4994,25.4169
4,0.1014,25.3993,25.2822
5,0.1017,25.2138,25.0341
6,0.1019,24.9639,24.8315
7,0.1023,24.8337,24.7615
8,0.1026,24.6972,24.6400
9,0.1030,24.5736,24.4998
10,0.1035,24.4728,24.3732
11,0.1040,24.3037,24.1331
12,0.1046,24.1353,24.0441
13,0.1052,23.9309,23.8553
14,0.1058,23.8463,23.7382
15,0.1065,23.6977,23.5604
16,0.1072,23.4048,23.2177
17,0.1080,23.1027,22.9386
18,0.1088,22.7849,22.6020
19,0.1097,22.4318,22.2689
20,0.1106,21.9986,21.6997
21,0.1116,21.4378,21.2094
22,0.1126,21.1916,21.1915
23,0.1137,20.7788,20.5945
24,0.1148,20.6722,20.4923
25,0.1159,20.4948,20.3645
26,0.1171,20.2249,20.0852
27,0.1183,19.7902,19.8206
28,0.1196,19.6226,19.7382
29,0.1210,19.5300,19.2013
30,0.1223,19.1911,19.3218
31,0.1238,19.0803,19.2186
32,0.1252,19.0847,19.0331
33,0.1267,18.9449,18.9271
34,0.1283,18.6578,18.6738
35,0.1299,18.3417,18.7841
36,0.1316,18.6022,18.5021
37,0.1333,18.0869,18.1751
38,0.1350,17.8036,18.4229
39,0.1368,18.2064,18.3881
40,0.1386,18.4919,18.6996
41,0.1405,18.5194,18.6109
42,0.1424,18.6405,19.0044
