hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,recall
"(64, 32)",101,0.27635394201074476,0.0007266226629461662,0.04916278144991648,0.7794677063882551,83,469,0.2805206073752712
"(64,)",98,0.2509268037350467,0.00032806825141995706,0.0245514517676966,0.6943656668308986,87,497,0.25214750542299347
"(64,)",71,0.28493207255550507,0.00043271426225536007,0.029848271724270552,0.4921006072387577,90,347,0.29067245119305857
"(64,)",120,0.1495205707200266,0.0002376234910589268,0.09880072912301509,0.765463958292609,91,165,0.23635574837310197
"(64,)",77,0.03083459231931332,0.0008988744909032323,0.07506283260620818,0.6930164371153095,85,405,0.23071583514099783
"(64, 32)",90,0.19892351452954476,0.0006904122796439079,0.09167819750696789,0.1097110943352296,85,278,0.2636008676789588
"(64,)",129,0.19235685117942336,0.0008059079645759442,0.02834202313983659,0.4335514027482146,75,337,0.23227765726681132
"(64,)",64,0.3211594587424358,0.000544771069447743,0.04010745299141578,0.5597559623444768,91,298,0.28459869848156183
"(64, 32)",115,0.38938710296415713,3.1667235282327536e-05,0.052727187674632206,0.6476152426079412,84,210,0.4144034707158351
"(64, 32)",139,0.4,0.0006384578714794044,0.06425538375604099,0.31511917993984184,88,150,0.26924078091106296
"(64, 32)",75,0.27539918272391256,0.00017430789856681295,0.00036683404601433136,0.999,78,537,0.44216919739696314
"(64, 32)",139,0.12905469125409716,0.00017729599378509163,0.07583609105813247,0.001,88,597,0.2978741865509761
"(64, 32)",68,0.0,1e-06,0.1,0.999,95,700,0.3047288503253796
"(64, 32)",150,0.4,1e-06,0.016012177147953985,0.785620415645533,75,150,0.22629067245119305
"(64, 32)",89,0.3795230910031121,8.435495752141056e-06,0.04516412251447436,0.999,80,255,0.34438177874186554
"(64, 32)",103,0.1558546067943944,0.00014482199785746512,0.06933677441773971,0.7368130299480925,81,627,0.23323210412147505
"(64, 32)",70,0.32670940249669206,0.00027406140805355436,0.0001,0.9100853643454893,80,204,0.5607809110629068
"(64, 32)",68,0.35115512683401534,0.00029381134626558174,0.0001,0.9402766160110462,79,150,0.6099783080260304
"(64, 32)",64,0.4,0.00101,0.1,0.001,95,700,0.31644251626898046
"(64, 32)",64,0.0,1e-06,0.0001,0.999,87,150,0.23297180043383953
"(64,)",64,0.4,0.00101,0.0001,0.001,95,700,0.22637744034707158
"(64, 32)",64,0.4,0.00101,0.09431539268443054,0.001,75,150,0.36260303687635576
"(64, 32)",64,0.3807868536300787,0.000302130967914947,0.0001,0.9648516912908606,79,150,0.562169197396963
"(64,)",71,0.22475891194767914,0.0006158198168376365,0.0001,0.36646820402846497,79,150,0.30872017353579173
"(64, 32)",71,0.3819369796210218,0.0005127831649058089,0.0001,0.34227164816307515,81,150,0.31470715835140994
"(64, 32)",69,0.359385543419534,6.457714979527821e-05,0.0001,0.9818639794913143,75,222,0.5520173535791757
"(64, 32)",64,0.32976452505257386,0.0007562343550819794,0.0001,0.9263348282106338,80,150,0.3694577006507592
"(64,)",71,0.37052202467735895,0.0003041953715902303,0.0001,0.999,75,210,0.33197396963123643
"(64, 32)",70,0.3705790407424824,0.00027884603461709626,0.0001,0.999,85,150,0.5516702819956617
"(64, 32)",64,0.33654718851029297,0.0002149672767277466,0.0001,0.9587710461098493,75,150,0.5989587852494577
"(64, 32)",65,0.3442318170138228,0.0002236513284482566,0.04515442617105257,0.9496192311722753,75,150,0.5320607375271148
"(64, 32)",64,0.34418854017149164,0.00018911538602745383,0.0001,0.894640240780706,95,150,0.5960954446854665
"(64, 32)",64,0.34990296687073275,0.00021731610849608837,0.0001,0.9460076942947562,80,654,0.28789587852494575
"(64, 32)",66,0.30090450687248993,0.00011782253345186397,0.0001,0.999,92,150,0.5691106290672451
"(64, 32)",66,0.33728194498195824,0.00010196842567110509,0.0001,0.8035808508189978,75,150,0.5573101952277657
"(64, 32)",150,0.0,0.00101,0.0001,0.999,77,700,0.2327114967462039
"(64, 32)",64,0.32927682083542764,0.0002584101477012786,0.0001,0.999,95,150,0.6064208242950108
"(64, 32)",118,0.4,1e-06,0.1,0.001,84,700,0.3625162689804772
"(64,)",150,0.4,0.00101,0.1,0.999,91,700,0.16468546637744036
"(64, 32)",64,0.34486587728582185,0.00018285156465791693,0.0001,0.999,75,150,0.5907158351409978
"(64, 32)",64,0.3161951546562298,0.0002901650206778304,0.0001,0.999,75,150,0.6046854663774404
"(64, 32)",64,0.4,1e-06,0.1,0.4027590494038397,77,150,0.26577006507592194
"(64,)",150,0.0,1e-06,0.0001,0.001,91,150,0.3133188720173536
"(64,)",115,0.4,1e-06,0.0001,0.001,78,150,0.31626898047722346
"(64, 32)",64,0.32511174461471903,0.000289976560648637,0.0001,0.999,95,150,0.6037310195227766
"(64, 32)",121,0.4,1e-06,0.0001,0.999,84,700,0.24095444685466375
"(64,)",64,0.0,1e-06,0.00010000000000000034,0.001,80,700,0.39167028199566156
"(64, 32)",64,0.32029519378728133,0.00028583556673858994,0.0001,0.9017762310843699,79,150,0.6051193058568328
"(64, 32)",67,0.30367441568037656,0.0002622738286824849,0.0001,0.7555896079284797,95,150,0.4584815618221258
"(64, 32)",64,0.4,1e-06,0.0001,0.8415955071388361,75,150,0.22750542299349244
"(64, 32)",64,0.3517113740948152,0.000328005825451646,0.0001,0.8942676147226843,87,150,0.5741431670281996
"(64, 32)",97,0.31876825395590846,1e-06,0.0001,0.9018620155551681,76,150,0.22325379609544468
"(64, 32)",69,0.19108987947306952,0.00014368298463907222,0.0001,0.999,82,302,0.5956616052060737
"(64, 32)",110,0.2749022667010369,0.00012146694887737216,0.1,0.999,94,255,0.252234273318872
"(64, 32)",83,0.17492684632284894,0.0003245000756469041,0.0401994403079275,0.999,84,150,0.541952277657267
"(64, 32)",73,0.1009224274903402,0.00011089523067382199,0.0001,0.8271409607624096,75,299,0.4844251626898048
"(64, 32)",142,0.16779461051882597,0.00014696626004604403,0.0001,0.999,83,150,0.5846420824295011
