hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,recall
"(64, 32)",101,0.13817697100537238,0.0007331927946470345,0.04916278144991648,0.3170041642868119,86,0.27913232104121477
"(64, 32)",76,0.08020351133224074,0.000645951158870736,0.03248267424861616,0.23671389154308797,90,0.34056399132321047
"(64, 32)",118,0.08805143561281528,0.00012954016033540515,0.07126178512073739,0.26417952362567293,84,0.28173535791757043
"(64,)",128,0.07154578376180437,0.00044634945062407085,0.06550665861623502,0.25607021402000996,84,0.2676789587852495
"(64, 32)",130,0.15540088777795613,7.658285729080153e-05,0.017473260972046416,0.223112336277027,81,0.3993058568329718
"(64, 32)",64,0.0,0.001,0.0001,0.35,95,0.3289370932754881
"(64,)",142,0.039656392509532665,0.00017476649377472922,0.004039059225603848,0.24003997600319207,80,0.2786117136659436
"(64, 32)",134,0.17164742220480309,5.091504642452791e-05,0.004891143083491378,0.2131012927623373,80,0.3757917570498915
"(64, 32)",96,0.15116616450395176,0.0004874875540715031,0.017546559123624114,0.22483195943719356,94,0.2732321041214751
"(64, 32)",134,0.14721762726560025,0.00033756042751381627,0.05430702641558388,0.34193006429100536,86,0.27071583514099784
"(64, 32)",81,0.13077245587624098,0.00048099389241621616,0.008677005766723984,0.2622302728967435,81,0.3228633405639913
"(64, 32)",141,0.15360813222831382,0.0008104451457438038,0.03767444884484692,0.2075612330556943,82,0.24052060737527117
"(64, 32)",129,0.18505918441053798,5e-05,0.008371923799361925,0.20759167800507383,80,0.3971366594360087
"(64, 32)",65,0.0479303881500293,0.0005577143660832198,0.0403654032082409,0.30284139552269457,87,0.328590021691974
"(64,)",129,0.0055303764605957005,0.0002558366130655772,0.010893953202824559,0.25922424861380244,82,0.2880694143167028
"(64, 32)",125,0.0512597451513399,5e-05,0.016823388517353252,0.23878317074722427,89,0.4
"(64, 32)",125,0.14616250545786316,0.00017328849175591497,0.009096457371578564,0.34421638928042186,86,0.31383947939262474
"(64, 32)",126,0.17456862670014683,5e-05,0.018685769234663075,0.2,84,0.39349240780911066
"(64,)",96,0.14703489548358256,5e-05,0.009898949362936942,0.23696470810261766,84,0.3551409978308026
"(64, 32)",131,0.0,5e-05,0.013473541526849058,0.35,90,0.4280260303687635
"(64, 32)",150,0.006526773002255452,5e-05,0.016994742817287148,0.35,90,0.3664208242950108
"(64,)",134,0.19931957781526688,5e-05,0.018922927833123965,0.35,81,0.2974403470715835
"(64,)",64,0.13010744163734195,5e-05,0.0024198393587962653,0.35,80,0.4726247288503254
"(64,)",68,0.14205059879266824,5e-05,0.00663277249415107,0.315797411615233,80,0.46637744034707157
"(64,)",64,0.017315487046149262,0.0001350598640262305,0.0016614034864478652,0.2,94,0.34490238611713664
"(64,)",64,0.1222512003052191,5e-05,0.005246337450448456,0.35,80,0.47175704989154016
"(64,)",64,0.2,5e-05,0.0254344044133967,0.34930764259065095,80,0.4325379609544468
"(64,)",65,0.05652845752154365,5e-05,0.0001,0.35,80,0.4726247288503254
"(64,)",65,0.012472151288896574,5e-05,0.0007043733893400188,0.35,80,0.471236442516269
"(64,)",64,0.2,0.000127005724885761,0.0001,0.2097256479204615,80,0.3525379609544469
"(64, 32)",64,0.1988711218258102,5e-05,0.0001,0.35,82,0.4317570498915401
"(64,)",64,0.0961387080880569,0.001,0.1,0.2,84,0.24147505422993495
"(64,)",64,0.09420324002048369,5e-05,0.0015865890618810639,0.35,80,0.47592190889370933
"(64, 32)",64,0.17284354935419635,5e-05,0.1,0.3173932102375703,89,0.4214316702819957
"(64,)",64,0.09177934606339745,5e-05,0.1,0.2,95,0.3076789587852494
"(64, 32)",64,0.18706202212291867,5e-05,0.045496824126407036,0.35,94,0.43566160520607367
"(64, 32)",64,0.16687434019417452,0.0001978162584602314,0.1,0.35,91,0.29553145336225595
"(64,)",64,0.19560141218824817,5e-05,0.0001,0.26762241610245646,95,0.4672451193058569
"(64,)",150,0.021880605959143,0.001,0.1,0.35,92,0.18655097613882865
"(64, 32)",83,0.08459061742155917,5e-05,0.0001,0.35,92,0.42203904555314536
"(64,)",64,0.08217248365139133,0.0006871899308403488,0.0001,0.35,83,0.25379609544468545
"(64,)",64,0.07138580588954423,0.00038427290046784976,0.0001,0.35,83,0.2641214750542299
"(64,)",150,0.013575211495418328,0.000637985298941239,0.1,0.35,89,0.2299349240780911
"(64,)",64,0.0,5e-05,0.0001,0.35,95,0.4466811279826464
"(64,)",64,0.2,5e-05,0.0001,0.26504669040977674,80,0.467765726681128
"(64, 32)",64,0.2,5e-05,0.028592158026814002,0.2,80,0.4400867678958786
"(64, 32)",64,0.08980557171349052,0.0007850445383460496,0.1,0.2,95,0.3716268980477223
"(64,)",64,0.1432635090863967,5e-05,0.0001,0.35,80,0.4731453362255965
"(64, 32)",109,0.2,5e-05,0.016117884179203668,0.35,80,0.4170065075921909
"(64, 32)",64,0.022289064083297873,0.0008156451517246981,0.0001,0.2,84,0.3714533622559653
