hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,f1_score
"(64, 32)",105,0.3108168608427519,0.0007649550132885497,0.043187641764117934,0.3041365829448718,95,606,-1.0
"(64, 32)",116,0.3469011606306107,0.0004986733883762845,0.006324425531389136,0.8631079206283357,84,612,0.422700529174451
"(64,)",93,0.15778064537194472,0.0007164002213485474,0.03877527479482583,0.4672789878844793,93,233,-1.0
"(64, 32)",106,0.2413159060537105,0.00043131587575166795,0.06868446985794635,0.8764730543955166,78,499,-1.0
"(64,)",66,0.14553328063451607,0.0003096885938138717,0.00617404691887221,0.24130877760365607,81,539,-1.0
"(64,)",122,0.18702643181504308,0.0004978166105490299,0.05694544105050963,0.2694479344366237,92,549,-1.0
"(64, 32)",127,0.1371842044533401,0.0004896783995821722,0.05517838793287595,0.6252115216002467,79,429,-1.0
"(64,)",64,0.0,0.001,0.0001,0.999,75,150,0.491366379744124
"(64, 32)",76,0.2979425374603356,0.00048523779039697705,0.023541642499547863,0.999,90,150,-1.0
"(64, 32)",87,0.37940967055971064,0.00023790261104507653,0.04348276448534701,0.8057885425309984,91,195,-1.0
"(64,)",121,0.24678968921941258,0.0005346663560067186,0.1,0.001,91,180,-1.0
"(64,)",145,0.10270906984361504,0.0008332061840541983,0.08234945181061355,0.10442965598881508,86,652,-1.0
"(64,)",140,0.13563404426829515,8.63366982582122e-05,0.09647545728510734,0.17660997089806643,83,171,-1.0
"(64, 32)",114,0.023202368287888214,0.0002954153680302108,0.06783071458994891,0.14302848574666677,82,574,-1.0
"(64, 32)",124,0.25019226304277054,0.00039406779372405724,0.0001,0.7443394236794644,94,274,0.3950891102941818
"(64,)",90,0.29341148640960707,0.0008589927417691727,0.1,0.999,91,625,-1.0
"(64,)",111,0.11987953339576218,0.0006073023996341593,0.026032893704564686,0.001056886114721342,88,355,-1.0
"(64, 32)",120,0.37087571294551186,0.00040298627702716735,0.013967981415801597,0.606596277788869,79,321,-1.0
"(64,)",103,0.05096019247355356,0.0006710386068443747,0.01032590841724491,0.7253318085098709,75,199,-1.0
"(64, 32)",145,0.11690039470930558,0.0009868804772407808,0.002335368731581052,0.999,82,659,0.4912073380039954
"(64, 32)",149,0.320352189049107,0.00039363262511120183,0.08497000600521108,0.9917894194493173,87,650,-1.0
"(64, 32)",82,0.2343326128081198,0.0007622921655546862,0.0001,0.9862497686543404,86,417,0.49090864737776657
"(64, 32)",90,0.23860384476234775,0.0005067819940932688,0.1,0.6838576853134608,80,584,0.3843119260125768
"(64, 32)",96,0.042309990030100005,0.000789030017459759,0.1,0.5903505855200715,94,446,-1.0
"(64,)",146,0.13364336845227184,0.000273815318926432,0.1,0.5654863653671388,75,680,-1.0
"(64, 32)",71,0.008755619489692652,0.0007430415607282895,0.004761292218191975,0.8419407037220183,93,236,-1.0
"(64, 32)",108,0.4,0.0007141889847425769,0.0001,0.999,80,449,0.5076566125290023
"(64,)",138,0.36165398461487785,0.000634996797826979,0.004560858010173353,0.7898088137901258,90,451,0.4045416637386669
"(64, 32)",64,0.16173915194165914,0.0007834566873109115,0.1,0.1060369323220276,75,538,-1.0
"(64, 32)",121,0.0,1e-06,0.0001,0.999,87,611,0.2681724032872125
"(64, 32)",126,0.4,0.001,0.1,0.7334223849844049,85,614,-1.0
"(64, 32)",114,0.4,0.001,0.0001,0.999,86,151,0.5104917076215282
"(64, 32)",98,0.38190309763644925,0.00040342250452355625,0.0001,0.7565806410779041,79,253,0.39775203078440036
"(64, 32)",70,0.3357344278910256,0.00023296679646823642,0.006798478658865978,0.8774120313875187,86,450,0.4239952248308794
"(64, 32)",93,0.3282441927088403,0.001,0.017674631654897504,0.8711227861303827,79,552,0.4174293672900915
"(64, 32)",81,0.13052950497869462,0.00035515533390786583,0.1,0.7580499749021239,86,578,-1.0
"(64, 32)",115,0.0016267779282695682,1e-06,0.013582094897341643,0.7739105487838092,85,638,0.27137263104029025
"(64, 32)",124,0.12516452171034995,1e-06,0.1,0.664130831522568,91,492,0.2626262626262626
"(64,)",140,0.4,0.0009563093481223968,0.0010675404596435234,0.9895772391138478,95,150,0.4956332262066582
"(64,)",110,0.07516859306313961,1e-06,0.0783343969755837,0.6789216663155151,76,288,-1.0
"(64, 32)",83,0.021635822017589387,0.001,0.0001,0.9545673342624881,77,612,0.42402984757682327
"(64, 32)",142,0.31620289025423376,0.001,0.0033903012546673194,0.9237704314305286,79,385,0.44814668357075427
"(64,)",101,0.3053022578669587,1e-06,0.013934394168572794,0.9377482431318973,85,265,-1.0
"(64, 32)",105,0.34588176028408324,0.001,0.0001,0.9010986030165097,76,386,0.434341424592121
"(64, 32)",140,0.33103363177474626,1e-06,0.030303814329156627,0.873152079681348,92,297,0.24630083537996172
"(64,)",117,0.19045018086301652,0.00044581561238543117,0.1,0.3986238350672745,82,257,-1.0
"(64,)",126,0.36693424696851973,0.001,0.0001,0.8751597347316419,76,290,0.41802626343016314
"(64, 32)",136,0.4,1e-06,0.018415733285158737,0.8184301398904278,92,496,0.24224135910670835
"(64, 32)",105,0.4,3.4680998781598456e-05,0.0001,0.4174689384824168,79,535,0.36919508116956556
"(64, 32)",117,0.0,0.0008179107239175679,0.0001,0.4507414069946688,93,308,-1.0
"(64,)",150,0.4,0.001,0.0001,0.999,95,700,0.48149621965777956
"(64, 32)",118,0.18995767822514187,0.0001542247082047519,0.0001,0.999,88,191,0.4972144846796658
"(64, 32)",127,0.4,0.0005499007301016561,0.0001,0.999,92,450,0.5100283167898159
"(64,)",121,0.4,0.001,0.025185230618170944,0.999,91,484,-1.0
"(64, 32)",102,0.4,1e-06,0.0001,0.3701260348508887,80,681,0.27551375827237895
"(64, 32)",68,0.4,0.00046957006546907265,0.0001,0.791188492083431,87,301,0.4038662486938349
"(64,)",67,0.0,0.000703538617993224,0.0001,0.999,83,567,0.520891364902507
"(64,)",101,0.4,0.0006699614223907175,0.0001,0.5647895702001334,85,232,-1.0
"(64, 32)",150,0.4,0.0004291738890526684,0.0001,0.999,83,700,0.5123358535614803
"(64,)",137,0.4,0.0005567901225371326,0.0001,0.8819852940628738,95,348,0.4199378834380275
"(64, 32)",140,0.23511873713163395,0.0001318520691932405,0.0001,0.6906254825483042,95,468,0.38232227221233805
"(64,)",97,0.2585168233793295,0.0007364313579976491,0.0001,0.9259895603420903,95,421,0.42001376887554964
"(64, 32)",118,0.11216534264482117,1e-06,0.1,0.32794535006911624,95,692,0.2927551375827238
"(64, 32)",121,0.4,0.0007968143702880631,0.0001,0.999,79,700,0.5162412993039442
"(64,)",104,0.4,0.0005116422552644881,0.004176350713141358,0.999,93,160,0.49442896935933145
"(64, 32)",84,0.18919350788548908,1e-06,0.025355650996579004,0.15233214712196916,76,317,-1.0
"(64,)",132,0.2857455532823441,0.001,0.06350047451824202,0.999,75,648,-1.0
"(64, 32)",119,0.4,0.001,0.018654257966588036,0.24706671282870687,75,150,-1.0
"(64, 32)",150,0.4,0.0002198605817190574,0.0001,0.7587713859721096,87,588,0.3877260980719285
"(64,)",105,0.18819348773117306,1e-06,0.014415599834872516,0.5378966510719693,90,700,-1.0
"(64, 32)",96,0.0049266219749760625,1e-06,0.012856510436593225,0.6136734324524503,87,586,0.28126088470916055
"(64,)",96,0.0,0.00021357019118813407,0.0001,0.999,84,700,0.48400466068324066
"(64,)",83,0.26976267767077594,0.0003757778289206898,0.0001,0.999,94,352,0.48865897333863906
"(64,)",99,0.4,0.001,0.009414821529714932,0.999,90,150,0.48986274507357974
"(64,)",87,0.22419116125391178,0.0005137321253335323,0.004257031863057734,0.6029477639429859,93,456,-1.0
"(64, 32)",112,0.4,1e-06,0.1,0.28701842525480725,81,263,0.2765586903517938
"(64,)",92,0.4,0.0006592118357172827,0.0045912398688399995,0.999,94,598,0.47652208515718264
"(64, 32)",116,0.2749491437163493,0.0001414073155608902,0.0001,0.001,82,362,-1.0
"(64, 32)",77,0.03411222709578785,1e-06,0.0034919615599073263,0.6481604084197466,76,495,0.2915360501567398
"(64, 32)",115,0.28034819270185657,1e-06,0.01853982110868703,0.3940519018329047,77,547,0.2748367031983367
"(64, 32)",109,0.10978889792120478,0.001,0.1,0.3062463565558767,92,379,-1.0
"(64, 32)",140,0.33112338610739345,0.001,0.06205916667181473,0.001,89,242,-1.0
"(64,)",86,0.3758206229855682,1e-06,0.03954638373222,0.999,75,531,-1.0
"(64, 32)",139,0.13721122541491002,0.0003625830629344583,0.005252813957488682,0.999,91,677,0.49801034619976126
"(64, 32)",89,0.12328690828866135,0.001,0.1,0.659655339719546,76,223,-1.0
