hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,f1_score
"(64,)",118,0.2908369744544771,0.0006230515009749863,0.0319098495470006,0.9084847829293958,78,224,-1.0
"(64,)",109,0.2696710901403572,0.00022791459434104818,0.08054924989521194,0.8672658434160735,83,520,-1.0
"(64,)",124,0.2313706609284282,0.00011127343539858935,0.04729965612409575,0.9254730735929809,93,483,-1.0
"(64, 32)",96,0.1922702640583102,0.0009777809222126534,0.09273272215873597,0.6766046010159151,91,362,-1.0
"(64,)",135,0.14599889935388294,0.00042496250655722485,0.05775664566529777,0.9051426935814916,90,625,-1.0
"(64, 32)",67,0.03494740015190039,0.00012382079688560578,0.009574903886737967,0.04345063462888243,95,157,-1.0
"(64, 32)",64,0.03422567398492836,0.00101,0.0001,0.001,75,700,-1.0
"(64, 32)",150,0.4,1e-06,0.1,0.001,75,150,-1.0
"(64,)",84,0.36756027059960633,3.0902342607740677e-06,0.0990599626516062,0.03964387479710977,94,673,-1.0
"(64,)",149,0.3753721755991569,0.0009350129594633502,0.0055917838198474125,0.061913904326065444,95,302,-1.0
"(64,)",65,0.043964646865411364,1.4692458958903696e-05,0.021944183674299213,0.9444195007423316,75,175,0.45554401934825905
"(64,)",64,0.0,0.00101,0.0001,0.001,95,700,-1.0
"(64,)",64,0.09317814939982447,0.00101,0.0001,0.999,75,150,-1.0
"(64,)",64,0.30489059246771566,1e-06,0.007371691111402397,0.20961327397331145,76,611,-1.0
"(64,)",64,0.02412896089942817,1e-06,0.021446112502833608,0.9619301120225775,75,166,-1.0
"(64,)",65,0.07289960717067612,1.5383247871906867e-05,0.009588592065750612,0.26210470992008994,87,298,-1.0
"(64,)",65,0.21811445131232282,1.5370922731265518e-05,0.05550793179329806,0.9439860427097395,75,309,0.46911055091677
"(64,)",65,0.35952751832346785,1.588852862827763e-05,0.01643175903061591,0.34981449764404154,75,163,-1.0
"(64, 32)",65,0.35865277300948345,0.0005157222373058477,0.05369806209395139,0.9430837832149958,75,675,-1.0
"(64,)",65,0.06856745271809213,0.00043013470307643966,0.00041413476574172017,0.8989697799753776,80,311,-1.0
"(64, 32)",70,0.29521013439131666,1.4377293038494235e-05,0.08443639660076149,0.9238274992335348,75,641,-1.0
"(64,)",65,0.36635553943168403,0.0004183447592046349,0.032621417715389525,0.943066642833037,75,536,-1.0
"(64,)",65,0.32207586219863304,1.299565786899724e-05,0.09484665599523429,0.9426499233320564,75,540,-1.0
"(64,)",130,0.09784169577751978,1.5335145116206183e-05,0.06962037947399105,0.9440729712600623,86,284,0.4375315375027219
"(64, 32)",126,0.3673367093183867,1.536878260253017e-05,0.050944383188426354,0.9440457602237098,83,292,0.3911466371855203
"(64,)",93,0.3073693270772333,0.00036706184400279296,0.021712417560701837,0.7432344854626753,78,176,-1.0
"(64,)",129,0.21270990441482446,1.536749625331532e-05,0.06518143202186663,0.42762855321680976,91,286,-1.0
"(64,)",66,0.09352098322653002,1.5421345142455577e-05,0.04199343622720567,0.9445565002537253,82,298,0.4666362016088267
"(64, 32)",143,0.03096069353066605,1.5417559708177885e-05,0.02356039802529483,0.9444666663886584,82,315,0.4829913683186179
"(64,)",113,0.09765483233576129,1.6104658565642666e-05,0.058380140966313686,0.954126100608394,80,319,0.4536017862115259
"(64,)",129,0.013478720971228065,1.476456303218354e-05,0.02685076789236724,0.9345127861975023,89,314,0.4407251016414401
"(64,)",128,0.0,1e-06,0.04616481767294263,0.999,76,298,-1.0
"(64, 32)",83,0.0,1.631725744997997e-05,0.06789001230153921,0.9598690415659296,81,182,-1.0
"(64, 32)",77,0.0,5.067767967002017e-06,0.02801661812383122,0.940040620596782,85,305,0.455939056580953
"(64,)",136,0.0,0.0002620709191573837,0.0010827936884510619,0.9447564400255706,90,315,-1.0
"(64,)",114,0.1461873100837871,1.4403354134618353e-05,0.021158174776338048,0.9418760529067243,76,185,0.4310238518671906
"(64,)",133,0.0,1.598100979549298e-05,0.1,0.9507020366331438,76,323,-1.0
"(64,)",83,0.18318082096268348,2.0997342405944587e-05,0.03722562190285109,0.9186016264501262,83,297,0.4647500889742263
"(64,)",81,0.17493127407717943,1.6396124831395414e-05,0.057133407459092345,0.9499463615632165,78,327,0.4651810584958217
"(64,)",134,0.16992478161544647,1.5559424749962122e-05,0.0645905395462817,0.9418723837203805,87,303,0.4354222134070372
"(64, 32)",90,0.0738412294920374,1.6293728443035964e-05,0.0380333733833328,0.9447816677276345,77,309,0.49996536297564054
"(64,)",68,0.08585990410611544,7.795907679575921e-06,0.027530685565843004,0.9387736486524846,75,312,0.449709549354156
"(64, 32)",75,0.0,1.619747439540215e-05,0.05099208746431719,0.9478573577844538,90,316,0.5013871810898871
"(64, 32)",141,0.0006142332717649224,1.1310389947657184e-05,0.03378792836922947,0.9448941762275693,86,315,-1.0
"(64,)",85,0.14408065632931938,7.367060750493701e-06,0.030501156185852266,0.9375463146619886,92,279,0.43546296284746006
"(64,)",84,0.148043460941595,4.846185164809633e-06,0.030386340012853688,0.9370075768609463,80,278,0.4069557908766438
"(64, 32)",124,0.13397195141102614,1.6811450379880558e-05,0.03848166070453892,0.9449666258109204,77,156,-1.0
"(64, 32)",123,0.3208582455194731,1.707769533441515e-05,0.02311835064655816,0.9376456917830099,90,309,0.43396884691483634
"(64,)",70,0.1771295780459496,1.7047113370738796e-05,0.02311097220437814,0.9404069961452766,85,208,0.4582485252929975
"(64,)",85,0.09085316976806518,0.000986121107415141,0.03819827140711652,0.9441653549816412,88,307,-1.0
"(64,)",133,0.2496346181440124,9.735519630194089e-06,0.026802066539395476,0.9315123893566437,93,267,0.39968729838903294
"(64, 32)",90,0.06996974695623656,2.057613556850157e-05,0.04017041221904837,0.9478234127870687,87,319,0.502354660637077
"(64, 32)",146,0.18173674306166365,1.5080344323801814e-05,0.0684255123997747,0.9560386890414507,93,340,-1.0
"(64,)",105,0.044908661910074865,9.206531078398556e-06,0.056483064392842015,0.944384057767695,81,536,0.4453040081509969
"(64, 32)",106,0.2852024675095174,1.6780694130349694e-05,0.03962894964312838,0.9401959253169915,81,358,0.4692947577469549
"(64, 32)",85,0.03093090357158363,2.6385703195284397e-05,0.03951104061691996,0.9394776214085553,82,495,0.5042784665908966
"(64,)",92,0.38503274634442874,2.7197640691505412e-06,0.04848447988582683,0.9369762078868012,82,351,0.3377082985958214
"(64, 32)",150,0.23008767017992923,1.995501982405761e-05,0.016240377041813116,0.9447935017290413,92,364,0.46616454569376653
"(64,)",102,0.038819760205033596,7.63526078052299e-06,0.06023416284091193,0.9427207318417223,76,171,-1.0
"(64,)",108,0.08185448901030999,2.4918461858662285e-05,0.05397720983400862,0.9469256323749263,81,395,0.46370132711502415
"(64,)",73,0.16937837478362058,3.0542590609460914e-05,0.03654891748030561,0.9396403582251,87,371,0.48068778240384613
