hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,precision
"(64, 32)",101,0.27635394201074476,7.472352791392958e-06,0.04916278144991648,0.7794677063882551,83,0.2152657280603371
"(64, 32)",76,0.16040702266448148,6.645853084038551e-06,0.03248267424861616,0.24526975840001208,89,0.33411860595155407
"(64, 32)",118,0.17610287122563056,1.753538361072259e-06,0.07126178512073739,0.428007763856144,81,0.18895149229350508
"(64,)",128,0.14309156752360874,4.75488953222804e-06,0.06550665861623502,0.37405382394646636,80,0.19961969179265782
"(64, 32)",130,0.31080177555591226,1.2518375953865409e-06,0.017473260972046416,0.15477407736315305,77,0.21594994377534166
"(64,)",64,0.12168245417640929,7.612188547161786e-06,0.03343440208636434,0.48208712921004443,95,0.27063132394062966
"(64, 32)",106,0.3858618651372022,7.957824166420067e-06,0.023490868537982438,0.28096215080572084,91,-1.0
"(64, 32)",64,0.16016206904820204,8.02182227661959e-06,0.01659623210500162,0.1916042045689805,93,0.5368237347294939
"(64,)",150,0.22949731249719385,1e-06,0.0001,0.001,75,0.24165957060040083
"(64, 32)",64,0.17873902464315572,1e-05,0.0001,0.1370299245364809,95,0.47364746945898784
"(64, 32)",110,0.0,1e-05,0.0001,0.001,75,0.4044319161870411
"(64, 32)",150,0.0,2.034519882441561e-06,0.0001,0.0010000000000000072,95,0.23605999059413216
"(64, 32)",64,0.14680875178604935,6.634951501880056e-06,0.02773064488565793,0.22288035076457524,92,0.45492548710595904
"(64, 32)",65,0.1693660375379495,9.167024477275877e-06,0.0077057333988833744,0.1791941037657238,93,0.4208365319653343
"(64, 32)",64,0.156124724360287,1e-05,0.0001,0.001,95,0.42599496071606036
"(64, 32)",64,0.04581675517635694,1e-06,0.0043477413621270606,0.6109407598609932,75,0.26725353128950513
"(64,)",150,0.21629443470879509,2.1719433317662557e-06,0.1,0.001,95,0.24451417348365195
"(64, 32)",113,0.19063731113927465,7.835891202545853e-06,0.00865591207765841,0.001,78,0.34520069808027926
"(64,)",64,0.0,1e-05,0.1,0.001,75,0.23781523534021987
"(64, 32)",64,0.09011402862097936,1e-05,0.0001,0.001,95,0.3857765466147304
"(64, 32)",64,0.2580777331477206,1e-06,0.1,0.6297531577672454,95,0.23103686471904578
"(64, 32)",64,0.0,1e-05,0.0001,0.999,95,0.5343804537521815
"(64, 32)",64,0.0,1e-05,0.1,0.999,75,0.2291693575793024
"(64, 32)",64,0.0,1e-05,0.0001,0.001,95,0.5588132635253055
"(64, 32)",64,0.0,1e-05,0.0001,0.001,75,0.5588132635253055
"(64,)",64,0.0,1e-05,0.0001,0.001,95,0.2907504363001745
"(64,)",64,0.18705495501141034,1e-05,0.0001,0.001,95,0.23330105419754874
"(64, 32)",64,0.11623493073138157,1e-05,0.1,0.001,95,0.32210992703503405
"(64, 32)",150,0.13535213747783698,1e-05,0.0001,0.999,95,0.2513089005235602
"(64, 32)",64,0.23420170964680645,1e-06,0.0001,0.19258424381208492,95,0.3087943999216005
"(64, 32)",150,0.26221546756193054,1e-05,0.0001,0.001,95,0.29458987783595114
"(64, 32)",64,0.0,1e-06,0.0001,0.999,75,0.2627197812939061
"(64, 32)",64,0.023354874620749512,1e-05,0.0001,0.001,95,0.3755671902268761
"(64, 32)",64,0.13721264304391778,1e-06,0.0001,0.001,91,0.36300174520069806
"(64, 32)",150,0.0,1e-05,0.0001,0.999,75,0.20198728129142146
"(64,)",64,0.2803932428732853,1e-05,0.0001,0.001,95,0.233940944194558
"(64, 32)",64,0.13238030573497275,1e-05,0.0001,0.001,75,0.42335725706982286
"(64, 32)",64,0.15187729988572324,1e-05,0.0001,0.999,75,0.47155322862129145
"(64,)",111,0.27053698011372607,1e-05,0.08929476779910689,0.09117150346080947,82,0.23993463870815734
"(64,)",145,0.27742135154782593,2.7916142480799587e-06,0.00011397703881965324,0.9425130427321194,78,0.1888047458832908
