hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,f1_score
"(64, 32)",101,0.27635394201074476,7.472352791392958e-06,0.04916278144991648,0.7794677063882551,83,0.22173458725182865
"(64, 32)",76,0.16040702266448148,6.645853084038551e-06,0.03248267424861616,0.24526975840001208,89,0.3173110414489725
"(64, 32)",118,0.17610287122563056,1.753538361072259e-06,0.07126178512073739,0.428007763856144,81,0.21818181818181817
"(64,)",128,0.14309156752360874,4.75488953222804e-06,0.06550665861623502,0.37405382394646636,80,0.22751654475792407
"(64, 32)",130,0.31080177555591226,1.2518375953865409e-06,0.017473260972046416,0.15477407736315305,77,0.25064437478230583
"(64,)",70,0.12793775713155922,9.845558530369005e-06,0.01353192707302298,0.5748750896898398,94,0.34385231626610935
"(64,)",117,0.17158876197697265,8.313444399079483e-06,0.00611108418698719,0.18039287410207494,94,0.23838383838383842
"(64, 32)",64,0.4,1e-06,0.1,0.0010000000000000325,95,0.31076280041797283
"(64, 32)",64,0.17989601661315824,1e-06,0.0001,0.9251104375367045,75,0.2183812038296397
"(64,)",64,0.0,1e-05,0.0001,0.16924504970882864,93,0.32197840473702544
"(64, 32)",65,0.32647558214395506,8.015976690276951e-06,0.04215722489845591,0.9703771465783827,95,0.3476945051285951
"(64,)",75,0.0,1.8515289130579825e-06,0.0001,0.999,95,0.27781260884709164
"(64,)",70,0.32781448401721297,1e-05,0.03027624271007918,0.001,94,-1.0
"(64, 32)",64,0.1498729213809741,1e-05,0.0001,0.12468716597181101,95,0.3495280188071611
"(64, 32)",64,0.1280253296421157,1e-05,0.0001,0.25318960384895806,95,0.35082822787439155
"(64, 32)",64,0.3508233975568008,1e-05,0.0001,0.7375546231942087,95,0.38232254286537626
"(64, 32)",64,0.0,1e-05,0.0001,0.0010000000000000007,95,0.36566490571771004
"(64,)",100,0.07260669953237937,1e-05,0.0001,0.23127134978394415,95,0.2402647161267851
"(64, 32)",150,0.0,1e-06,0.1,0.999,75,0.1807314746321566
"(64, 32)",150,0.361738966793154,1e-05,0.0001,0.001,95,0.29369557645419714
"(64, 32)",64,0.05598967932863505,1e-05,0.1,0.001,75,0.32461687035972975
"(64, 32)",64,0.34959945218303357,1e-05,0.0001,0.001,95,0.336206667855885
"(64, 32)",64,0.36594052634726015,1e-05,0.0001,0.999,95,0.35948963997927913
"(64, 32)",64,0.05549049116503493,1e-05,0.0001,0.001,95,0.3289505019116012
"(64, 32)",64,0.3595520967182248,1e-06,0.1,0.999,75,0.20807482780440614
"(64, 32)",64,0.0,1e-05,0.1,0.001,95,0.3568759760287951
"(64,)",64,0.0,1e-05,0.1,0.001,75,0.2946011842563567
"(64, 32)",64,0.0,1e-06,0.0001,0.001,75,0.32713340299547194
"(64, 32)",64,0.10703979914191145,1e-06,0.1,0.5894770360721114,95,0.22737722048066877
"(64,)",70,0.15868411705391458,9.813468413455853e-06,0.07665539450989123,0.6942438175428447,91,0.2673632880529432
"(64, 32)",64,0.1274991734577318,1e-05,0.0001,0.001,75,0.33854816668161736
"(64, 32)",64,0.22699128622608572,9.960816577448798e-06,0.048275163620904206,0.999,95,0.4003103451321281
"(64, 32)",64,0.3780488885780916,9.931046271269379e-06,0.06772690969948365,0.999,95,0.3013735078604268
"(64, 32)",65,0.26898086365555723,7.872735578056326e-06,0.056356804350981025,0.10659786567379505,78,0.3316373804319247
"(64, 32)",64,0.22240133392496475,1e-05,0.0001,0.001,95,0.3434902561019169
"(64, 32)",64,0.2646486058074808,7.955870331730536e-06,0.0772081985340482,0.264677780641024,90,0.3314524555903866
"(64,)",64,0.0819136250984798,1e-05,0.0001,0.999,94,0.3712416784167817
"(64, 32)",64,0.0,1e-05,0.0001,0.999,75,0.48570505540036024
"(64, 32)",80,0.0,1e-05,0.0001,0.999,75,0.47164562028045937
"(64, 32)",150,0.10436643460434006,1e-05,0.0001,0.001,75,0.29529780564263325
"(64, 32)",150,0.4,1e-06,0.0001,0.001,75,0.25942180424939043
"(64,)",64,0.09338658501189201,1e-06,0.0001,0.001,95,0.3062347614071752
"(64, 32)",64,0.0,1e-05,0.1,0.999,75,0.35892201530511536
"(64,)",64,0.13834441168672812,1e-06,0.0001,0.999,95,0.25106234761407176
"(64, 32)",64,0.02533454774140935,1e-05,0.0001,0.999,95,0.4226619670265056
