hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,recall
"(64, 32)",69,0.19664411711862192,0.0005600237262553696,0.05583794615440049,0.8059971813146712,93,265,-1.0
"(64,)",149,0.02115165461293854,0.0002223204006735996,0.024513857509211506,0.9440384416364227,76,415,-1.0
"(64, 32)",138,0.13302662857306105,0.00034301402683255136,0.03432142062503527,0.5697396226713914,81,437,-1.0
"(64,)",137,0.20995306368374536,0.0005035771204122895,0.07663540842160294,0.8475829246398512,95,391,-1.0
"(64, 32)",68,0.31754246675278597,0.0006334489138973557,0.01051604460605838,0.2574289205148652,81,548,0.4789587852494577
"(64, 32)",74,0.3687481884909505,0.0005604651445177356,0.04791708626954391,0.9556479967758508,90,312,-1.0
"(64, 32)",117,0.36120573489270935,0.00012543955107998026,0.03880418051458106,0.6710703777963829,83,404,-1.0
"(64,)",64,0.0,0.00047408817463088495,0.0001,0.999,75,630,0.6195227765726681
"(64, 32)",119,0.2152330160919596,0.00042806868504235095,0.03321898943058399,0.07799179880894933,89,700,-1.0
"(64,)",64,0.08509914022099968,0.000931843265693216,0.1,0.8801554818982161,77,516,0.4980477223427332
"(64, 32)",150,0.08415620551119243,0.0006581507590158134,0.033226400250136415,0.028445719761626322,86,150,-1.0
"(64, 32)",150,0.0,1e-06,0.0001,0.999,95,150,0.29956616052060736
"(64, 32)",150,0.04000054949221279,5.5091752951828496e-05,0.1,0.6802491075086504,92,599,-1.0
"(64, 32)",96,0.2522826035317242,0.0009134605053228446,0.0001,0.18481656043124434,88,387,-1.0
"(64, 32)",113,0.3014736174953885,0.00021931037771383944,0.08291995018597431,0.6357402199353849,75,700,-1.0
"(64, 32)",64,0.301205367197386,0.001,0.0001,0.16721392454178557,76,150,-1.0
"(64, 32)",64,0.4,0.001,0.021919700571348823,0.001,92,700,-1.0
"(64, 32)",117,0.02169318781973859,0.0003529154722227641,0.005650443192963799,0.07214453166662096,95,339,0.5221258134490239
"(64, 32)",83,0.05183408346168299,0.001,0.08660082081903991,0.08669633598292172,94,603,-1.0
"(64,)",149,0.2469306185686315,0.0002563279562048107,0.0001,0.3497290168730812,75,589,-1.0
"(64,)",64,0.3241349838230496,0.00022749542759241333,0.0001,0.08234249780093422,79,653,-1.0
"(64,)",64,0.03407433590996336,0.0002604964024822633,0.09858139881283064,0.7541252046704433,75,481,0.47830802603036876
"(64, 32)",95,0.0,0.0008058330903463801,0.006433589851378021,0.5222023431210309,78,152,-1.0
"(64,)",81,0.027063611531610257,0.001,0.09521010188916604,0.6791226694203171,76,684,-1.0
"(64, 32)",88,0.3973739265301094,0.0003743238391039475,0.008455848790264136,0.7029987343943194,81,462,0.4906724511930586
"(64, 32)",135,0.18443609791800386,0.0006494863201957138,0.060253709042965196,0.8126720222075934,77,283,-1.0
"(64,)",116,0.017959507940369525,0.0005094967498415057,0.049120893808355666,0.24851498482099194,77,386,-1.0
