hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,recall
"(64, 32)",76,0.09542569863665318,0.002406634910674978,0.045001664820631115,0.07242061865393684,93,358,-1.0
"(64, 32)",105,0.20538042048838945,0.000152082176882164,0.019551474159037265,0.058809620187787896,85,689,-1.0
"(64, 32)",129,0.09405233129693683,0.006606123460071724,0.05473706945718968,0.29539616312229383,79,332,-1.0
"(64, 32)",65,0.35415861542473404,0.006236340148370929,0.0366160534238773,0.5704602128228171,85,574,-1.0
"(64, 32)",76,0.08391353592115658,0.003465135612545497,0.04931927706191843,0.8728815124076651,82,346,-1.0
"(64,)",89,0.32561923509800733,0.006534305244660271,0.03251209878275243,0.07267820752468554,88,481,-1.0
"(64,)",149,0.07047979540243042,0.0024335544814618067,0.09425178903412329,0.9843993433927238,80,384,-1.0
"(64,)",131,0.21848710310980832,0.00694907657987388,0.09269032245219361,0.3944829448642721,89,166,-1.0
"(64, 32)",109,0.39284606587038995,0.00472340024435864,0.04517009984075937,0.04727641156700078,82,575,-1.0
"(64,)",66,0.1834433281993536,4.0387378170248187e-05,0.005285552407183389,0.9878306552669975,77,234,0.582646420824295
"(64,)",64,0.08261697500414972,1e-06,0.0001,0.999,75,150,-1.0
"(64,)",66,0.1902034331118671,3.51851674421537e-05,0.005597227175651272,0.9896688532683818,77,238,0.5797541576283441
"(64,)",130,0.0,0.006791271575175048,0.07379739340570048,0.030638722794385176,77,212,-1.0
"(64,)",73,0.19893722269784905,0.0034080885594860535,0.0001,0.6557339872476526,77,686,-1.0
"(64,)",71,0.18696797092797346,0.0007948993170535613,0.0011708842874553203,0.999,81,227,0.5917570498915402
"(64, 32)",66,0.18552370305457963,0.00491983035681645,0.0001,0.8682460071332907,85,280,-1.0
"(64,)",71,0.20143749451931925,0.0008366701734966902,0.0001,0.999,82,232,0.590889370932755
"(64,)",71,0.029943061344958968,0.006792829829106281,0.06705342903103448,0.0935701128965917,79,302,-1.0
"(64,)",71,0.18974276931487322,0.0022649745165119243,0.0001,0.8499470896952477,80,233,0.5200289226319595
"(64,)",69,0.20120841634670705,1e-06,0.00046174994273955776,0.999,83,230,-1.0
"(64,)",66,0.022580327713777854,0.0005967006267810763,0.08663788702498251,0.7161764767378954,80,631,-1.0
"(64,)",71,0.17273915490183628,1e-06,0.0005267200070101908,0.0973312065165437,79,562,-1.0
"(64,)",71,0.2180660077483915,1e-06,0.050244968607356916,0.30436532309669007,81,208,-1.0
"(64,)",71,0.2467203189066733,0.0008146830844624537,0.08292564295057278,0.4204720334970912,76,237,-1.0
"(64,)",71,0.03953286911416114,0.0011305355094470256,0.00290512803376871,0.9650266493665266,83,220,0.5339117859725234
"(64,)",71,0.03612788215289725,0.0048410555602593375,0.0001,0.999,75,529,-1.0
"(64,)",66,0.3740102129238387,6.533110361860072e-05,0.0001,0.9785816466094691,92,510,0.6096890817064353
"(64,)",71,0.37373219097736343,0.0006092276988307846,0.0001,0.999,80,402,0.5963846710050614
"(64, 32)",66,0.2763151607971181,1e-06,0.0001,0.999,81,231,0.2830079537237889
"(64,)",66,0.11366420197909749,1.6097687068683943e-06,0.0001,0.999,89,298,-1.0
"(64,)",76,0.19632593297768908,0.0009306930839212441,0.0008115933431504408,0.8602703711859075,83,315,0.5206073752711496
"(64,)",82,0.3841346357404471,8.836595067660841e-05,0.00012622000974333263,0.5982174372506455,90,598,-1.0
"(64,)",106,0.06584226662556551,9.855967439564094e-05,0.002430905636652123,0.9879545249240699,77,414,0.586117136659436
"(64,)",69,0.1757161981502953,8.516059848984783e-05,0.0025622711710127236,0.9878007602277215,77,250,-1.0
"(64,)",71,0.19472997409983614,0.0008776849651598315,0.000937545774267906,0.8561660944718336,85,365,0.5210412147505422
"(64,)",66,0.3963477365781882,0.00010046891455171707,0.0001,0.8747184140917997,81,363,0.5070137382501807
"(64,)",70,0.3410940995355261,0.0006597710194291841,0.0001,0.8372382112098067,81,369,0.5154013015184382
"(64,)",72,0.18547580412303985,0.0008351110729277097,0.0005717226988512403,0.8531862162932252,95,151,-1.0
"(64,)",71,0.29516788783532755,0.0007685010392383386,0.0010663995145451218,0.48578320519069584,81,275,-1.0
"(64,)",71,0.1984307720230743,0.0008793402870154387,0.000915489588740443,0.9582913590482173,82,156,0.540708604483008
"(64,)",71,0.37688705966227487,0.0006046286712891748,0.0001,0.999,76,635,0.5946493130874909
"(64,)",71,0.18826458220282083,0.0005251558755418576,0.0010611940719589777,0.999,80,206,0.5998553868402025
"(64,)",66,0.3837619164274875,8.214234390465925e-05,0.00038266433051691127,0.9852513087012715,89,188,0.5950831525668835
"(64,)",66,0.2659261120855716,9.059822135957915e-05,0.004257450284609852,0.9810793822974506,86,193,0.5971077368040492
"(64,)",71,0.1603868530980357,0.0005025952730086476,0.0011956681632971419,0.999,77,548,0.5882863340563991
"(64,)",66,0.23159011966792573,4.170642159925962e-05,0.004862551351014299,0.9598483301399984,86,692,0.6040491684743311
"(64,)",66,0.2301870984139477,0.000393829809005164,0.004893638667692627,0.9818934190209206,79,338,0.5971077368040492
"(64,)",71,0.2504443196384421,0.0007720689130292501,0.0001,0.999,92,244,0.591467823571945
"(64,)",71,0.20955096036060966,0.00022654545572360296,0.0008880800332064656,0.9445745918129764,79,176,-1.0
"(64,)",71,0.1787510482262976,0.0006880021289517354,0.0006346109404956351,0.9368507106473217,92,266,0.5243673174258858
