hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,auc
"(64, 32)",101,0.13817697100537238,0.0037361763956964794,0.04916278144991648,0.3170041642868119,86,0.5400935956216596
"(64, 32)",76,0.08020351133224074,0.003322926542019276,0.03248267424861616,0.23671389154308797,90,0.6076916835424157
"(64, 32)",118,0.08805143561281528,0.0008767691805361296,0.07126178512073739,0.26417952362567293,84,0.5935926747240466
"(64,)",128,0.07154578376180437,0.0023774447661140197,0.06550665861623502,0.25607021402000996,84,0.5087290522655218
"(64, 32)",130,0.15540088777795613,0.0006259187976932704,0.017473260972046416,0.223112336277027,81,0.5953324174921247
"(64, 32)",150,0.0,0.0005,0.1,0.2,80,0.5655902135193079
"(64,)",94,0.05726634371888013,0.0042692287039209935,0.031110541031732372,0.35,92,0.501626487214882
"(64,)",90,0.10569519054312056,0.0037133884528373585,0.0180980963149874,0.2,92,0.5369858189984275
"(64, 32)",73,0.13286891339016185,0.00081710067749875,0.00011737019857424305,0.34998915261575525,80,0.6345147542713975
"(64,)",64,0.15990487157097794,0.0007021890594124774,0.0001,0.3161814275475146,89,0.6771346953390066
"(64, 32)",64,0.2,0.0005,0.0001,0.2,95,0.6452227725275447
"(64,)",64,0.0,0.0005,0.1,0.2,95,0.604917463682377
"(64,)",64,0.16660853609687462,0.0015384296681367894,0.0001,0.2,95,0.5911304982075046
"(64, 32)",64,0.2,0.0005,0.0001,0.2878240733020667,80,0.6425036279700055
"(64,)",64,0.2,0.0007487653516738998,0.042887443931421416,0.2349535948324795,95,0.6044629640514944
"(64, 32)",64,0.19975608391731642,0.0005,0.0001,0.2,89,0.6435876025185949
"(64,)",76,0.0550679078210673,0.0005,0.0001,0.34793928736464985,95,0.6824361139132017
"(64,)",96,0.04252754931936252,0.000649298871294874,0.0001,0.34376674325506773,95,0.6474824084538021
"(64,)",64,0.0,0.0005,0.0001,0.35,95,0.6865276771764028
"(64,)",66,0.2,0.0005,0.0001,0.2,80,0.6744756192831031
"(64, 32)",64,0.0,0.002983915990456624,0.1,0.35,95,0.5842885354883728
"(64, 32)",150,0.2,0.005,0.1,0.3382236960863718,80,0.48774348166295023
"(64,)",67,0.2,0.0005,0.0001,0.35,95,0.6846695987490455
"(64,)",68,0.0,0.0005515505499703185,0.0001,0.35,95,0.6833070479321833
"(64, 32)",64,0.11854315437335286,0.005,0.1,0.2319588856868986,91,0.6139793458529902
"(64, 32)",64,0.07697751758034349,0.005,0.0001,0.21526736117251286,92,0.6149310322269921
"(64, 32)",64,0.1076624717406558,0.0037664627532859804,0.0001,0.31877058302185723,95,0.5859128026257907
"(64, 32)",64,2.2190493511590244e-18,0.0005,0.1,0.35,95,0.6116349282496245
"(64,)",64,0.0,0.0005,0.0001,0.2925665194877216,95,0.6851310509356875
"(64,)",64,0.0,0.0005,0.0035786287086987108,0.35,95,0.6854412139288767
