hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,c2,recall
"(64, 32)",293,0.13817697100537238,0.0007472352791392958,0.04916278144991648,0.3170041642868119,86,2,0.30065075921908896
"(64,)",282,0.12546340186752336,0.000391735804041587,0.0245514517676966,0.30421327657779035,89,2.5,0.33420101229211857
"(64,)",160,0.14246603627775253,0.00048507714175403764,0.029848271724270552,0.27381271651885136,91,1.5,0.4056399132321041
"(64,)",379,0.0747602853600133,0.00031106158766405756,0.09880072912301509,0.3148993925289493,92,1,0.33434562545191615
"(64,)",187,0.01541729615965666,0.0009008791296460941,0.07506283260620818,0.30401048654037716,88,2,0.31988430947216195
"(64, 32)",499,0.07500611943656155,0.0009104781346409273,0.09017918342381229,0.33683913994867914,80,1.5,0.2792480115690528
"(64,)",498,0.02916075992343012,0.0001827163742821164,0.09021285982830284,0.26140084028281646,92,1.5,0.2890817064352856
"(64,)",221,0.11344809019557547,0.0001040205471710241,0.06332101636925223,0.3191894452213917,95,1.5,0.4063629790310918
"(64,)",188,0.2,0.0001,0.1,0.2,95,1.5,0.4705712219812003
"(64,)",132,0.2,0.0001,0.1,0.2,95,1.5,0.46753434562545193
"(64,)",512,0.2,0.0001,0.0001,0.2,95,1.5,0.32986261749819235
"(64,)",164,0.2,0.0001,0.1,0.2,95,1.5,0.46117136659436014
"(64,)",128,0.2,0.00010007904520704869,0.1,0.2,95,1,0.47013738250180764
"(64,)",128,0.2,0.00016769858855331674,0.1,0.2,95,1,0.4780911062906725
"(64, 32)",128,0.2,0.0008938008233652584,0.1,0.2,95,1,0.40939985538684026
"(64,)",128,0.2,0.0001,0.1,0.2,95,1,0.4699927693420101
"(64,)",128,0.2,0.0003198404037751365,0.014346596315526535,0.2,95,1,0.5152566883586406
"(64,)",128,0.1858240538911157,0.0003427028273738648,0.0001,0.2,95,1,0.5204627621113521
"(64,)",128,0.0,0.0003067691507332196,0.0001,0.2,95,1,0.5274041937816342
"(64,)",128,0.0,0.00035353282439415905,0.0001,0.2,95,1,0.5304410701373826
"(64,)",128,0.0,0.0005155958979159939,0.0001,0.2,95,1,0.5315979754157628
"(64,)",128,0.0,0.00043866217294986665,0.0001,0.2,95,1,0.5333333333333333
"(64,)",128,0.0,0.00039441853692575115,0.0001,0.2,95,3,0.34345625451916123
"(64, 32)",512,0.1050620397571082,0.001,0.1,0.35,80,3,0.27924801156905277
"(64,)",220,0.0,0.0004799119070534689,0.0001,0.2,95,1,0.4571221981200289
"(64,)",341,0.0,0.0001,0.0001,0.2,95,3,0.2912509038322488
"(64,)",128,0.0,0.0001,0.0001,0.2,80,2,0.47230657989877073
"(64,)",128,0.0,0.0004466118433289477,0.0001,0.2,95,2.5,0.3401301518438178
"(64,)",128,0.0,0.00040578300310716004,0.0001,0.28452263837308195,89,1,0.5311641359363702
"(64, 32)",128,0.2,0.0001,0.1,0.2,80,1.5,0.448590021691974
