hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,c2,auc
"(64, 32)",293,0.13817697100537238,0.0007472352791392958,0.04916278144991648,0.3170041642868119,86,2,0.45533361364774055
"(64,)",282,0.12546340186752336,0.000391735804041587,0.0245514517676966,0.30421327657779035,89,2.5,0.5515754254332075
"(64,)",160,0.14246603627775253,0.00048507714175403764,0.029848271724270552,0.27381271651885136,91,1.5,0.4967125156116479
"(64,)",379,0.0747602853600133,0.00031106158766405756,0.09880072912301509,0.3148993925289493,92,1,0.4997493129610809
"(64,)",187,0.01541729615965666,0.0009008791296460941,0.07506283260620818,0.30401048654037716,88,2,0.5036814967841269
"(64, 32)",460,0.1116962379092738,0.00037670959800899646,0.08580210773339618,0.22935751923039674,86,2.5,0.4808082993922202
"(64,)",416,7.637843088127908e-20,0.0008817733908756102,0.09717364324043369,0.3356104299230852,90,2.5,0.5709427965833878
"(64, 32)",305,0.0005870509570045093,0.0008464594731077235,0.09655654683979083,0.27859452178033384,95,3,0.473984587131957
"(64,)",155,0.0004802197309917934,0.00010348433757723662,0.08576637246941908,0.2240975255070993,84,3,0.484520837757687
"(64,)",128,0.2,0.0001,0.0001000000000000012,0.35,95,2.5,0.5604308403996582
"(64,)",128,0.0,0.0001,0.1,0.35,95,2.5,0.4743715284624992
"(64,)",512,0.09144908512666133,0.0009865263403939454,0.0163442649824079,0.2953418002882101,90,2,0.5302342079016428
"(64,)",364,0.03962771808896985,0.0001,0.0001,0.2,91,2,0.5140810506828674
"(64,)",437,0.17266912256585643,0.00047331262722800574,0.1,0.3225384650462817,92,2,0.5432226249437475
"(64,)",512,0.0,0.0007624601087163555,0.1,0.33085422990090996,90,2.5,0.37009798205229333
"(64,)",398,0.029058377632521493,0.0008768432857423723,0.09322865333230596,0.3297000363563247,89,2.5,0.5701177336311556
"(64,)",373,0.1441848877302815,0.00042122216004471697,0.026296130374045913,0.3312907401524505,94,3,0.5487468176256137
"(64,)",407,0.0,0.000786321110835068,0.07145307835795213,0.35,93,2.5,0.36684906064651185
"(64,)",401,0.08953684554076866,0.0005156075934218209,0.09671643608170824,0.2706467024011313,94,2.5,0.5566093286232928
"(64, 32)",398,0.1549677815610036,0.0008331205476071277,0.09867834455723598,0.2548544930771854,80,2.5,0.4975761099439245
"(64,)",412,0.04567945177921129,0.0009455216118455415,0.09443875278970197,0.32678624523468575,80,2.5,0.5722093073231901
"(64,)",173,0.11936115192670026,0.0003801455373466712,0.0072047897361890685,0.33669871321588263,95,2.5,0.5018333889537794
"(64,)",423,0.173148291570351,0.0008357585423030237,0.021595691912952582,0.31510016662897944,92,3,0.542718912278972
"(64,)",339,0.1373319669634315,0.000613886598747152,0.021887082110518288,0.25089623773189146,89,2.5,0.5432331643862284
"(64, 32)",307,0.01769914067980317,0.0002917178293087449,0.028321216532778408,0.2982461397792683,83,2.5,0.5075498514049219
"(64,)",300,0.13042426756555828,0.00023769032363690274,0.012122976687589968,0.35,91,2.5,0.5312941882322305
"(64,)",427,0.1314362045597235,0.0001,0.03453142072718091,0.30595426432583206,95,2,0.4894914647897295
"(64,)",369,0.012184684235317529,0.0008891995003651679,0.014462851056121573,0.26772186736786957,83,3,0.5699010035066163
"(64,)",315,0.05913244887159174,0.001,0.018834490830916387,0.343661800203115,92,3,0.5221859530563435
"(64, 32)",385,0.13691832215265798,0.001,0.015791398495342994,0.3201504100019035,94,3,0.47475555446000134
"(64,)",401,0.0,0.001,0.09685709568822405,0.35,86,2.5,0.3639417309462049
"(64,)",414,0.014506925767102982,0.0007715736796147625,0.02446682859116316,0.33222694019645727,87,2.5,0.5670485831955463
"(64,)",400,0.03117344240382407,0.0005247722285901499,0.029129404205180086,0.2719482468565432,91,2,0.5511305329702835
"(64,)",401,0.06930747337818048,0.0005471029973740484,0.05724280338305684,0.3280719102265507,85,2.5,0.5591405487589055
"(64,)",386,0.032809183174507046,0.0009353530822918894,0.03951623455599171,0.2657411766313379,93,2,0.5634913475443573
"(64,)",395,0.0,0.000260333714722448,0.09971524192589097,0.323979693097504,82,2.5,0.42888486694072375
"(64,)",405,0.044290237954064414,0.0008704948737758779,0.08079994833686122,0.3296260460763692,82,2.5,0.5700333706875194
"(64,)",397,0.012334239123484254,0.00031208195468132875,0.005212778718089116,0.26748166734561724,86,3,0.5440948467656711
"(64,)",372,0.01986117840498332,0.0006064711829134883,0.08661900720757629,0.3350026173265944,92,2.5,0.5568677740823891
"(64,)",328,0.04076724525405087,0.00084988343445655,0.06904614812935259,0.2687822800290415,91,2,0.5469059230718667
