hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,f1_score
"(64,)",147,0.28194924793144294,0.0003092281859477491,0.042779590306143866,0.2043541818569816,85,235,-1.0
"(64,)",67,0.3614740546910231,0.0009675761411766196,0.02178405991051739,0.2633830990412675,91,645,-1.0
"(64,)",69,0.3807457966603982,0.0006890053059279767,0.02004851606868992,0.26947537278965666,80,238,-1.0
"(64,)",66,0.1535640622975347,0.0009680157658836841,0.034637991056125486,0.6864877673373587,78,378,-1.0
"(64,)",66,0.04629726959924244,0.0008118567728573115,0.08721747021370968,0.9019159165767391,93,561,-1.0
"(64,)",65,0.22782284263293842,0.00066281847553952,0.0418148857330509,0.04989556066984738,86,312,-1.0
"(64, 32)",65,0.20009152866706215,0.0007928951068521808,0.05027429241829616,0.7184137177303644,89,538,-1.0
"(64,)",84,0.15011579504402986,0.00016932976628219218,0.025919241475015474,0.5746842304366456,81,229,0.39320274036510505
"(64,)",92,0.34307989090895985,0.0007370619083897851,0.012284496847021749,0.5307622337912504,92,700,-1.0
"(64, 32)",80,0.35700682089543334,0.00028684910614614167,0.018094716289585425,0.2728308420132229,92,695,-1.0
"(64,)",150,0.0,6.067191873299187e-05,0.08011080614669701,0.5898569344387645,77,150,-1.0
"(64,)",146,0.22136801158558972,0.0004785007158045073,0.033346583859782536,0.5494167423705478,91,408,-1.0
"(64, 32)",86,0.0054472298365053256,0.00048712050512890486,0.09492118810672118,0.9038045830905981,81,687,-1.0
"(64, 32)",86,0.3163318296908877,0.0001349782273846025,0.01510302867957872,0.5547463479866962,93,597,-1.0
"(64,)",64,0.1385655148369821,1e-06,0.01332166924030926,0.9273918798628099,90,579,0.32937880804560277
"(64,)",93,0.0641238959016263,1e-06,0.09868846652065863,0.8820780917860745,93,681,-1.0
"(64, 32)",149,0.169438193131048,1e-06,0.06854269625679825,0.26051490675141603,88,691,0.25914315569487983
"(64, 32)",107,0.11659182418182781,0.0003896824222536753,0.09319543661523906,0.07735769445381928,92,628,-1.0
"(64, 32)",132,0.16894715727412543,1e-06,0.0001,0.32042638944352664,83,155,0.22995471960989203
"(64,)",92,0.16271523349158137,1.0000000000000006e-06,0.09679649922863139,0.039456634155188665,84,662,-1.0
"(64,)",91,0.08663832589605586,2.1903363756509184e-05,0.0001,0.999,92,231,0.45901217535066346
"(64, 32)",150,0.18975053841471198,0.00026002327888450724,0.0001,0.6948485306936614,88,659,-1.0
"(64,)",136,0.08626160265994817,0.00012570661538250407,0.0001,0.3939139892555808,93,564,-1.0
"(64,)",68,0.12050529163750755,0.00018547411595241125,0.0001,0.999,87,380,0.47064148351248536
"(64, 32)",123,0.030540042987954808,1e-06,0.1,0.009823879403860297,80,386,-1.0
"(64,)",78,0.2690839290611729,7.524356159801359e-05,0.0001,0.39648353857846436,81,236,-1.0
"(64, 32)",101,0.19415199429068486,0.00031294779951314823,0.04591332503972373,0.9686982912377451,90,175,-1.0
"(64, 32)",95,0.13358570271313536,4.884755530420571e-05,0.08033277643248499,0.5198342678230816,81,164,-1.0
"(64,)",77,0.08326997822814175,1e-06,0.013125560988864401,0.728217536162575,84,234,-1.0
"(64,)",92,0.1141966398679198,0.0005419404182123697,0.0037076702100155142,0.5449308516487572,76,469,-1.0
"(64,)",76,0.29214129838918373,0.001,0.005802747222737603,0.9683023116113867,77,272,-1.0
"(64,)",87,0.3479047430716454,1.3752250363799011e-05,0.009845723494474037,0.9126681905420932,93,365,0.44737108443447066
"(64,)",67,0.3851414293255635,0.00011819481449312792,0.03883294218976839,0.8807660136350135,91,430,0.41513872204487895
"(64,)",87,0.20958360443309695,0.00018981554074689,0.0001,0.5994995442807576,93,168,-1.0
"(64,)",110,0.10852242558318011,1e-06,0.007035087536133469,0.9981794199581216,87,695,-1.0
"(64,)",72,0.2386322362747782,0.00010019301606878683,0.00934657000986152,0.9539508906256526,91,299,0.4830115721480624
"(64,)",75,0.3979580309343102,0.0002139655680643573,0.0001,0.9318868354710453,91,477,-1.0
"(64, 32)",145,0.32685122753992035,0.00019361732081365877,0.000783498225907166,0.0364082126486398,82,220,-1.0
"(64,)",68,0.09154318443825055,2.7328893520995904e-05,0.005943439119752123,0.9633567368130309,81,349,0.474736081536581
"(64,)",70,0.39849701699752904,0.0007594533769345214,0.02413585734777532,0.9966416251751616,91,606,-1.0
"(64, 32)",88,0.24395746692219614,0.0002978181689968408,0.03364651403517748,0.999,85,668,-1.0
"(64,)",70,0.24325110129490263,8.411657569625336e-05,0.054018869775902874,0.5400924552542388,75,399,0.3843082221143887
"(64,)",70,0.13145567168309985,0.00012016053595598066,0.06171124414083807,0.15124259985563593,95,231,-1.0
"(64,)",88,0.18114331730464023,0.00013037035672914813,0.01312367956895152,0.17028617714426253,86,269,-1.0
"(64,)",70,0.3072010302516408,2.6731108731168026e-05,0.006288484325861054,0.9317915997314885,94,395,0.4765002639369948
"(64,)",71,0.22874342840408995,1e-06,0.07823470503280981,0.34091610610421474,82,347,-1.0
"(64,)",70,0.20951079893332533,0.0001274343891501797,0.021811100907872725,0.9739719224388412,79,378,0.49260782961942784
"(64,)",64,0.22143315418797518,2.9265955357491625e-05,0.029147141775986755,0.9282546055165394,92,335,0.4777536002974294
"(64,)",64,0.3216941076957762,0.00014003699031030434,0.037660874888290764,0.5384147875246125,76,251,-1.0
"(64,)",88,0.29907025406536814,0.00018566936134930176,0.06792560721888136,0.8650946353643867,87,262,-1.0
