hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,auc
"(64, 32)",101,0.13817697100537238,0.0007331927946470345,0.04916278144991648,0.3170041642868119,86,0.46653858004793475
"(64, 32)",76,0.08020351133224074,0.000645951158870736,0.03248267424861616,0.23671389154308797,90,0.5327783929736207
"(64, 32)",118,0.08805143561281528,0.00012954016033540515,0.07126178512073739,0.26417952362567293,84,0.48252386780789713
"(64,)",128,0.07154578376180437,0.00044634945062407085,0.06550665861623502,0.25607021402000996,84,0.4646624423569922
"(64, 32)",130,0.15540088777795613,7.658285729080153e-05,0.017473260972046416,0.223112336277027,81,0.5813448502419489
"(64, 32)",111,0.07592553483587267,0.001,0.0001,0.24344556839704207,95,0.4000174019310408
"(64, 32)",141,0.1747233879317589,0.00031062778362201955,0.004894573275460098,0.2822920374349276,80,0.4776900417911806
"(64, 32)",149,0.04013889523682289,5e-05,0.021232290560108093,0.27976415791720954,80,0.5448729578447583
"(64,)",72,0.16469820241984093,6.631063621412391e-05,0.013169262498027294,0.3232688058013067,89,0.5967996943403667
"(64, 32)",95,0.11198312359694147,9.796223752057875e-05,0.011659010954682273,0.2780116568432494,93,0.604309995183775
"(64, 32)",147,0.2,7.47022784797304e-05,0.005073808693408734,0.2,80,0.5731157657418503
"(64,)",64,0.1835256358084248,0.00014928518047953546,0.014512305166314894,0.3215360143613899,93,0.5036874127770277
"(64, 32)",64,0.16186731988457997,8.594658077742785e-05,0.05295532992870571,0.2971736076754774,94,0.5851695112100481
"(64, 32)",64,0.038710313192574744,8.938630591358101e-05,0.0001,0.3051681046213289,95,0.598371708280873
"(64,)",116,0.10397508029300229,9.411764789995937e-05,0.0001,0.35,83,0.5048920236488024
"(64, 32)",92,0.11039685449329882,7.314861980330365e-05,0.0001,0.2505904241574127,92,0.5733476840404714
"(64,)",117,0.09168801594514946,0.00010458821665233404,0.09590016375125852,0.21038234357704244,95,0.4880858255085479
"(64,)",96,0.13023390634835086,5.245831589260588e-05,0.012451457714216683,0.2401028596880564,82,0.5436459249806592
"(64,)",85,0.0,0.00012011661629560017,0.010342974795744692,0.2805767949059318,81,0.4850087507394991
"(64, 32)",115,0.1580496589719963,0.000587548140429321,0.09454856460784901,0.3337599022964719,89,0.4462550200612836
"(64,)",140,0.021932368065145914,0.0008612777294104789,0.08612094092148792,0.25524399524128183,83,0.3879125788799054
"(64, 32)",64,0.2,5e-05,0.0001,0.2,95,0.6042925174066713
"(64, 32)",64,0.2,5e-05,0.01685802602132006,0.3175662873688776,95,0.6104152287517255
"(64, 32)",64,0.2,5e-05,0.018974853532209995,0.35,95,0.6091475281768124
"(64, 32)",109,0.2,5e-05,0.02676121101631797,0.2,95,0.5902123168317583
"(64,)",64,0.0,0.0005768698317936385,0.0001,0.33153250511366267,95,0.537895281237201
"(64, 32)",64,0.2,5e-05,0.0001,0.3104862723892231,80,0.6092868858365061
"(64, 32)",100,0.2,0.00021139954884757747,0.03110041711801558,0.35,94,0.47525359131107503
"(64, 32)",64,0.2,7.750270196855722e-05,0.010126369854757311,0.35,95,0.5996624945011605
"(64, 32)",64,0.2,5e-05,0.028791684532873816,0.26047191014316634,80,0.6148723747781503
"(64, 32)",64,0.2,5e-05,0.054450917297498486,0.2413915384247441,82,0.6032789769883046
"(64, 32)",64,0.2,0.0005234933734639699,0.0001,0.2521370831720936,81,0.5178036923759539
"(64, 32)",64,0.0,5e-05,0.023127138569621727,0.2,95,0.6264504469229253
"(64,)",64,0.16387778802292433,0.001,0.012206121301317353,0.31587129007314446,92,0.4496918327063392
"(64, 32)",64,0.2,5e-05,0.1,0.35,95,0.6029285871395416
"(64, 32)",68,0.0,5e-05,0.0001,0.35,86,0.63190601155894
"(64,)",66,0.0,5e-05,0.0001,0.35,84,0.6258645266067988
"(64,)",150,0.2,0.00016405956411626928,0.0001,0.33698449184150764,84,0.48095424301837
"(64,)",64,0.2,0.0007557942456393365,0.09607659915886241,0.3037871994373718,89,0.4481453362255966
"(64, 32)",137,0.2,5e-05,0.0001,0.3353254962778207,95,0.580258070969161
