hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,recall
"(64,)",130,0.3935243861412684,0.0013727233268795039,0.009992562900267798,0.22856805880053746,85,211,-1.0
"(64, 32)",78,0.07281159326875503,0.0031587842343469546,0.0845046776948665,0.17831264613688788,79,407,-1.0
"(64,)",97,0.133991546258938,0.0058217117608004125,0.092508200244614,0.033146445504370785,77,438,-1.0
"(64,)",127,0.1928963249459356,0.0026568433843016867,0.04362822119697638,0.0889596333681089,88,619,-1.0
"(64,)",108,0.11818945447242342,0.005573460037033885,0.07572652388313113,0.4104817516955578,75,155,-1.0
"(64, 32)",64,0.4,0.00701,0.00010000000000000041,0.999,95,700,-1.0
"(64, 32)",144,0.07737535879306566,0.0011467104574016719,0.09805304786281173,0.9454844783761652,93,691,-1.0
"(64, 32)",65,0.34483532599188815,0.0007759243087657625,0.025868688453336723,0.9228634409520428,95,161,-1.0
"(64, 32)",149,0.030264693001875384,0.0007002018966056266,0.00138191949968815,0.9972277775256929,76,151,0.6203904555314534
"(64, 32)",150,0.0,0.00701,0.1,0.001,75,700,-1.0
"(64, 32)",141,0.048478997042301054,4.7252528141101464e-05,0.0001,0.999,75,150,-1.0
"(64, 32)",93,0.0004902293875824083,0.000652678362960198,0.0068824217259492075,0.37248810772405894,91,177,-1.0
"(64,)",64,0.22195199499705734,0.0065833876680597425,0.09686838727751985,0.0010000011810030495,76,700,-1.0
"(64,)",95,0.31613634856471573,0.0007825850966466419,0.05070779183747808,0.9969820081438264,82,393,-1.0
"(64,)",132,0.2375675425226942,0.0009066465141876123,0.021962837619797705,0.9677259198045934,92,158,-1.0
"(64,)",137,0.2190914701773346,0.001231918825443069,0.0019568876372612824,0.9636922781878864,95,182,-1.0
"(64, 32)",150,0.4,0.00701,0.0001,0.0010000000000000083,95,700,-1.0
"(64, 32)",108,0.38881293591129684,0.006063018510751299,0.09769355567169427,0.3773896655577164,82,536,-1.0
"(64, 32)",103,0.30043450805075533,7.926126155691026e-05,0.0858522581177706,0.1657285284695543,84,382,-1.0
"(64,)",127,0.2400639822644673,0.004218437699193743,0.023521190625093006,0.4258268318839525,76,657,-1.0
"(64, 32)",150,0.11403872788566456,1e-06,0.0001,0.999,75,150,0.2430947216196674
"(64, 32)",148,0.04751074797674694,0.0059523793527432095,0.006631329686982479,0.15587762477234743,92,150,-1.0
"(64,)",149,0.04035100165147307,0.0034533923371338885,0.03204821390754772,0.999,77,423,-1.0
"(64, 32)",149,0.15021311935887033,0.0008853693451014154,0.06611079231591512,0.04109273090375868,88,396,-1.0
"(64, 32)",149,0.0837915067232622,0.0008328490434810504,0.0009144772208075637,0.827926550166484,87,214,-1.0
"(64, 32)",149,0.38725571087674,0.0008217419768851426,0.03839551813261176,0.7474373941368991,76,236,-1.0
"(64, 32)",104,0.23405771278465115,0.003467645172176474,0.0008811145565995805,0.16668236260218355,80,160,-1.0
"(64, 32)",80,0.2501914634366233,0.004144362572641304,0.00998297801400312,0.9948700406608035,81,404,-1.0
"(64, 32)",149,0.39371904660497026,0.002452772556214966,0.025911534144865574,0.9969304646989967,80,244,-1.0
"(64, 32)",149,0.03577728489930144,0.0039027280370215567,0.0001,0.7295961358274308,75,227,-1.0
"(64, 32)",149,0.1827965280632547,0.0006730034980400767,0.03007565776019532,0.8960052927382886,91,692,-1.0
"(64, 32)",149,0.12780102447602926,0.0006943215878318237,0.007080705442539745,0.8813165208031942,86,150,-1.0
"(64, 32)",149,0.003553911094676169,0.0004007951603791981,0.009693371436919064,0.7807714807869286,75,637,-1.0
"(64, 32)",149,0.11786858078632799,0.004761567726992223,0.04784305646878445,0.9278764509960434,76,150,-1.0
"(64,)",149,0.28259984028909374,0.0007032554409970477,0.055556722615321116,0.28946652592820143,76,150,-1.0
"(64,)",106,0.1746858499618088,0.005470763498998514,0.07373353771973962,0.988553446707883,84,158,-1.0
"(64, 32)",100,0.21824920251712682,0.0012212400522617782,0.00143394114105332,0.9970019266662362,83,151,0.6133044107013738
"(64,)",111,0.16529390229790342,0.004421332778295053,0.0023779295396306,0.7611169588397226,93,155,-1.0
"(64, 32)",111,0.25786163128662,0.0033517282313354495,0.0015287764627847963,0.9969455797469536,79,151,-1.0
"(64, 32)",89,0.1605858297399342,0.001356056915601543,0.0711759673706891,0.9899583229419122,81,191,-1.0
"(64, 32)",149,0.13469238663119804,0.005091745029766385,0.019134054373960284,0.999,81,151,-1.0
"(64, 32)",100,0.28884275227530964,0.001241211410414481,0.001447385311424143,0.9970056349492689,84,154,0.6182212581344902
"(64, 32)",149,0.12256571772163767,0.0006127331974412663,0.020918903270503834,0.999,89,358,-1.0
"(64, 32)",149,0.3368465216878519,0.0006174090206609474,0.052458872365091704,0.999,91,150,-1.0
"(64,)",149,0.3098661408079454,0.006478660317709685,0.0007035992659778558,0.9989390899185527,87,362,-1.0
"(64,)",100,0.38969150694240273,0.001466596343218443,0.0015983776793012945,0.9970573920471368,89,654,-1.0
"(64, 32)",149,0.18640523165471728,0.006148725220536262,0.000814138983867357,0.9989177966242289,90,410,-1.0
"(64, 32)",100,0.2610884264879927,0.0013741993773096384,0.0015368899266231023,0.9970301041748657,88,171,0.6146059291395517
"(64,)",149,0.3704644671639624,0.0007236181288684055,0.0013245164379035715,0.9972437253481313,87,150,-1.0
"(64, 32)",100,0.25396197578427465,0.0005576870982568591,0.08675405768734351,0.999,91,157,-1.0
"(64, 32)",100,0.25529857709241377,0.00015483325607189427,0.0014384149948950768,0.997086289268197,79,152,0.5940708604483008
"(64, 32)",149,0.3793731453191578,0.002165846478731927,0.0011515339875867185,0.9988397465797171,76,150,-1.0
"(64, 32)",99,0.25773535529771385,0.0056806771776416855,0.0001,0.999,91,150,-1.0
"(64, 32)",101,0.2563435132552309,0.0008160619763393059,0.0019203495013078006,0.9944920128084904,84,668,-1.0
"(64, 32)",100,0.21462421998216086,0.0005526294942309373,0.0008187800533074039,0.9745698864145333,84,150,0.6174981923355025
"(64,)",101,0.25567310223072914,0.0008425488707170078,0.003590359980369741,0.9822620796818611,89,150,0.5956616052060737
"(64, 32)",99,0.2556994142221378,0.0008231297530416502,0.005349130149840078,0.9821208462241718,90,150,0.6186550976138828
"(64,)",100,0.2506797292857683,0.0009211451140936916,0.0022884116352314267,0.98983302816997,89,153,0.5916124367317426
"(64,)",150,0.0,0.0003842252262821226,0.0001,0.999,89,150,-1.0
"(64, 32)",100,0.2535116006760032,0.0009474650581962156,0.0017116379503903168,0.4629088752210994,85,150,-1.0
