hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,f1_score
"(64, 32)",101,0.13817697100537238,0.0037361763956964794,0.04916278144991648,0.3170041642868119,86,0.28770463253221873
"(64, 32)",76,0.08020351133224074,0.003322926542019276,0.03248267424861616,0.23671389154308797,90,0.3443631719493789
"(64, 32)",118,0.08805143561281528,0.0008767691805361296,0.07126178512073739,0.26417952362567293,84,0.33635202600719843
"(64,)",128,0.07154578376180437,0.0023774447661140197,0.06550665861623502,0.25607021402000996,84,0.2560083594566353
"(64, 32)",130,0.15540088777795613,0.0006259187976932704,0.017473260972046416,0.223112336277027,81,0.3347717608595526
"(64,)",146,0.2,0.003909553800165365,0.03854107575661565,0.35,94,0.17984442122373157
"(64, 32)",64,0.0,0.005,0.1,0.2,95,0.3339138511552305
"(64, 32)",150,0.0,0.0005,0.0001,0.24133281779109594,80,0.3654344673459072
"(64,)",118,0.2,0.004393798606883121,0.0001,0.2,82,0.2714501335190991
"(64, 32)",64,0.0,0.0025807794750917785,0.1,0.23945779081027826,80,0.32067804481597584
"(64, 32)",150,0.0,0.0005,0.0001,0.2,95,0.3699446727013724
"(64, 32)",150,0.06604063036559314,0.005,0.0001,0.2,80,0.24381748519679555
"(64,)",64,0.0,0.0005,0.0001,0.2,95,0.4149091391431224
"(64, 32)",64,0.2,0.0005,0.0001,0.2,95,0.37938842482114027
"(64, 32)",91,0.0,0.0005,0.0001,0.2,95,0.3756670971039764
"(64,)",64,0.0,0.0005,0.1,0.2,95,0.3365298543475472
"(64,)",64,0.0,0.0015344567574020786,0.0001,0.35,86,0.33646812957157785
"(64,)",64,0.2,0.0005,0.0001,0.2,80,0.41623557500994823
"(64,)",64,0.2,0.0006654082108738117,0.0001,0.2,82,0.4041259686250562
"(64,)",77,0.2,0.0005,0.0001,0.2,80,0.41624111464929925
"(64, 32)",64,0.2,0.0023376746409937256,0.0001,0.2,80,0.30709392778358297
"(64,)",144,0.0429798451762176,0.0009540562216227067,0.0015337731383836036,0.24115762027083235,83,0.3105770347149657
"(64,)",129,0.1577257554439661,0.0037524141277585008,0.03041605542689886,0.2155408701853117,89,0.24021827470103332
"(64,)",70,0.2,0.0005,0.0001,0.35,80,0.4195077784230432
"(64,)",64,0.188064920591627,0.005,0.0001,0.2090610450069173,95,0.2923487751073958
"(64, 32)",150,0.16204019358289876,0.0005,0.1,0.2163703970974185,95,0.328340880065018
"(64,)",74,0.0014066527652753505,0.0005,0.029114434858759093,0.286465106150408,80,0.37376052052836223
"(64,)",64,0.0361138019672997,0.0038036129668254587,0.06214039892619837,0.21850462873575915,80,0.28770463253221873
"(64,)",70,0.1707924025115655,0.0005,0.005984271489279556,0.35,80,0.418771557759167
"(64,)",71,0.0,0.0005,0.0025499612888147455,0.28126520736438726,80,0.41495413909207013
