hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,f1_score
"(64, 32)",101,0.13817697100537238,0.0022417058374178877,0.04916278144991648,0.3170041642868119,86,0.2777197259955881
"(64, 32)",76,0.08020351133224074,0.0019937559252115656,0.03248267424861616,0.23671389154308797,90,0.3162661093695577
"(64, 32)",118,0.08805143561281528,0.0005260615083216778,0.07126178512073739,0.26417952362567293,84,0.28979449669104845
"(64,)",128,0.07154578376180437,0.001426466859668412,0.06550665861623502,0.25607021402000996,84,0.23882503192848023
"(64, 32)",130,0.15540088777795613,0.0003755512786159623,0.017473260972046416,0.223112336277027,81,0.31533284554127894
"(64, 32)",64,0.0,0.003,0.06652433340325935,0.2,95,0.3083710669917567
"(64, 32)",64,0.0,0.003,0.0001,0.2,95,0.30221757807964705
"(64, 32)",64,0.0,0.0028259831215227244,0.1,0.22769996895472647,95,0.3017531638221293
"(64, 32)",64,0.2,0.0022786358556270213,0.09059252401745788,0.2,89,0.3474533378481126
"(64, 32)",64,0.2,0.00030000000000000003,0.1,0.2325507148079361,88,0.3453692950379148
"(64, 32)",150,0.0,0.0006627484592619544,0.019986804229259435,0.20159595750102688,81,0.30326251015906186
"(64, 32)",64,0.2,0.00030000000000000003,0.1,0.2,80,0.3465968141791789
"(64, 32)",64,0.2,0.003,0.0001,0.21407198539989186,80,0.33588761174968074
"(64, 32)",64,0.2,0.003,0.1,0.2,95,0.3332172297689539
"(64, 32)",150,0.2,0.00030000000000000003,0.1,0.2,94,0.29757343550446996
"(64, 32)",64,0.2,0.00030000000000000003,0.1,0.2,86,0.3465968141791789
"(64, 32)",64,0.2,0.0012690278458789624,0.031696731946648085,0.2,81,0.30697782421920355
"(64,)",64,0.11656412261735367,0.00030000000000000003,0.1,0.2,80,0.33472657610588646
"(64,)",64,0.2,0.00250278632186099,0.0001,0.35,87,0.2675026123301985
"(64, 32)",64,0.12482047476226661,0.0022699757612725255,0.04760419382556808,0.25530585390488447,94,0.3384660071817886
"(64,)",64,0.2,0.002310498648179053,0.08030769990001929,0.20166467849262915,89,0.25566004876349707
"(64, 32)",64,0.18133703538344448,0.00030000000000000003,0.1,0.2,80,0.3456183655972341
"(64, 32)",64,0.2,0.00030000000000000003,0.0001,0.2,87,0.36913291797548836
"(64, 32)",64,0.2,0.00030000000000000003,0.0001,0.2,80,0.36913291797548836
"(64,)",111,0.2,0.00030000000000000003,0.0001,0.2,83,0.3644490885870196
"(64,)",150,0.0,0.00030000000000000003,0.0001,0.2,86,0.3082549634273772
"(64,)",80,0.2,0.00030000000000000003,0.0001,0.2,81,0.3706025774991292
"(64,)",74,0.2,0.00030000000000000003,0.0001,0.2,87,0.381980726808313
"(64,)",64,0.2,0.00030000000000000003,0.0001,0.2,95,0.3849366320790775
"(64,)",90,0.2,0.00030000000000000003,0.0001,0.2,95,0.3650296064089167
"(64,)",67,0.2,0.00030000000000000003,0.0001,0.2,87,0.3859984275890529
"(64,)",65,0.2,0.0006146410858492719,0.0001,0.2,95,0.32474166956925576
"(64,)",67,0.2,0.00031263543320603676,0.0001,0.22349874317206295,83,0.3866676054746365
"(64,)",150,0.2,0.003,0.012812616425326582,0.26609956448543376,85,0.16730523627075353
"(64,)",67,0.2,0.00030000000000000003,0.0001,0.35,94,0.4018034353256714
"(64,)",67,0.2,0.00030000000000000003,0.0001,0.35,91,0.4018034353256714
"(64,)",67,0.2,0.00030000000000000003,0.0001,0.35,95,0.4018034353256714
"(64,)",67,0.2,0.00030000000000000003,0.0001,0.35,83,0.4018034353256714
"(64, 32)",88,0.2,0.00030000000000000003,0.0001,0.35,91,0.3609315155756419
"(64,)",68,0.0,0.00030000000000000003,0.0001,0.35,88,0.39393939393939387
