hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,precision
"(64, 32)",81,0.24855602662666715,0.0029259858381224025,0.06298216351416311,0.01613744866870023,81,370,-1.0
"(64,)",120,0.17676207578924355,0.004721685221929485,0.0585686784495416,0.8612600104401844,90,563,-1.0
"(64, 32)",102,0.2117503342512459,0.00143545258341707,0.037923692535741016,0.3690484191890599,89,301,-1.0
"(64, 32)",78,0.08287668935937094,0.0019510749790859793,0.06474628103682656,0.48494656688404103,86,573,-1.0
"(64,)",103,0.28022460066388705,0.006391525258354522,0.08016643100644603,0.2643950218605722,87,568,-1.0
"(64, 32)",93,0.19856458961266996,0.00179339882614099,0.022509415863690256,0.7989800176817065,79,515,-1.0
"(64,)",81,0.024681377532179256,0.0028028081066591094,0.0692126413219653,0.2700349623328347,89,299,-1.0
"(64,)",149,0.0566343060081307,0.002265671227279302,0.001618368848034975,0.9823398570434791,79,170,0.6451425247236766
"(64, 32)",150,0.4,0.00701,0.1,0.001,95,700,-1.0
"(64,)",150,0.07409450578830766,0.002321154847326728,0.00011859607754082723,0.9398678210910916,78,154,0.6207097149505526
"(64,)",147,0.025542006184161033,0.0021441353388240423,0.003928186610322465,0.999,81,193,-1.0
"(64, 32)",149,0.0504704464760547,0.006444043799998536,0.0001,0.975913225470609,81,353,-1.0
"(64,)",149,0.05966137929910355,0.0022749226618158933,0.0014606799054024452,0.975985740683536,79,168,0.6358347876672484
"(64,)",150,0.04706038621473833,0.0022209599339099197,0.002570749223440561,0.999,79,174,-1.0
"(64,)",150,0.3066022837159919,0.002315897430399641,0.00024041511617286105,0.5611181915559604,75,281,-1.0
"(64,)",149,0.057538348745664374,0.0022690343784201334,0.001541905446508139,0.9804425373968171,79,169,0.6404886561954625
"(64,)",149,0.1687364884195154,0.0018162476818636096,0.013913654912698865,0.9141658705744671,79,185,-1.0
"(64,)",150,0.07185612756486082,0.0023042575912576883,0.0016574073567778489,0.9508203775569376,78,156,-1.0
"(64,)",149,0.1209687416237179,0.00366736227450902,0.0016871425001142623,0.11255188155979046,79,224,-1.0
"(64,)",92,0.0960549428966315,0.00144681583708266,0.023964490914551616,0.9384737367804413,89,298,-1.0
"(64, 32)",149,0.2608243138002351,0.0022828058832298718,0.0016619753532196358,0.5960806464086061,79,675,-1.0
"(64,)",149,0.1276234571862281,0.0023152497743703163,0.0001,0.7832226506256531,78,282,-1.0
"(64, 32)",121,0.06475701398345973,0.0037531352746057955,0.007030857984476196,0.7616415210926158,82,614,-1.0
"(64,)",148,0.06555864298513314,0.002392313192365216,0.0017255693181012488,0.9601090023848521,79,242,-1.0
"(64,)",149,0.39576391262796257,0.0014195357380257776,0.0016017093685558948,0.8845232616837797,87,171,-1.0
"(64,)",149,0.3155216511632826,0.0009918396083676768,0.001526073858464601,0.897693382398653,79,172,0.733566026759744
"(64,)",150,0.09026412649516012,4.6647340839502295e-05,0.0001,0.5860068838000919,78,159,-1.0
"(64, 32)",149,0.05657394460149767,0.003155785679213875,0.0012746559132961548,0.9046981164791142,79,181,-1.0
"(64,)",102,0.24262982352921708,0.006088721215200036,0.003720504077268258,0.09752133978919915,92,288,-1.0
"(64, 32)",102,0.08742932659697858,0.005576586806710221,0.0936906263567666,0.2650017628086433,78,610,-1.0
"(64,)",66,0.13868762746957505,0.005778301485633268,0.06100708429436068,0.4390688153424672,94,664,0.33915066899360097
"(64,)",66,0.34558258756398735,0.0044884303599254174,0.06051877050709888,0.38234613454107036,94,683,0.36009307737056423
"(64,)",66,0.09001133154151994,0.0016444466090789458,0.06090252676989771,0.3507776599056388,94,176,0.6428155904595696
"(64,)",66,0.20213560736861702,0.001951378240779356,0.06108156307127159,0.2953245539615453,94,365,0.47294938917975565
"(64,)",145,0.1611934822533227,0.00227930955070833,0.0014164123335703264,0.8799702657652715,77,171,-1.0
"(64,)",66,0.204429571198966,0.003365373342376303,0.060871064868456976,0.3550588144353317,94,331,0.4584060500290867
"(64,)",66,0.3061149522555878,1e-06,0.06087779677647293,0.37899178330134037,94,469,-1.0
"(64,)",66,0.2173009917515937,0.0021348167724572556,0.060805435030986114,0.36997273298044264,94,487,0.43571844095404305
"(64,)",66,0.08467361857490426,0.00233579346888442,0.06107205199416975,0.32400831630210414,94,150,0.5753344968004654
"(64,)",108,0.006403247858364422,0.0016550601765867791,0.063978123611554,0.34968533291498277,94,278,0.4217568353694008
