hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,precision
"(64, 32)",101,0.13817697100537238,0.0037361763956964794,0.04916278144991648,0.3170041642868119,86,0.33158813263525305
"(64, 32)",76,0.08020351133224074,0.003322926542019276,0.03248267424861616,0.23671389154308797,90,0.49331006399069227
"(64, 32)",118,0.08805143561281528,0.0008767691805361296,0.07126178512073739,0.26417952362567293,84,0.47178592204770214
"(64,)",128,0.07154578376180437,0.0023774447661140197,0.06550665861623502,0.25607021402000996,84,0.24017810491616487
"(64, 32)",130,0.15540088777795613,0.0006259187976932704,0.017473260972046416,0.223112336277027,81,0.6276905177428738
"(64, 32)",64,0.0,0.005,0.1,0.2,80,0.35892961023851083
"(64, 32)",64,0.0,0.0005,0.0001,0.2,95,0.7149505526468877
"(64,)",102,0.03862475870821188,0.005,0.0001,0.35,95,0.21555414055007197
"(64,)",75,0.03593234253948466,0.0005635666959385859,0.001463346170487179,0.2091875148085186,88,0.6777196044211751
"(64,)",64,0.0,0.0005,0.0001,0.35,95,0.7399650959860384
"(64,)",64,0.0,0.0005,0.1,0.35,95,0.6637579988365329
"(64,)",120,0.18232492572714742,0.00154136016425089,0.0001,0.35,90,0.25564066044953343
"(64,)",64,3.992124081270407e-19,0.0005,0.0001,0.35,80,0.7038976148923793
"(64, 32)",150,0.2,0.0005,0.0001,0.35,95,0.7108784176847003
"(64,)",150,0.2,0.0005,0.0001,0.35,95,0.5700988947062245
"(64,)",64,0.2,0.0005,0.0001,0.35,95,0.7038976148923792
"(64, 32)",95,0.0,0.0005,0.0001,0.35,95,0.719022687609075
"(64, 32)",150,0.0,0.0005,0.0001,0.2,95,0.6009307737056427
"(64, 32)",64,0.2,0.0005,0.0001,0.35,80,0.7405468295520651
"(64,)",124,0.07038545872664108,0.0008353283395480068,0.08258308699033827,0.2618697974993361,84,0.2717824692211828
"(64, 32)",95,0.2,0.0005,0.0001,0.35,95,0.7405468295520651
"(64, 32)",64,0.2,0.0005,0.1,0.35,95,0.7428737638161721
"(64,)",150,0.14924269697414191,0.0031410147773421847,0.1,0.35,83,0.21399535527130667
"(64, 32)",64,0.2,0.0021652138721365236,0.0001,0.35,86,0.578824898196626
"(64, 32)",64,0.0,0.0005,0.1,0.35,95,0.682955206515416
"(64, 32)",64,0.2,0.0005,0.0001,0.35,95,0.7405468295520651
"(64, 32)",81,0.2,0.0005,0.0001,0.2,95,0.7161140197789413
"(64, 32)",64,0.2,0.0005,0.06426958190091445,0.35,80,0.721349621873182
"(64, 32)",64,0.2,0.0008609281827995042,0.0001,0.35,95,0.7184409540430483
"(64, 32)",64,0.0999374811773042,0.0005,0.0001,0.35,95,0.7469458987783595
