hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,precision
"(64,)",69,0.37027116833153206,0.0025337081383781414,0.07115622910236208,0.6181498447164868,83,231,0.7005813953488372
"(64,)",92,0.2998283758073169,0.0030199284279871425,0.03907274280129033,0.18482539071221402,84,449,0.7361918604651163
"(64,)",90,0.2169314659557463,0.0010417098703332359,0.09186777072474929,0.9250797351203452,89,485,0.7223837209302325
"(64,)",130,0.18483253276899358,0.009759485594436802,0.050442380041421896,0.4323770742015186,77,382,0.6984011627906976
"(64,)",165,0.12249540481225363,0.003416427576573788,0.04136607605075889,0.43699384781654127,78,419,0.7034883720930233
"(64, 32)",127,0.2833526624741794,0.004260488507074585,0.03952891622528373,0.6006408367855808,80,675,0.6242732558139534
"(64, 32)",68,0.043192750753711644,0.003947221047439972,0.02977556299923696,0.06368209943270126,95,153,0.6468023255813954
"(64,)",192,0.010349978278242937,0.004056991608717879,0.008730593330709675,0.8389965442438274,78,381,0.6984011627906976
"(64, 32)",102,0.3623396402952755,0.00933474161634086,0.09286883391973903,0.968182193773858,95,151,0.7376453488372092
"(64, 32)",166,0.29254081582264047,0.006197514861272657,0.0975408364275861,0.015178293886518819,75,163,0.6438953488372093
"(64,)",167,0.14811991338662048,0.008785266958671708,0.05179129127884297,0.0192949902030734,86,696,0.7332848837209303
"(64,)",179,0.3254123242483507,0.00956484184993092,0.001672066165483208,0.4167275824236649,95,616,0.6526162790697674
"(64, 32)",115,0.03461708737788568,0.005471013543239119,0.020719429206896522,0.9879931614927425,75,464,0.6088472515856236
"(64, 32)",75,0.29979329780619923,0.009656182774168149,0.0995891314204068,0.8891396079568588,85,665,0.7412790697674418
"(64,)",76,0.360160902516935,0.004910717000638418,0.0993054465391036,0.015255684836634757,93,688,0.7027616279069768
"(64, 32)",106,0.02442342465482344,0.0059152286604496115,0.0001467779895678137,0.39096082965718404,88,642,0.6039244186046512
"(64,)",148,0.0862983986315295,0.009508687143896051,0.0993147202956879,0.06961683146177562,76,652,0.6969476744186047
"(64,)",121,0.11157166399753743,0.001957491621096262,0.0016138242662766887,0.005707140064454954,89,649,0.6552783660064416
"(64,)",78,0.03274895562100163,0.008847527975354534,0.046566672531929136,0.9961527861858794,85,537,0.6162790697674418
"(64, 32)",133,0.006771587067530939,0.006345817971574809,0.06306930145836899,0.0031188537937618796,89,619,-1.0
"(64, 32)",187,0.003182518946524423,0.006042164452693561,0.08400943193910926,0.560800873282565,89,150,0.627906976744186
"(64,)",160,0.21020494310834936,0.0010378208487864919,0.08438279838033172,0.0010000000000000002,84,150,0.6816860465116279
"(64,)",71,0.3527070995702679,0.006830418457127696,0.059111337823930896,0.999,90,150,0.6083950445081281
"(64,)",198,0.3857415018321919,0.001868405305419918,0.027495800597071088,0.7405053068854793,90,700,0.6940406976744187
"(64,)",189,0.22556840327771321,0.005833972638339029,0.01855371413221373,0.2755300574933346,83,151,0.7303779069767442
"(64, 32)",132,0.2275064164326914,0.009746838442944978,0.03292958901381364,0.7311249600387273,76,380,0.6765988372093024
"(64, 32)",161,0.04542956353263425,0.006448420775379687,0.0883138348642051,0.3923335614694766,91,344,0.6170058139534884
"(64, 32)",197,0.36151307441110025,0.0049858300473203995,0.07310648118092719,0.7863319047329476,93,153,0.7289244186046511
"(64, 32)",153,0.2246300715804154,0.0066387299834242165,0.09680511873033532,0.9913217471841491,78,696,0.7180232558139534
"(64,)",142,0.1426252438073938,0.0015150798612674605,0.017360552638305042,0.950872720805733,91,699,0.721656976744186
