hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,recall
"(64, 32)",101,0.27635394201074476,7.472352791392958e-06,0.04916278144991648,0.7794677063882551,83,0.23757049891540133
"(64, 32)",76,0.16040702266448148,6.645853084038551e-06,0.03248267424861616,0.24526975840001208,89,0.35496746203904556
"(64, 32)",118,0.17610287122563056,1.753538361072259e-06,0.07126178512073739,0.428007763856144,81,0.25865509761388294
"(64,)",128,0.14309156752360874,4.75488953222804e-06,0.06550665861623502,0.37405382394646636,80,0.27817787418655093
"(64, 32)",130,0.31080177555591226,1.2518375953865409e-06,0.017473260972046416,0.15477407736315305,77,0.2993492407809111
"(64,)",68,0.0,8.819862590594728e-06,0.037388616334541144,0.09860830376637714,95,0.3140130151843818
"(64,)",144,0.3471135008412045,1.1474080451497968e-06,0.07823425110002981,0.8296518896082269,91,0.24026030368763557
"(64, 32)",64,0.14273080922912534,1e-05,0.012479177884818095,0.24129312487842658,95,0.38837310195227764
"(64,)",143,0.2508651501872042,1e-05,0.0001,0.30658070585326985,95,0.29084598698481556
"(64, 32)",64,0.14135345405921984,1e-05,0.0001,0.15054412628178054,95,0.3926247288503254
"(64, 32)",64,0.4,1e-06,0.1,0.001,75,0.36555314533622557
"(64, 32)",64,0.4,1e-06,0.1,0.001,95,0.36555314533622557
"(64,)",64,0.026553525610462092,1e-05,0.006028772756798422,0.999,84,0.3311930585683297
"(64, 32)",64,0.09640387212523396,1e-06,0.0001,0.999,91,0.27427331887201734
"(64, 32)",64,0.0,1e-05,0.1,0.001,75,0.34125813449023856
"(64, 32)",64,0.4,1e-05,0.0001,0.15186297942850055,95,0.36720173535791756
"(64, 32)",64,0.232692286819273,9.739366260533962e-06,0.011416172066747693,0.10471433406817977,82,0.3886334056399132
"(64,)",64,0.4,5.298197380377053e-06,0.0001,0.001,78,0.35722342733188717
"(64, 32)",64,0.22074939153870776,1e-06,0.0001,0.001,95,0.3783080260303687
"(64,)",64,0.34223330957356013,7.221287381646007e-06,0.0001,0.3788570848218391,93,0.3571366594360087
"(64, 32)",150,2.0546994771534526e-19,9.095283876075748e-06,0.05413439374956414,0.001,86,0.3242516268980477
"(64,)",64,0.0,3.728530271244924e-06,0.019384293087203918,0.5693494423266424,75,0.35297180043383947
"(64, 32)",64,0.19634838094629833,1e-06,0.0001,0.18018226258980002,75,0.3446420824295011
"(64,)",64,0.2107585131615668,1e-05,0.1,0.001,95,0.3056832971800434
"(64, 32)",64,0.0,1e-05,0.0001,0.37324389161474403,82,0.4256832971800434
"(64, 32)",64,0.0,1e-05,0.0001,0.5245306178595505,93,0.46828633405639913
"(64, 32)",64,0.0,1e-05,0.08295264999204802,0.5753136346176466,84,0.26273318872017354
"(64, 32)",64,0.0,1e-05,0.0001,0.6184614680669959,93,0.4856399132321041
"(64, 32)",64,0.0,1e-05,0.0001,0.6420544399298,75,0.4908459869848157
"(64, 32)",64,0.22754479312296444,1e-05,0.0001,0.6675554723514991,75,0.45579175704989155
"(64, 32)",89,0.0,1e-05,0.0001,0.6778480703099984,75,0.41292841648590023
"(64, 32)",64,0.0,1e-05,0.0001,0.7095268506232584,75,0.5150542299349241
"(64, 32)",64,0.0,1e-05,0.0001,0.999,95,0.4884164859002169
"(64,)",64,0.012924034197608875,1e-06,0.1,0.001,91,0.3336225596529284
"(64, 32)",64,0.0,1e-05,0.0001,0.8178058880307144,95,0.48095444685466376
"(64,)",150,0.0,1e-06,0.0001,0.001,82,0.302646420824295
"(64, 32)",64,0.0,8.919833071941508e-06,0.0001,0.7860571285345426,75,0.5291973969631236
"(64, 32)",64,0.0,7.88040098298214e-06,0.0001,0.8341886329599778,75,0.46776572668112804
"(64,)",150,0.4,1e-05,0.1,0.001,83,0.3127982646420825
"(64,)",72,0.03645176672586344,1.8618548041198148e-06,0.09858936190753857,0.9060986146611594,78,0.2525813449023861
"(64, 32)",64,0.0,1e-05,0.0001,0.8466330690744917,75,0.4896312364425162
"(64, 32)",64,0.0,9.141349948161506e-06,0.0001,0.7744202884313058,75,0.5282429501084599
"(64, 32)",64,0.0,8.945821966207988e-06,0.0001,0.6787224707203512,75,0.5019522776572668
"(64, 32)",64,0.0,9.087215780999512e-06,0.0001,0.8638230768044126,75,0.4884164859002169
"(64, 32)",150,0.4,1e-06,0.1,0.001,94,0.31626898047722346
