hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,c2,precision
"(64, 32)",293,0.13817697100537238,0.0007472352791392958,0.04916278144991648,0.3170041642868119,86,2,0.4322280395578825
"(64,)",282,0.12546340186752336,0.000391735804041587,0.0245514517676966,0.30421327657779035,89,2.5,0.3216986620127981
"(64,)",160,0.14246603627775253,0.00048507714175403764,0.029848271724270552,0.27381271651885136,91,1.5,0.22301298719763016
"(64,)",379,0.0747602853600133,0.00031106158766405756,0.09880072912301509,0.3148993925289493,92,1,0.2854522771137011
"(64,)",187,0.01541729615965666,0.0009008791296460941,0.07506283260620818,0.30401048654037716,88,2,0.179975492788037
"(64, 32)",336,0.04323860981648994,0.0008655771434270912,0.09440455531225712,0.24961509982053504,88,2,0.3321698662012798
"(64, 32)",465,0.007930723980606983,0.0009111437663618167,0.019770519223176176,0.35,95,1.5,0.23807814592018925
"(64, 32)",266,0.1923164574961955,0.0009965163375029226,0.007753853905639602,0.32747892510633647,87,2,0.28555230752904054
"(64, 32)",391,0.19492706271728472,0.0006353099919763455,0.0903351163492572,0.35,85,2,0.17027332744658574
"(64, 32)",299,0.1748951871486215,0.0007875355460216905,0.05752006563276169,0.3025509692471262,87,2,0.4584060500290867
"(64, 32)",306,0.1443136235769283,0.0002700547941704518,0.08684563711072313,0.2799404448155084,87,3,0.177760013452983
"(64,)",305,0.16792782405484363,0.0003660658617207224,0.005136463070182649,0.258883737673408,84,2,0.2667056595139163
"(64, 32)",305,0.18896345419798552,0.0007890798921118718,0.0324901559527735,0.25102653206232095,93,1.5,0.23094822571262363
"(64, 32)",305,0.15583143994744728,0.00032353340026576035,0.06926951624364638,0.26880569095122026,86,2,0.17658567249635804
"(64, 32)",301,0.0608069600652548,0.0008347474613246138,0.04111773443539927,0.28598712381346597,82,2.5,0.4944735311227457
"(64, 32)",302,0.010499113381050779,0.0008827322814600304,0.06185048085382544,0.27224350465140146,81,2.5,0.4898196625945317
"(64, 32)",299,0.04923767443611074,0.0008624699088137076,0.050053893159597275,0.2724365763008276,82,2.5,0.49214659685863876
"(64, 32)",295,0.07192528277866655,0.0007307561555485312,0.063365890386338,0.2903163726657492,82,2.5,0.48051192553810357
"(64, 32)",333,0.1340052355792389,0.000644994805468307,0.0022758044746793295,0.271690714681239,93,2.5,0.2805120270918247
"(64, 32)",307,0.045743262960112,0.001,0.023753120071916867,0.21340584925771133,95,2,0.2873763816172193
"(64, 32)",332,0.05613048889231077,0.0007759584054002411,0.09206831465332463,0.2522902800824781,95,2.5,0.37929028504944734
"(64, 32)",287,0.0,0.0007865278483533966,0.06814217556406121,0.35,92,2.5,0.35745133965551507
"(64, 32)",300,0.06176184457979577,0.0007975508026839133,0.1,0.24876496913656454,80,3,0.49854566608493317
"(64, 32)",298,0.03172374539945018,0.0007892268338648757,0.015701712354920825,0.2946738201300243,80,2.5,0.48342059336823734
"(64, 32)",300,0.06017595881773862,0.0008022674022958343,0.09774288910531202,0.2684184294654075,80,2.5,0.4979639325189064
"(64, 32)",302,0.03969017518707938,0.0008144268844665015,0.1,0.26872118003552314,83,1,0.2118671277882632
"(64, 32)",210,0.12239009820630663,0.0007981014735517246,0.09790929398625656,0.21782122157861203,80,3,0.14798222065152467
"(64,)",301,0.164932827202904,0.0008064399581568195,0.1,0.25199446755345956,82,3,0.18262050237610317
"(64, 32)",150,0.1974787088921784,0.0009500483315577702,0.008765152460517005,0.2486298495682505,80,2.5,0.1566288429832218
"(64,)",315,0.0,0.001,0.04702449478054148,0.20555271516047438,84,3,0.2559627690517743
"(64,)",510,0.06217513079243767,0.0008246737778456283,0.028389925556169503,0.28245267242167355,80,1.5,0.2850494473531123
"(64, 32)",302,0.11578663914298717,0.000801504332678111,0.09046558727355947,0.20117027295902756,83,3,0.4991273996509598
"(64,)",131,0.032901461979711485,0.00012737390003430063,0.049751279097123596,0.3245086658710234,91,1,0.24994683178826915
"(64, 32)",302,0.11005535458610888,0.0008366416175895781,0.1,0.2006661469503984,82,2,0.4816753926701571
"(64, 32)",512,0.08212296462575165,0.001,0.06389226329717305,0.3056361449417176,93,1,0.2716695753344968
"(64,)",230,0.11423632138922393,0.0001,0.05477433229087566,0.32971175311985756,95,3,0.2827377461471788
"(64, 32)",304,0.10482295121950491,0.0007310457229515877,0.1,0.28750622371174656,80,2.5,0.49505526468877264
"(64,)",512,0.1778656122205071,0.0001,0.0001,0.3402143343803422,80,1,0.2665439897715092
"(64, 32)",128,0.19734708414498786,0.0001,0.0001,0.24740025258541193,95,1,0.38568935427574175
"(64, 32)",128,0.19874196772441313,0.0006597441366009996,0.02702066688289943,0.23438093275694571,95,1,0.2729454285846305
