hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,recall
"(64, 32)",121,0.3699788046125254,0.0030024418464333004,0.06755840309918724,0.8480186564383803,81,365,0.5114967462039046
"(64, 32)",131,0.39097586533368267,0.004542062813428836,0.06289515052717362,0.35216849515423926,88,417,0.48351409978308024
"(64, 32)",78,0.2824826749733974,0.0024388067896841817,0.04795501869431032,0.5173607415104158,80,163,0.49349240780911063
"(64,)",117,0.36135366793071055,0.004178512266187147,0.07910352186689487,0.023005213616213677,88,517,0.5314533622559653
"(64, 32)",128,0.10230401360713065,0.003004546086550322,0.009586901123724914,0.1626064535251866,80,390,0.5592190889370933
"(64,)",78,0.08763447725192204,0.002964438458464067,0.09383768692658202,0.49755878595428854,79,244,0.516702819956616
"(64,)",110,0.09004681782287605,0.0017706902209961763,0.03443422787811346,0.015462840169140617,84,323,0.5379609544468547
"(64,)",95,0.20999469192269593,0.004288192149767814,0.031907576692218595,0.9547367691700221,77,365,0.5240780911062907
"(64,)",67,0.1512796535436643,0.0027490846114332362,0.04685061708442685,0.6054046058966799,92,607,0.5331887201735358
"(64,)",104,0.0706120377654509,0.004051741751896676,0.04194307588850521,0.03857867173463846,84,422,0.5366594360086767
"(64,)",88,0.28012514237735625,0.004451967873556317,0.07445559749252599,0.6027554910330839,94,612,0.5158351409978308
"(64, 32)",101,0.18835120378158599,0.0025933669003332695,0.09737706707397455,0.12717745352291324,85,455,0.47635574837310196
"(64, 32)",114,0.23592390677877098,0.0013843648573099493,0.02221881148161396,0.38962419839955287,76,230,0.5245119305856834
"(64, 32)",116,0.18367641138193652,0.0011371576321280857,0.047471243211247544,0.9118384785410039,88,170,0.5409978308026031
"(64, 32)",72,0.03177429518961304,0.004012243253587558,0.04546425604715175,0.7615916387593127,94,359,0.5023861171366595
"(64, 32)",88,0.16498914017641264,0.001982477472566272,0.06340865668902369,0.567425624780963,85,471,0.486767895878525
"(64,)",129,0.015833449411382143,0.004672675558664949,0.06200769173252524,0.4999931063353621,92,160,0.5323210412147505
"(64, 32)",64,0.32168807253734166,0.0026887000478349253,0.04363616175988054,0.7841421446622009,94,205,0.49544468546637743
"(64,)",138,0.08153190060047713,0.002542851653732809,0.010527773695539382,0.13460579901571051,90,425,0.5492407809110629
"(64,)",94,0.22582232664660587,0.0038009169740810702,0.08091900729291562,0.07075305561416627,76,323,0.5340563991323211
"(64, 32)",69,0.28228039904312296,0.005704716955435894,0.01979217760270603,0.5909420109585647,88,691,0.5442516268980477
"(64, 32)",115,0.21482905588147017,0.0020781633806700424,0.0558060377873563,0.6370486623875127,80,616,0.4937093275488069
"(64, 32)",112,0.13005994585090028,0.0032743169278470776,0.0331759189256244,0.23212017065111196,86,175,0.5323210412147505
"(64,)",129,0.21957266420038232,0.003935590058803911,0.052636994789456354,0.5248916060112204,88,696,0.5288503253796095
"(64, 32)",102,0.027462018542096584,0.0035050977424503377,0.011900993956736243,0.9683411422434175,81,659,0.535357917570499
"(64, 32)",97,0.11542850927705212,0.004398356594053956,0.07076970259587545,0.9302531490909245,84,292,0.5440347071583514
"(64,)",148,0.24416748070447225,0.004311580343680772,0.029754043520957018,0.6650196689358303,95,539,0.5370932754880695
"(64, 32)",147,0.39782091278957527,0.0026212482176599314,0.04509717994751717,0.19038823929516818,75,657,0.5008676789587853
"(64, 32)",145,0.10333513506906272,0.003246795280725093,0.038244088444276333,0.39793236865549825,82,597,0.5247288503253796
"(64,)",118,0.20506072323598007,0.002123839395170312,0.03927715238926395,0.2685473383551627,75,203,0.5368763557483731
