hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,precision
"(64, 32)",101,0.27635394201074476,0.0007331927946470345,0.04916278144991648,0.7794677063882551,83,0.2113167495148523
"(64, 32)",76,0.16040702266448148,0.000645951158870736,0.03248267424861616,0.24526975840001208,89,0.3183246073298429
"(64, 32)",118,0.17610287122563056,0.00012954016033540515,0.07126178512073739,0.428007763856144,81,0.17697980248816775
"(64,)",128,0.14309156752360874,0.00044634945062407085,0.06550665861623502,0.37405382394646636,80,0.18039530549572624
"(64, 32)",130,0.31080177555591226,7.658285729080153e-05,0.017473260972046416,0.15477407736315305,77,0.42652705061082025
"(64,)",64,0.0,0.001,0.0001,0.001,95,0.24516021592289167
"(64, 32)",141,0.3647665262726053,0.0001675791098757738,0.002294788245950546,0.3106479987384867,75,0.21678052161593855
"(64, 32)",116,0.2433652605716713,0.00017852752232164513,0.019730151588156837,0.0653343189242516,80,0.21528918681443926
"(64,)",88,0.02166291488437814,8.521364985752864e-05,0.07430993431917815,0.17879737725124714,77,0.2426034108848325
"(64, 32)",131,0.26181506323547726,0.00046828642278476276,0.01281990394978373,0.3438467286817761,83,0.205846955495605
"(64, 32)",133,0.17040246849131996,0.0005160521355162396,0.036351568880842906,0.16533714337238656,80,0.19444084775015347
"(64, 32)",131,0.24126631350527608,5e-05,0.059771158716350865,0.4227032316521928,82,0.295587541592596
"(64, 32)",130,0.08001952727471755,6.228785630723136e-05,0.038590672491904655,0.18418235326888135,76,0.4670157068062828
"(64, 32)",130,0.0,5.0094588686728296e-05,0.034841938674208955,0.37449471277525415,75,0.6073298429319371
"(64, 32)",64,0.03568138373375284,0.000992271054426241,0.0001,0.999,75,0.4174520069808027
"(64, 32)",139,0.0,5e-05,0.009093918510013609,0.31185273898079874,75,0.6041884816753926
"(64, 32)",83,0.043682720334229555,5e-05,0.1,0.7850243367417565,75,0.6376963350785341
"(64, 32)",149,0.033926379788266015,5e-05,0.0001,0.999,75,0.6694589877835951
"(64,)",150,0.09286910399452196,5e-05,0.043177644853347436,0.999,75,0.35478319907038686
"(64, 32)",145,0.023275407728025162,5e-05,0.00037826586372466424,0.999,75,0.6638743455497382
"(64, 32)",150,0.04677340295292324,0.00024471441041409094,0.05201192691819797,0.999,75,0.23957485543456905
"(64, 32)",150,0.03069336210555525,6.438422363468018e-05,0.03274065863358702,0.999,95,0.46178010471204195
"(64, 32)",150,0.032486370962393755,5e-05,0.025855125669608774,0.999,78,0.6513089005235602
"(64,)",144,0.3268956860315958,5e-05,0.058628126649523486,0.999,75,0.2504791232065796
"(64,)",143,0.4,0.001,0.02044935681260924,0.19219191339907685,95,0.1395402967704393
"(64, 32)",150,0.0,0.0007903882972096596,0.045474793633099975,0.999,75,0.17072076208364462
"(64,)",75,0.4,0.00032003738718222705,0.0643988298524882,0.21512157894315204,95,0.1919535940115802
"(64, 32)",140,0.18939816558407033,0.001,0.09768510265728102,0.001,75,0.20236224425922478
"(64, 32)",150,0.028563186756236005,7.20575168038157e-05,0.0001495553862998536,0.999,75,0.6537521815008727
"(64, 32)",64,0.032598737767211027,5e-05,0.0001,0.999,75,0.6677137870855148
"(64, 32)",150,0.04815305565079022,5e-05,0.0001,0.999,75,0.6694589877835951
"(64, 32)",128,0.04225731757381085,5e-05,0.1,0.999,75,0.35592850334895737
"(64, 32)",64,0.0,5e-05,0.053627882199079234,0.999,75,0.6579406631762653
"(64, 32)",64,0.0,5e-05,0.1,0.999,75,0.6537521815008726
"(64, 32)",64,0.0,5e-05,0.013204616092737672,0.2743472197318761,75,0.7162303664921466
"(64, 32)",64,0.0,5e-05,0.0001,0.001,95,0.718673647469459
"(64, 32)",64,0.24090250917171674,5e-05,0.0001,0.001,84,0.6160558464223386
"(64, 32)",64,0.0,5e-05,0.06237829620820914,0.001,95,0.6830715532286212
"(64, 32)",76,0.0,5e-05,0.0001,0.001,81,0.662129144851658
"(64, 32)",64,0.0,5e-05,0.0001,0.999,95,0.6429319371727749
"(64, 32)",64,0.0,5e-05,0.051554883879964306,0.001,75,0.6575916230366492
"(64, 32)",64,0.0,5e-05,0.1,0.001,95,0.6335078534031413
"(64, 32)",64,0.0,5e-05,0.0001,0.001,75,0.718673647469459
"(64, 32)",64,0.0,0.00016523683687674052,0.0001,0.001,75,0.5057591623036649
"(64, 32)",90,0.0,5e-05,0.0001,0.999,75,0.6439790575916231
"(64, 32)",64,0.4,5e-05,0.1,0.9727843586485723,75,0.437347294938918
"(64,)",64,0.0,0.0006753859600963033,0.1,0.08698995242102087,75,0.2407805293902034
"(64, 32)",64,0.4,0.001,0.1,0.8576546167914343,95,0.43909249563699826
"(64,)",64,0.4,5e-05,0.0001,0.3016228128475454,95,0.6010471204188482
"(64,)",64,0.0,5e-05,0.0001,0.33565725186977974,95,0.6666666666666667
"(64,)",64,0.0,5e-05,0.0001,0.001,75,0.5064572425828971
"(64,)",64,0.0,0.0005027110237690182,0.0001,0.999,95,0.21897571855779016
"(64,)",64,0.4,0.001,0.1,0.4959265283936156,75,0.1873729816684909
"(64, 32)",64,0.0,5e-05,0.0001,0.001,85,0.718673647469459
"(64, 32)",64,0.0,5e-05,0.0243320333820356,0.001,95,0.6712041884816754
