hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,c2,f1_score
"(64, 32)",293,0.13817697100537238,0.0007472352791392958,0.04916278144991648,0.3170041642868119,86,2,0.20213630558458143
"(64,)",282,0.12546340186752336,0.000391735804041587,0.0245514517676966,0.30421327657779035,89,2.5,0.2853825612446302
"(64,)",160,0.14246603627775253,0.00048507714175403764,0.029848271724270552,0.27381271651885136,91,1.5,0.24637176361314292
"(64,)",379,0.0747602853600133,0.00031106158766405756,0.09880072912301509,0.3148993925289493,92,1,0.23953817597842128
"(64,)",187,0.01541729615965666,0.0009008791296460941,0.07506283260620818,0.30401048654037716,88,2,0.2540345988621851
"(64,)",512,0.10013246134305667,0.00024391961208083962,0.08322263366648833,0.2246409394806339,87,2.5,0.2562405665853942
"(64,)",330,0.1436348830885386,0.0006552936814277856,0.03384941312197,0.35,95,2.5,-1.0
"(64,)",512,0.2,0.0001,0.08115943024924133,0.2,88,1,0.2558922558922559
"(64,)",500,0.08498996149340193,0.0001,0.0917379711286874,0.3030137165516396,91,1,0.24068268895855102
"(64,)",128,0.2,0.00025416211491925775,0.0001,0.2,89,1.5,0.31313131313131315
"(64,)",128,0.2,0.00012325027188633407,0.0001,0.2,89,1.5,0.3697789490700834
"(64, 32)",128,0.2,0.0001,0.02812402306841012,0.2,89,1.5,0.3499771234859123
"(64, 32)",162,0.2,0.0002678896772873873,0.010313339646867151,0.2,89,1.5,0.3168466271914548
"(64, 32)",128,0.2,0.0001,0.0001,0.2,89,1.5,0.350400557297109
"(64, 32)",128,0.14745673384289482,0.0001,0.0001,0.20023001189520276,90,1.5,0.3529548357134564
"(64, 32)",128,0.0,0.0001,0.0001,0.2,95,2,0.3530746383307959
"(64,)",128,0.07706523313535593,0.0001,0.0001,0.2028548702549574,95,1.5,0.3770766101954268
"(64,)",174,0.0,0.0001,0.0001,0.20038944605906442,94,2,0.2783002438174852
"(64, 32)",128,0.06639873780129622,0.00015175562504026689,0.003794313380257421,0.3461895175783014,87,2.5,0.3148728665970045
"(64, 32)",128,0.2,0.0001,0.08693636131125217,0.30753856393562734,95,1.5,0.34720750137136647
"(64,)",236,0.1500284027987799,0.0003066148931408015,0.022156062511737802,0.286840387162594,86,2.5,0.26390340183443634
"(64,)",128,0.07483692600981519,0.0001,0.0001,0.2,95,1.5,0.37694396660874424
"(64,)",336,0.0,0.00035301065953270613,0.0001,0.2,80,1.5,0.2001625449901312
"(64,)",512,0.2,0.0005990101940525853,0.03582984626336837,0.2,82,1,0.25972367351677694
"(64,)",128,0.0,0.00010225623735663746,0.0001,0.2,91,1.5,0.37538135031171244
"(64,)",128,0.0,0.0001,0.0001,0.2,95,1.5,0.3748507759649821
"(64,)",128,0.2,0.0001,0.0001,0.2,95,2,0.33762916521537206
"(64,)",128,0.0,0.0001,0.0001,0.200712482538917,95,1.5,0.37471813237829954
"(64,)",128,0.0,0.0001296201349774391,0.0001,0.2,95,1.5,0.3703703703703704
"(64, 32)",128,0.2,0.0001,0.0001,0.2,80,2,0.34680134680134683
"(64, 32)",128,0.13040694658981336,0.001,0.05356196470683928,0.21452118446813886,83,1,0.2979217461976083
"(64,)",512,0.1485444935083317,0.0009343572151673647,0.025091603119001386,0.320655428471109,93,1,0.27075351213282245
"(64, 32)",128,0.005028865997659296,0.0001,0.009882957476990858,0.21188119952544973,93,1,0.3750142568773853
"(64,)",128,0.0,0.00010695326833365504,0.0001,0.2,80,1,0.3907737922124366
"(64,)",128,0.2,0.00014196234829194203,0.0001,0.2,80,1,0.39409259705100635
"(64,)",267,0.09794025645318166,0.00022030910752167485,0.021256210006442566,0.22439872197246072,93,2.5,0.259723673516777
"(64,)",128,0.0,0.0001716569950476406,0.0001,0.2,83,1,0.4015219315382604
"(64,)",132,0.0,0.00020597679966965978,0.0001,0.2,95,3,0.26610936955764536
"(64,)",299,0.0,0.0001,0.0001,0.2,95,1.5,0.26901195866713107
"(64, 32)",128,0.057757558140423604,0.0009260523171931496,0.048336517074717,0.30724984864810667,94,1.5,0.261929641239986
