hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,auc
"(64, 32)",128,0.12115522284858588,0.00038363395513621115,0.0490005381343062,0.9458787953201709,83,348,-1.0
"(64,)",144,0.20362669728592137,0.00015844908126951595,0.059520641098261655,0.3495174415964383,81,511,-1.0
"(64,)",69,0.10670488252008917,0.0002145140939878537,0.0650268243295734,0.5225987370565248,81,650,-1.0
"(64, 32)",79,0.08014159399461528,0.0006705383417254157,0.0048559614012841515,0.9550620666009492,90,334,0.7217739351212777
"(64,)",132,0.015081009448784547,4.845857354465483e-05,0.09758810864029929,0.6543788260422845,88,632,-1.0
"(64, 32)",113,0.3841687192269347,0.00024493917859253037,0.005506895554732529,0.31310919343853705,79,400,-1.0
"(64, 32)",67,0.062112805170206155,0.000697338123112548,0.05841330309092288,0.4432321774895562,93,203,-1.0
"(64, 32)",104,0.010160182620230364,0.0008031743669336434,0.008875644208157472,0.9733389424447014,90,309,-1.0
"(64,)",112,0.023178687313816903,0.0006311673798091111,0.009990577103918347,0.21782876102088303,90,553,-1.0
"(64,)",86,0.36597977438807267,0.0009073666483272706,0.0001,0.9280838334336659,83,530,-1.0
"(64, 32)",70,0.05638450123990392,0.0006278265522602713,0.039013588542470556,0.999,93,575,0.7518730540744505
"(64,)",127,0.18803155277416783,0.0006161695713771576,0.09400364016197361,0.812420539333644,82,323,-1.0
"(64, 32)",71,0.353705495252004,0.0007115007846805705,0.08597691552616034,0.838434719143522,80,293,-1.0
"(64,)",74,0.0,0.00016829329305745276,0.06202655689638416,0.9050606264377341,86,414,-1.0
"(64, 32)",71,0.12906503020092583,9.640625361016397e-05,0.017542468692172113,0.999,84,189,0.7540997641187446
"(64, 32)",67,0.2261579329531292,0.0002576437325015211,0.07480561658634345,0.9544485989167226,93,290,-1.0
"(64, 32)",71,0.02224767224687728,0.000493339868296021,0.016594057026305335,0.999,93,700,0.7404570365236716
"(64, 32)",79,0.17977576029133932,0.00101,0.030264991854736436,0.999,95,700,-1.0
"(64, 32)",70,0.05590794934771859,0.0005352476757818415,0.04484740165124061,0.9956826062093339,85,248,-1.0
"(64, 32)",70,0.22274403761915745,0.00014445085990891075,0.0001,0.24902318539945004,92,545,-1.0
"(64, 32)",120,0.30415298456257606,0.0006507036808063208,0.029268041788084682,0.9157918111556991,95,180,-1.0
"(64,)",68,0.010381613354900919,0.00022900463573041378,0.0024872930500973597,0.999,88,365,0.7325366929030839
"(64, 32)",64,0.0,0.0009162327112161834,0.0001,0.999,82,448,0.7449130045659329
"(64,)",64,0.11448013335642993,0.00013181647634159528,0.0001,0.999,93,387,0.7321963810999196
"(64,)",114,0.37871855984513375,0.000374669507199296,0.04953096139940575,0.9469134998201946,90,185,-1.0
"(64,)",64,0.13672323764127864,0.0005567083841823846,0.1,0.9909014077170232,93,485,-1.0
"(64, 32)",64,0.0,0.0009692867723646815,0.0001,0.7962152201495973,89,316,-1.0
"(64,)",81,0.3513701433803384,0.0007511672016196283,0.07937999586763739,0.992860874322255,84,451,-1.0
"(64, 32)",64,0.0,0.0009015279518252977,0.0001,0.9612022405733511,85,216,-1.0
"(64,)",68,0.04263476054989299,0.00026527210639119993,0.006860743446142345,0.999,87,502,0.7389498922985908
"(64, 32)",69,0.006456861312794569,0.0006672888331856852,0.006795451293232374,0.999,92,536,0.7411086845638093
"(64,)",83,0.05413406231072435,0.0006249423112695265,0.0001,0.9589300164803694,82,200,0.698555630242859
"(64, 32)",77,0.20407977575677233,9.161643006957182e-05,0.0001,0.999,89,237,0.7548794971974879
"(64, 32)",64,0.2512167594405148,0.0005824865158760707,0.023836012736479895,0.999,88,631,0.7501898521760235
"(64,)",67,0.2940592740531411,1e-07,0.0001,0.999,89,150,0.45180876268525405
"(64, 32)",68,0.18735670967822338,8.070623370479133e-05,0.02651408488304659,0.999,90,700,0.7563630461864599
"(64, 32)",64,0.3825952825765699,0.00039845044491912857,0.0001,0.999,80,700,0.7537756170077211
"(64, 32)",103,0.13814652478303774,1e-07,0.0001,0.999,89,700,0.46312843203434306
"(64, 32)",64,0.001443808569007902,0.00038204317185557273,0.0001,0.999,88,700,0.7473018829733173
"(64, 32)",150,0.2032400072475364,0.00101,0.1,0.001,85,700,-1.0
"(64, 32)",64,0.2686260137125611,1e-07,0.0001,0.999,77,700,0.4655160542413118
"(64, 32)",64,0.31288105671923655,0.00030567701335842257,0.0001,0.8370016882674121,89,700,0.6845665350105425
"(64,)",150,0.04230521745778923,1e-07,0.0001,0.999,94,150,0.4488276687385283
"(64, 32)",64,0.4,0.0004949828989051693,0.0001,0.999,80,700,0.7509815902643994
"(64,)",78,0.016561261096651857,1e-07,0.007939209740715247,0.7281237244444809,85,150,0.46717205821564556
"(64, 32)",64,0.07432922324548612,0.00038726825031694097,0.0001,0.999,89,150,0.7502068464344765
"(64, 32)",121,0.295924776278137,0.00031048871601338485,0.0001,0.999,75,700,0.7548356723943086
"(64, 32)",78,0.15207336720520268,1e-07,0.0001,0.8403703038336425,87,688,0.47351288387588547
"(64, 32)",106,0.28136682535940166,0.0006263422323713055,0.0001,0.999,83,402,0.7568921554313366
"(64, 32)",69,0.37878437463684295,0.0001807586830173482,0.0001,0.999,78,150,0.7580485708705611
"(64, 32)",117,0.39852873611901196,0.0008928061027436805,0.00864582005841044,0.8605604617011855,82,403,0.6971013649447082
"(64, 32)",129,0.3893439512098551,0.0007990116697319479,0.027661791680163077,0.001,85,461,-1.0
"(64, 32)",101,0.39991910073776127,0.00013577978794421315,0.06602920701587119,0.8281753901065806,91,699,-1.0
"(64, 32)",64,0.15838251964823896,0.00046575394294009353,0.0001,0.999,80,305,0.7487766030065379
"(64,)",64,0.4,0.00034610256207614484,0.0001,0.999,79,221,0.7479341547145913
"(64, 32)",64,0.4,0.00038032691794516384,0.014034883364118438,0.999,75,588,0.7541388959467864
"(64,)",87,0.15806134343295264,0.0005541358760734947,0.0001,0.999,87,338,0.7286871733878919
"(64,)",114,0.18946333588659783,0.00042413849746033346,0.0001,0.8517175002369225,93,486,0.6724410723495593
"(64,)",64,0.36692145538632165,0.0002342563257253388,0.012930753155466875,0.999,75,673,0.747380111076559
"(64, 32)",91,0.1857658097198506,1e-07,0.1,0.001,85,150,0.5586884153671707
"(64, 32)",75,0.06955154374683185,0.0005332698008271351,0.01903872801946471,0.999,89,517,0.7502330370280479
"(64,)",101,0.36272025416021014,0.0004379287747774988,0.0001,0.5047027894736463,86,157,-1.0
"(64, 32)",95,0.3565663840900748,0.0004011276728216715,0.0001,0.8654205017047081,76,357,0.6957023132101088
"(64,)",92,0.11888715399376965,0.0005857988843673024,0.08066550943245418,0.8642620266735708,83,512,-1.0
"(64, 32)",114,0.0,0.0006445439969275037,0.0001,0.7608675152282188,95,374,-1.0
"(64, 32)",147,0.24080921050451415,0.0004025774343531047,0.0001,0.8526947976444077,90,423,0.6850970308162553
"(64, 32)",113,0.3368063451257233,0.00021272978586208639,0.09161992585430592,0.999,82,552,-1.0
"(64,)",98,0.12634638044978216,1e-07,0.1,0.001,95,700,0.5453263063536247
"(64, 32)",126,0.07074100740532425,0.00040183918843902954,0.0062116844680174185,0.999,85,237,0.7545025422652185
"(64, 32)",119,0.2635320151677713,1e-07,0.1,0.001,75,700,0.5603298426763041
