hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,auc
"(64,)",143,0.289464828541315,3.0832329431247927e-06,0.09112371580992783,0.7463637524366322,81,522,-1.0
"(64,)",139,0.026839455551870114,3.974301097191779e-06,0.05034204297549784,0.6188682938293995,83,509,-1.0
"(64,)",134,0.026384080555337704,9.926741654266456e-06,0.010181235570203374,0.7936141084435806,93,454,-1.0
"(64,)",124,0.3706275880773667,9.917594927163408e-06,0.0104032776326209,0.4862856672748112,84,698,-1.0
"(64,)",118,0.26681784675996423,6.493155139399214e-06,0.002602423619004115,0.7871174626372516,75,525,0.641446246947196
"(64, 32)",80,0.25502287313436106,1.4370600286188876e-06,0.051399308106864015,0.6819914823084606,87,213,0.4805239951660776
"(64, 32)",129,0.251232443885065,9.93961754499459e-06,0.03163762363149486,0.22210935235772586,95,432,-1.0
"(64, 32)",119,0.039410892306275355,7.329706504782181e-06,0.06926640627533441,0.19789939123412523,94,286,-1.0
"(64,)",80,0.2839956895942441,6.099522602620826e-06,0.01627061172473411,0.0021962034118173396,91,367,-1.0
"(64, 32)",73,0.03927193117687909,1e-07,0.061931822954194735,0.07095413078586753,77,438,0.5413058448240119
"(64, 32)",138,0.1871687424863719,7.158729004912021e-07,0.049172010862173106,0.4199101628228731,75,150,0.4879445211332413
"(64,)",68,0.3487243761022919,3.952351327552022e-07,0.035169421208547595,0.9062276300460134,83,642,0.5185186300052081
"(64, 32)",126,0.3494663439015861,6.723550641383481e-06,0.009398727612502662,0.2190989737004583,84,592,-1.0
"(64, 32)",64,0.0050965782461228565,5.330547680889237e-07,0.07555955107960252,0.07893766486962747,86,658,-1.0
"(64, 32)",64,0.4,2.663117910322515e-06,0.0001,0.999,75,150,-1.0
"(64,)",105,0.2762670924024541,7.753956699590283e-06,0.08379704365222602,0.29478769047045256,75,598,-1.0
"(64,)",147,0.39905171068158085,4.514103183284237e-06,0.0001,0.9000113222251486,84,624,0.6034290795068994
"(64,)",67,0.4,1e-05,0.0001,0.17392402385290334,75,700,-1.0
"(64, 32)",91,0.16787594177769502,1e-07,0.05547690915286913,0.7365638207630081,93,609,0.4420380200511708
"(64,)",97,0.3688723971089032,1e-07,0.03840360730273175,0.7182779814640361,75,188,0.45176436903660333
"(64,)",148,0.010774149226873246,2.871359100494409e-07,0.06916522553990763,0.0012257957587136115,81,401,0.49235425863001786
"(64, 32)",77,0.30267690540294806,2.150708659402002e-06,0.038324174242269436,0.6181683980098358,78,322,0.5255377643867339
"(64, 32)",94,0.19952358992434627,1e-07,0.039798344433692366,0.5071305499032626,94,379,0.4692694112196552
"(64,)",86,0.05477140928917045,1e-07,0.05919314214627356,0.19110373118512053,78,611,0.48282085886817444
