hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,recall
"(64, 32)",101,0.27635394201074476,0.0007331927946470345,0.04916278144991648,0.7794677063882551,83,0.2714967462039045
"(64, 32)",76,0.16040702266448148,0.000645951158870736,0.03248267424861616,0.24526975840001208,89,0.3410845986984815
"(64, 32)",118,0.17610287122563056,0.00012954016033540515,0.07126178512073739,0.428007763856144,81,0.25370932754880693
"(64,)",128,0.14309156752360874,0.00044634945062407085,0.06550665861623502,0.37405382394646636,80,0.25249457700650757
"(64, 32)",130,0.31080177555591226,7.658285729080153e-05,0.017473260972046416,0.15477407736315305,77,0.40130151843817796
"(64,)",64,0.0,0.001,0.0001,0.0010000000000000059,95,0.3431670281995661
"(64, 32)",150,0.4,0.001,0.005517230807819871,0.999,75,0.2675921908893709
"(64, 32)",129,0.3937643351016249,5e-05,0.010822985081922355,0.09469418153882245,78,0.3629501084598698
"(64,)",148,0.340727383777052,0.0003655672549375242,0.009886555048243892,0.3357532742223748,79,0.25475054229934924
"(64,)",100,0.12637865683811808,0.001,0.1,0.18015795170980115,95,0.22750542299349244
"(64, 32)",91,0.04360677314161084,0.001,0.1,0.1791388908123844,94,0.27418655097613887
"(64, 32)",140,0.01107027445842219,0.0008497910965691206,0.004881007987098335,0.17275114378619186,90,0.24841648590021692
"(64, 32)",128,0.28653568077805924,0.0005874464097957315,0.020500979850235575,0.2984986543347041,75,0.24989154013015186
"(64,)",130,0.1941471023441713,5e-05,0.0822077600676332,0.8508538615388077,79,0.24295010845986983
"(64, 32)",124,0.15376327958721145,5e-05,0.025221557495283216,0.5719400255796404,84,0.43861171366594365
"(64, 32)",112,0.30908512224878865,5e-05,0.02682716705152392,0.3228392099380458,82,0.40364425162689804
"(64, 32)",132,0.3478679967747149,5e-05,0.03133521936784671,0.9547622196383027,93,0.34047722342733194
"(64, 32)",118,0.14481773161303732,5e-05,0.020486309478034172,0.2299803038485707,78,0.40008676789587855
"(64, 32)",134,0.028276178406469343,5e-05,0.02976579427587645,0.7180461075881902,79,0.43861171366594365
"(64, 32)",130,0.007194659935919937,5e-05,0.02628200759406496,0.6693933104305244,81,0.4532754880694143
"(64,)",132,0.09492891723052255,5e-05,0.026009541217336864,0.17233409453362195,82,0.29665943600867684
"(64, 32)",140,0.3664365794336837,5e-05,0.021232579466507917,0.999,81,0.3370065075921909
"(64, 32)",136,0.0,5e-05,0.024792322895511476,0.5334473594699345,76,0.45379609544468547
"(64, 32)",129,0.0,0.00011435096949191591,0.025491215647157957,0.5767382216921524,94,0.2976138828633405
"(64, 32)",74,0.0,5.991553269972649e-05,0.0001,0.5931316510827285,93,0.46004338394793926
"(64, 32)",74,0.02071897136848591,0.0002685826001859262,0.1,0.999,78,0.2861605206073753
"(64, 32)",126,0.038661378907120965,5.725372990908691e-05,0.0001,0.6186730472776624,75,0.43201735357917564
"(64, 32)",85,0.009671342132741166,5e-05,0.009012470934723647,0.8044850386387338,81,0.46377440347071586
"(64, 32)",119,0.04668366970579082,5e-05,0.021437800476298303,0.6317165320734776,78,0.44633405639913226
"(64, 32)",76,0.0,5e-05,0.002884378166484936,0.728137310507494,86,0.4681995661605206
"(64, 32)",65,0.04720848437355926,5e-05,0.006951611248744352,0.7548211728639866,90,0.4596963123644251
"(64, 32)",64,0.0,5e-05,0.02597246445067261,0.6087059013093014,94,0.45674620390455534
"(64,)",64,0.001836003882388264,0.0006748079422005474,0.1,0.001,85,0.2470281995661605
"(64,)",64,0.4,0.00022383373805586932,0.0001,0.001,79,0.31557483731019526
"(64, 32)",64,0.0,5e-05,0.01203720109780174,0.013047737827364549,87,0.44017353579175705
"(64, 32)",64,0.379153979846394,5e-05,0.0001,0.999,95,0.5448156182212582
"(64, 32)",64,0.4,5e-05,0.0001,0.001,95,0.4266377440347072
"(64, 32)",64,0.4,5e-05,0.0001,0.999,95,0.5373535791757049
"(64, 32)",64,0.4,7.372708913232924e-05,0.08940935656901043,0.999,87,0.2235140997830803
"(64,)",64,0.4,5e-05,0.0001,0.999,95,0.46941431670281997
"(64, 32)",64,0.0,0.00011067120294945607,0.0001,0.001,83,0.42255965292841646
"(64, 32)",64,1.4945351363911974e-17,5e-05,0.1,0.001,79,0.3974837310195228
"(64,)",64,0.0,0.0005657900345474091,0.1,0.999,86,0.3091540130151844
"(64,)",64,0.0,0.0008726104858578302,0.1,0.999,88,0.3248590021691974
"(64, 32)",64,0.4,5e-05,0.0001,0.8503535658775181,75,0.5803904555314534
"(64, 32)",64,0.3743012396236733,5e-05,0.0001,0.7678615001139566,75,0.497353579175705
"(64, 32)",64,0.4,5e-05,0.0001,0.999,75,0.5373535791757049
"(64, 32)",64,0.4,5e-05,0.0001,0.999,84,0.5373535791757049
"(64, 32)",64,0.4,5e-05,0.013527980717900814,0.999,75,0.5049023861171367
"(64, 32)",64,0.3642256144813237,5e-05,0.0001,0.8939635452965965,77,0.5920173535791757
"(64, 32)",64,0.2112660643056209,0.000347636484641005,0.0001,0.999,75,0.33101952277657265
"(64, 32)",64,0.3445167954847105,6.926135115089e-05,0.0001,0.9058200973361735,94,0.5777006507592191
"(64, 32)",150,0.0,0.00028359610406688364,0.1,0.001,82,0.29865509761388287
"(64, 32)",64,0.22686336630583226,5e-05,0.0001,0.9400528159212616,76,0.6039913232104122
"(64, 32)",64,0.2431214015068134,5e-05,0.0001,0.999,75,0.577006507592191
"(64, 32)",64,0.24250344528619358,1e-06,0.0001,0.999,75,0.2662906724511931
"(64, 32)",64,0.0,1e-06,0.0001,0.4499947406679261,82,0.30976138828633404
"(64, 32)",64,0.2165710190510386,5.66223876951812e-05,0.0001,0.9361165611924612,95,0.6133622559652928
"(64, 32)",150,0.4,0.0004692576495323743,0.0001,0.999,85,0.2219522776572668
"(64, 32)",64,0.23636896287436082,6.954275915892331e-05,0.0001,0.999,80,0.5723210412147506
