hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,f1_score
"(64, 32)",101,0.27635394201074476,0.008147673039516776,0.04916278144991648,0.7794677063882551,83,0.258098223615465
"(64, 32)",76,0.16040702266448148,0.007247706691508645,0.03248267424861616,0.24526975840001208,89,0.3423894113549286
"(64, 32)",118,0.17610287122563056,0.0019205195487231267,0.07126178512073739,0.428007763856144,81,0.25287356321839083
"(64,)",128,0.14309156752360874,0.0051886574906483095,0.06550665861623502,0.37405382394646636,80,0.2075931731104145
"(64, 32)",130,0.31080177555591226,0.0013742231594209,0.017473260972046416,0.15477407736315305,77,0.3051201671891327
"(64,)",148,0.03940745665909973,0.010359880359698571,0.029144833790709108,0.08278517246590682,85,0.15081853012887494
"(64,)",64,0.4,0.0011,0.0001,0.999,75,0.46812957157784746
"(64, 32)",64,0.0,0.0011,0.0001,0.001,75,0.37494199535962874
"(64,)",64,0.4,0.0011,0.1,0.08485035223670177,84,0.3396029258098224
"(64,)",64,0.4,0.0051398844377226836,0.0001,0.001,95,0.2800417972831766
"(64, 32)",64,0.4,0.0053447620865239905,0.1,0.001,75,0.29710902124695227
"(64, 32)",64,0.29071099177106235,0.0011,0.1,0.999,75,0.4626450116009281
"(64,)",64,0.4,0.003931152029026634,0.0001,0.999,75,0.30233368164402646
"(64,)",85,0.3745807700342785,0.001535131325785418,0.0001,0.999,84,0.23894113549285964
"(64,)",64,0.4,0.0011,0.0001,0.9313207957154223,88,0.4674329501915709
"(64,)",66,0.4,0.0011,0.039698924193598065,0.998831040457361,92,0.2762103796586555
"(64,)",64,0.4,0.0016566121851600718,0.025733430355953414,0.999,89,0.2932776036224312
"(64, 32)",64,0.4,0.0011737083395299101,0.08487329345045655,0.9919087637959987,87,0.2396377568791362
"(64, 32)",64,0.29078970480613603,0.001151728716960187,0.09950368657754638,0.37896650966480155,80,0.30919220055710306
"(64, 32)",77,0.3123591693236105,0.007368313507357597,0.023176044516402528,0.7186226046270042,83,0.34761407175200276
"(64, 32)",76,0.32661243381897476,0.007422687676643626,0.024256244756816665,0.10163095085880636,89,0.35876001393242773
"(64,)",75,0.17597013819461335,0.007366802370220335,0.07044897185648072,0.999,81,0.2629745733194009
"(64, 32)",77,0.23195099298651323,0.0075141064841635265,0.0793246266943366,0.001,90,0.3497039359108325
"(64,)",76,0.3262204132398601,0.00758424448261853,0.08921871506069803,0.001,87,0.25322187391152906
"(64, 32)",78,0.18989891719305474,0.007449986427437646,0.02533177823407827,0.10090321745696307,85,0.3333333333333333
"(64, 32)",78,0.3752028839223347,0.007209156486784162,0.07260708150586738,0.001,94,0.31940090560780215
"(64,)",76,0.25638423545190786,0.007054736180537322,0.036423045709525974,0.0018897047101853006,88,0.25879484500174155
"(64, 32)",79,0.24514827876519174,0.007616436671232587,0.06664334932279166,0.7953260756956069,82,0.33646812957157785
"(64, 32)",81,0.21519473750178608,0.00757979457332215,0.05359086619016564,0.11113190343646755,84,0.3058167885754093
"(64, 32)",79,0.1340793679438995,0.007808270628904867,0.039337992940510005,0.9317603089424453,86,0.34099616858237547
"(64,)",64,0.0,0.0011,0.0001,0.9481221593011716,84,0.41239986067572276
"(64, 32)",76,0.4,0.0011,0.0011014819990791333,0.999,82,0.5234338747099768
"(64, 32)",78,0.4,0.0011,0.0020295735678963955,0.999,90,0.5215777262180974
"(64, 32)",80,0.4,0.002107034570747416,0.0001,0.2438758926869769,92,0.2897944966910484
"(64,)",85,0.4,0.0011,0.0001,0.999,75,0.30790665273423895
"(64, 32)",76,0.4,0.0011,0.0001,0.9646117906839915,88,0.5089534421010744
"(64, 32)",72,0.4,0.0011,0.0034923293856252524,0.989325583382538,79,0.5187935034802784
"(64, 32)",75,0.39609919250786063,0.0011113640511778797,0.002372545297430966,0.999,79,0.5164733178654293
"(64, 32)",70,0.4,0.0011,0.0020285384430321516,0.999,83,0.5160092807424594
"(64, 32)",64,0.23949466139116385,0.0011,0.1,0.999,75,0.46518105849582175
"(64, 32)",64,2.769252537586284e-18,0.0109,0.1,0.999,95,0.3486590038314176
"(64, 32)",150,0.17316384897324913,0.0109,0.1,0.999,94,0.266805990943922
"(64, 32)",64,0.20266439110216639,0.0109,0.0001,0.999,87,0.35214211076280044
"(64, 32)",64,0.4,0.0011,0.0031138072648386455,0.999,76,0.49285963079066525
"(64, 32)",76,0.15182365463034286,0.0011,0.0035306162330212693,0.999,86,0.4747313967369678
