hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,c2,f1_score
"(64, 32)",293,0.13817697100537238,0.0007472352791392958,0.04916278144991648,0.3170041642868119,86,2,0.29757343550446996
"(64,)",282,0.12546340186752336,0.000391735804041587,0.0245514517676966,0.30421327657779035,89,2.5,0.2719145477766168
"(64,)",160,0.14246603627775253,0.00048507714175403764,0.029848271724270552,0.27381271651885136,91,1.5,0.2200162544990131
"(64,)",379,0.0747602853600133,0.00031106158766405756,0.09880072912301509,0.3148993925289493,92,1,0.2693602693602694
"(64,)",187,0.01541729615965666,0.0009008791296460941,0.07506283260620818,0.30401048654037716,88,2,0.21467549053755952
"(64, 32)",279,0.002138590105060124,0.0007470231370060977,0.009812048280783822,0.32404443450977005,86,3,0.27597817252989665
"(64, 32)",308,0.19921215662315914,0.0007130702975091588,0.043272462440518855,0.33297457092512206,83,1,0.2027168234064786
"(64, 32)",498,0.12506881766516054,0.00046832809960714795,0.08494922105765305,0.2558921326913675,94,2.5,0.2438174851967955
"(64, 32)",512,0.2,0.00010337635230404747,0.054278179278057864,0.28518677865886355,95,2,0.2200162544990131
"(64, 32)",246,0.2,0.0001,0.1,0.21815034419304413,88,1.5,0.23499361430395913
"(64, 32)",327,0.07855551259199092,0.0009354344733413959,0.03747459127759146,0.2818320160519385,85,3,0.27365610124230816
"(64, 32)",166,0.0,0.0001,0.0001,0.2749555433418204,84,2,0.2503192848020434
"(64, 32)",180,0.03781086109486237,0.0007531095938419353,0.017214433189697384,0.2837868243457291,80,2,0.20515499825844652
"(64, 32)",306,0.07621565858254954,0.0006201703669392909,0.010473141230520046,0.3088299776673241,84,2,0.2394055497503773
"(64, 32)",164,0.2,0.00021700551684635314,0.09937580965526903,0.3323022433313844,87,3,0.1717171717171717
"(64,)",128,0.13126824027521475,0.0002569996224769848,0.08136154582806011,0.2721491689093408,95,2,0.2185069081620806
"(64, 32)",147,0.15492367845127303,0.000595134859813218,0.06291177933114583,0.27806199826903616,86,2,0.16556368280506215
"(64, 32)",325,0.013913093849332285,0.0008640379769564635,0.048767070772870603,0.2608723673954141,87,2,0.24811331707883433
"(64, 32)",302,0.2,0.0008813656735731155,0.05096343667170562,0.2793240061597424,86,2,0.3122024846162777
"(64, 32)",311,0.2,0.0008385489637833135,0.08826096010626965,0.21110962290813284,86,2,0.2634389875769186
"(64, 32)",307,0.2,0.000720606720864805,0.08715617347607776,0.2905316945299015,86,2,0.2547312202484616
"(64,)",295,0.2,0.001,0.04419944814972564,0.2317505452556848,86,3,0.21212121212121213
"(64, 32)",297,0.2,0.001,0.041191064007827155,0.3001367648311501,86,1.5,0.3019853709508882
"(64, 32)",320,0.06226303344731025,0.0004919239866948127,0.03995548040112528,0.23762847479804386,86,2,0.2277951933124347
"(64, 32)",291,0.1908529744708396,0.0009693292017916082,0.04449577775681863,0.24957296565786394,87,3,0.31731104144897243
"(64, 32)",296,0.2,0.000998181727452897,0.04344063572163485,0.24861459889433982,81,2,0.3168466271914548
"(64, 32)",266,0.2,0.001,0.013639523435745312,0.20989896191491444,94,2,0.2663415766864043
"(64, 32)",293,0.18294274360991059,0.001,0.0519718585493074,0.3207312186399228,94,2,0.3111575525368629
"(64, 32)",298,0.2,0.0009776259568101283,0.040909902478578855,0.2,84,3,0.3189364913502844
"(64,)",204,0.12151895923013589,0.00034400688366349036,0.03250435570748243,0.2573738609004516,91,2.5,0.2625101590618832
"(64,)",272,0.10410023528289354,0.0009055399903210672,0.09527613221013913,0.25311242094858116,86,2.5,0.24045048182979215
"(64, 32)",269,0.2,0.0001,0.0001,0.3152981261023392,87,2.5,0.24323696737489842
"(64,)",461,0.029338647436957268,0.00014565385547096353,0.09352559406404111,0.26390956320336845,88,1,0.25159642401021715
"(64,)",355,0.05938510701014316,0.0001,0.0001,0.2513274697048733,81,2.5,0.2616974341112272
"(64,)",346,0.2,0.0008776160981376662,0.0001,0.2037995278465126,95,2.5,0.27261116916289335
"(64,)",414,0.0,0.001,0.0001,0.3352268074268552,84,2.5,0.19737605944502498
"(64,)",417,0.039589372496745046,0.001,0.09102741723101121,0.29747247061871307,95,1,0.30593289213978864
"(64,)",422,0.0,0.001,0.03957912107525676,0.2824701757079901,85,1,0.15464994775339602
"(64,)",416,0.18656382088378667,0.001,0.1,0.31933903980335054,94,1,0.3067456170904447
"(64,)",397,0.033777672071679664,0.001,0.1,0.23042589984513043,94,1,0.2997794032276791
