hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,f1_score
"(64, 32)",101,0.27635394201074476,0.003809781516216234,0.04916278144991648,0.7794677063882551,83,0.2392894461859979
"(64, 32)",76,0.16040702266448148,0.003356460679116331,0.03248267424861616,0.24526975840001208,89,0.3148728665970045
"(64, 32)",118,0.17610287122563056,0.000673110417964621,0.07126178512073739,0.428007763856144,81,0.2828282828282828
"(64,)",128,0.14309156752360874,0.0023192997792340396,0.06550665861623502,0.37405382394646636,80,0.21212121212121215
"(64, 32)",130,0.31080177555591226,0.0003979361994493947,0.017473260972046416,0.15477407736315305,77,0.29943109253454075
"(64, 32)",150,0.18592055097867588,0.0002598076211353316,0.1,0.001,95,0.31452455590386624
"(64, 32)",64,0.0,0.0002598076211353316,0.0001,0.001,75,0.36811274972834857
"(64, 32)",150,0.0,0.005196152422706632,0.0001,0.001,95,0.18414025310577034
"(64,)",64,0.3952361724498853,0.0002598076211353316,0.07248766887641805,0.001,84,0.36839660977592015
"(64,)",64,0.4,0.0013091197606286882,0.1,0.999,95,0.2910716358992221
"(64,)",64,0.4,0.0013245242756674128,0.1,0.001,95,0.2554278416347382
"(64,)",64,0.4,0.0002598076211353316,0.1,0.6436536560863082,95,0.39427777137891434
"(64,)",64,0.4,0.0002598076211353316,0.1,0.999,95,0.35214211076280044
"(64,)",64,0.30582369586119684,0.005196152422706632,0.03298589886848621,0.5410855628354581,78,0.2655288517357483
"(64,)",64,0.4,0.0002598076211353316,0.1,0.437655287983101,95,0.37221777073856605
"(64,)",64,0.34775077045791364,0.00029588752390692066,0.08417649970447565,0.8728922132199437,88,0.35048468964519297
"(64,)",64,0.3810838247822251,0.0026734920253164494,0.09694752080521515,0.13127682726059983,77,0.2489260420294903
"(64, 32)",64,4.655546931297211e-18,0.0002598076211353316,0.0001,0.999,95,0.49873988592651547
"(64,)",64,0.4,0.0002598076211353316,0.0001,0.001,95,0.39461467038068715
"(64, 32)",64,0.4,0.0002598076211353316,0.0001,0.0010000000000000054,95,0.3489334850395267
"(64,)",64,0.0,0.0002598076211353316,0.1,0.001,95,0.31893649135028446
"(64,)",64,0.4,0.0002598076211353316,0.0001,0.999,75,0.4981828845050438
"(64,)",64,0.0,0.0015277038889573366,0.0001,0.999,95,0.25566004876349707
"(64,)",92,0.12144352935547065,0.0002598076211353316,0.01360495518463409,0.7033187030557353,82,0.3949913947992903
"(64, 32)",64,0.03283604100608886,0.0002598076211353316,0.0001,0.999,84,0.5036476986337711
"(64, 32)",150,0.4,0.0002598076211353316,0.0001,0.999,75,0.4745418332969961
"(64, 32)",115,0.35928024106551987,0.005196152422706632,0.1,0.999,83,0.2133983513293858
"(64,)",64,0.0,0.0002598076211353316,0.0001,0.999,75,0.4864850342026566
"(64, 32)",64,0.4,0.0002598076211353316,0.01294181990333936,0.999,88,0.5122794188205771
"(64, 32)",64,0.4,0.0002598076211353316,0.0001,0.999,75,0.5125348189415041
"(64, 32)",64,0.4,0.0,0.008224015179282031,0.999,75,0.1937574906550029
"(64, 32)",64,0.29861369140570654,0.0002238695125216485,0.010431212948948426,0.999,85,0.5110858954934726
"(64,)",68,0.052714377364745324,0.006,0.0006125809899776672,0.8557661168807227,79,0.25264135608963195
"(64,)",127,0.0657212049446459,0.004472828889089135,0.09199894186205951,0.001,77,0.22431208638105193
"(64, 32)",114,0.19821896823338017,0.0030372676230723764,0.0001,0.999,77,0.1993498200394752
"(64, 32)",138,0.3012207573203878,0.0018660487570066817,0.1,0.001,82,0.21397886915128295
"(64, 32)",64,0.4,0.00024181685642162267,0.011606252141252077,0.999,75,0.5121368881814564
"(64,)",150,0.3093474228797772,0.00569269541891598,0.1,0.001,87,0.23894113549285964
"(64, 32)",64,0.3710430262887975,0.00035765233754948996,0.0001,0.999,82,0.513198036874917
"(64, 32)",64,0.4,0.0004893236468939924,0.0001,0.999,84,0.5147996469675463
