hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,recall
"(64, 32)",101,0.27635394201074476,0.008147673039516776,0.04916278144991648,0.7794677063882551,83,0.32147505422993494
"(64, 32)",76,0.16040702266448148,0.007247706691508645,0.03248267424861616,0.24526975840001208,89,0.4264642082429501
"(64, 32)",118,0.17610287122563056,0.0019205195487231267,0.07126178512073739,0.428007763856144,81,0.3149674620390456
"(64,)",128,0.14309156752360874,0.0051886574906483095,0.06550665861623502,0.37405382394646636,80,0.25856832971800436
"(64, 32)",130,0.31080177555591226,0.0013742231594209,0.017473260972046416,0.15477407736315305,77,0.38004338394793924
"(64,)",148,0.03940737865506636,0.01035988255625135,0.029144692013602883,0.08278509711883471,85,0.1878524945770065
"(64,)",64,0.4,0.0011,0.0001,0.999,75,0.5830802603036876
"(64, 32)",64,0.0,0.0011,0.0001,0.001,75,0.45639913232104123
"(64,)",64,0.4,0.0011,0.1,0.001,84,0.424295010845987
"(64,)",64,0.4,0.00459930315823036,0.0001,0.001,95,0.358351409978308
"(64, 32)",64,0.4,0.004906430017128737,0.09568074240457015,0.001,75,0.3770065075921909
"(64, 32)",64,0.0,0.0011,0.0001,0.9673353474926417,75,0.5804772234273319
"(64,)",70,0.3245492710837777,0.0011,0.0001,0.999,75,0.568763557483731
"(64, 32)",64,0.4,0.0011,0.0001,0.999,78,0.6151843817787419
"(64, 32)",64,0.0,0.0011,0.0001,0.999,81,0.5869848156182212
"(64, 32)",64,0.4,0.0033391315049452423,0.0001,0.999,95,0.40737527114967464
"(64, 32)",64,0.021458546832364284,0.005539450338012099,0.0001,0.999,78,0.39566160520607374
"(64, 32)",64,0.34679502305774923,0.0109,0.03499574720038396,0.999,95,0.4503253796095445
"(64,)",64,0.0,0.0015701876750241954,0.1,0.999,78,0.39609544468546637
"(64, 32)",64,0.30752686727155976,0.006846410255031787,0.1,0.999,95,0.4247288503253796
"(64, 32)",64,0.4,0.0011,0.0001,0.999,95,0.6151843817787419
"(64, 32)",64,0.4,0.0109,0.1,0.001,75,0.41475054229934927
"(64,)",64,0.3863787652819601,0.009313270556595378,0.0001,0.001,80,0.3783080260303688
"(64,)",147,0.10758347030476066,0.0011514538084434743,0.06034640803080509,0.9969335864543665,80,0.32537960954446854
"(64, 32)",65,0.04457304684931042,0.008245320261494304,0.09899478412787596,0.16044899699024817,80,0.39913232104121477
"(64,)",64,0.18363895317137968,0.010647931834952992,0.09760436706540772,0.8939363317144113,88,0.3626898047722343
"(64, 32)",68,0.12229674185782524,0.010843992532549817,0.0057449920862435175,0.04806893842101368,90,0.43383947939262474
"(64, 32)",65,0.22196575206863503,0.007607000752124765,0.0013273437563107269,0.9584829957329728,88,0.41995661605206075
"(64,)",68,0.385513546658315,0.007010687515410203,0.09982193230530675,0.14972622585374146,76,0.351409978308026
"(64, 32)",147,0.16846158156791702,0.010899736718227582,0.09951061504770613,0.9092042461872502,75,0.26941431670281996
"(64, 32)",148,0.3524994757013937,0.00438985673191696,0.00031167577198168867,0.981141045826635,88,0.25206073752711494
"(64, 32)",68,0.27764793665822374,0.00121699601130857,0.04833942495100387,0.9575408480347162,85,0.6255965292841649
"(64, 32)",64,0.4,0.0011,0.030478989474650255,0.999,95,0.6325379609544468
"(64, 32)",64,0.4,0.0011,0.1,0.999,95,0.29067245119305857
"(64,)",64,0.0,0.0011,0.04522211141817118,0.999,85,0.5904555314533623
"(64, 32)",64,0.4,0.0011,0.04600294763701773,0.2334057329214923,95,0.3926247288503254
"(64, 32)",78,0.08748984398852565,0.0011,0.036460913004085056,0.999,88,0.6134490238611714
"(64, 32)",64,0.0,0.0011,0.04279886188759108,0.999,75,0.6065075921908893
"(64, 32)",64,0.26060365520225454,0.002129409274065637,0.044125688054308346,0.999,90,0.5093275488069414
"(64, 32)",64,0.4,0.0015026345182527934,0.023740132149299417,0.999,89,0.627765726681128
