hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,c2,recall
"(64, 32)",293,0.13817697100537238,0.0007472352791392958,0.04916278144991648,0.3170041642868119,86,2,0.370643528561099
"(64,)",282,0.12546340186752336,0.000391735804041587,0.0245514517676966,0.30421327657779035,89,2.5,0.3386840202458424
"(64,)",160,0.14246603627775253,0.00048507714175403764,0.029848271724270552,0.27381271651885136,91,1.5,0.2740419378163413
"(64,)",379,0.0747602853600133,0.00031106158766405756,0.09880072912301509,0.3148993925289493,92,1,0.3355025307302965
"(64,)",187,0.01541729615965666,0.0009008791296460941,0.07506283260620818,0.30401048654037716,88,2,0.2673897324656544
"(64, 32)",279,0.002140467228568066,0.000747023186485131,0.009825294099466537,0.32400113668085884,86,3,0.34374548083875633
"(64, 32)",430,0.1883400126235636,0.0002490834215685542,0.022862291461939518,0.2673812274074514,82,2,0.26550976138828636
"(64, 32)",251,0.14961039097557638,0.0001971744408104225,0.07416782728133396,0.21958011675106023,89,2,0.26102675343456255
"(64, 32)",309,0.19448534400150722,0.0009858135777490082,0.07360959005118085,0.2304765915420716,82,2,0.32422270426608824
"(64, 32)",494,0.19704693649633429,0.000661134177926684,0.07041157456315948,0.21522347844641784,93,2,0.2996384671005061
"(64, 32)",220,0.1399355010476709,0.0009242793940735778,0.08007368496203957,0.35,91,2,0.2636297903109183
"(64, 32)",485,0.18476540205289005,0.0007672159260266954,0.09272197346370097,0.2768496003808322,91,2,0.3230657989877079
"(64,)",213,0.18698021504283246,0.0007483368145681308,0.1,0.21321287286497004,91,2,0.3210412147505423
"(64, 32)",512,0.2,0.0007411579923851888,0.07585689387833909,0.35,84,2,0.29125090383224866
"(64, 32)",329,0.13362530097771905,0.0007483410854833852,0.0887475451994153,0.3146297947397496,87,2,0.3010845986984816
"(64, 32)",288,0.11262412926436415,0.00031473120646298647,0.04462382604328972,0.20436737343229094,93,1.5,0.2533622559652928
"(64, 32)",128,0.1985614494092134,0.0007305975671524634,0.02737769832380961,0.2203379677074711,94,2,0.2578452639190167
"(64, 32)",294,0.1982363805309171,0.0006188621876394139,0.09114729336367745,0.28854178721184187,85,1.5,0.32190889370932757
"(64,)",186,0.1747666989350482,0.0007971727396487919,0.07758333406440386,0.33106850712680935,86,2,0.2725958062183659
"(64, 32)",292,0.08453475503204641,0.0008351258541638949,0.06146025455835988,0.2231604292722891,86,1,0.2903832248734635
"(64, 32)",450,0.18716823431910992,0.0006398936089697953,0.03713064254894869,0.3373909099718143,90,1.5,0.34721619667389736
"(64, 32)",162,0.01790870762455571,0.0008465302958854994,0.040251729001919825,0.3088257487116866,94,2,0.26652205350686914
"(64,)",299,0.0707150848012993,0.0005192627115717437,0.03187323196536706,0.32610647174781426,82,2.5,0.30773680404916853
"(64, 32)",286,0.14836435922895005,0.00017074015900883828,0.02301966585489001,0.3300875213584449,87,2,0.2684020245842372
"(64, 32)",286,0.102321244459559,0.0007913262091819134,0.051922030484277966,0.2734935897574813,90,2,0.32783803326102673
"(64, 32)",223,0.055999205903947406,0.0009640542851119693,0.04659918938050779,0.28808515087853065,85,2,0.26102675343456255
"(64, 32)",428,0.13873311764010918,0.0007857721114985809,0.03138805512286899,0.2666028918591175,89,1.5,0.34938539407086044
"(64, 32)",435,0.026773938703366702,0.0009821224942407026,0.0024595393985369233,0.20757654844353182,95,1.5,0.35083152566883585
"(64,)",399,0.19812817870170196,0.0009916478475861402,0.051594559137096346,0.2711504856561382,86,2,0.41793203181489513
"(64,)",384,0.06355459552287548,0.001,0.0872984075786227,0.271014723115518,92,3,0.39117859725235
"(64,)",386,0.1289370455173983,0.001,0.08909246276902294,0.31502559049033224,82,1.5,0.3897324656543746
"(64,)",417,0.17466404400399915,0.001,0.07483279820299195,0.2062465728153941,88,2,0.41663051337671725
"(64,)",421,0.11682305823297219,0.0008795847750679214,0.04553289193324117,0.2764424013191796,81,2,0.4144613159797541
"(64,)",427,0.10728948175535072,0.001,0.011306036770384087,0.3019502252412723,80,3,0.39407086044830075
"(64,)",407,0.2,0.000878218670336197,0.03158006332924312,0.2020942264532806,80,2,0.4039045553145337
"(64,)",197,0.10370170787565006,0.0001,0.07079604059177227,0.31851480763498957,93,2.5,0.3210412147505423
"(64,)",412,0.1932186134225393,0.0009610063427434568,0.09280701964111221,0.2250488344975622,83,2,0.4161966738973247
"(64,)",412,0.17359940581945746,0.0009683630663787242,0.010169917718409457,0.23443418220677567,94,2,0.4169197396963124
"(64,)",446,0.041709856372486864,0.0009221649559033014,0.1,0.2,80,2,0.3715112075198843
"(64,)",411,0.024268372296651353,0.0007682986603405749,0.1,0.35,80,2,0.40997830802603036
