hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,precision
"(64, 32)",101,0.13817697100537238,0.0007472352791392958,0.04916278144991648,0.3170041642868119,86,0.28382127868229373
"(64, 32)",76,0.08020351133224074,0.0006645853084038552,0.03248267424861616,0.23671389154308797,90,0.3397324025596277
"(64, 32)",118,0.08805143561281528,0.00017535383610722593,0.07126178512073739,0.26417952362567293,84,0.23899126351642186
"(64,)",128,0.07154578376180437,0.00047548895322280395,0.06550665861623502,0.25607021402000996,84,0.19972959479876673
"(64, 32)",130,0.15540088777795613,0.0001251837595386541,0.017473260972046416,0.223112336277027,81,0.4153577661431065
"(64, 32)",64,0.2,0.0001,0.0001,0.35,95,0.5759162303664921
"(64,)",64,0.0,0.001,0.0001,0.35,95,0.2429382227173692
"(64, 32)",150,0.0,0.001,0.0001,0.35,80,0.2295249503106105
"(64,)",64,0.2,0.0004305073702858492,0.0001,0.21156158771320957,93,0.18894266303980745
"(64, 32)",64,0.2,0.0001,0.0001,0.35,80,0.5759162303664921
"(64, 32)",64,0.2,0.0004799686050559311,0.0001,0.2,89,0.2811630029057664
"(64,)",128,0.2,0.000964863012746394,0.0001,0.339756049533274,85,0.15418304048038384
"(64,)",64,0.1372164628207688,0.0001,0.025623112113762038,0.35,89,0.2876825660865072
"(64, 32)",124,0.13516001178681022,0.0001,0.08996859421486746,0.31152220619476334,89,0.21952343208247926
"(64, 32)",64,0.0,0.000136088613078046,0.0001,0.22129413317904925,86,0.5770796974985456
"(64, 32)",64,0.0,0.00011885901333601474,0.008456806232529156,0.2,83,0.5602094240837697
"(64, 32)",81,0.0341967608199124,0.00011697475970341993,0.0001,0.20308567615593992,85,0.4299011052937754
"(64, 32)",150,0.09621826365699772,0.0001,0.0001,0.31501117636839865,80,0.45491564863292616
"(64, 32)",64,0.08811465989223233,0.0001,0.0001,0.35,80,0.5317044793484584
"(64, 32)",64,0.2,0.00012791419520836986,0.0001,0.2719051053956819,89,0.43048283885980226
"(64, 32)",64,0.0,0.0001,0.035987217176393,0.32137222007956334,95,0.4677137870855148
"(64, 32)",86,0.2,0.0001,0.0001,0.35,89,0.43164630599185577
"(64, 32)",64,0.2,0.0001,0.021146688436887058,0.35,92,0.5410122164048866
"(64, 32)",64,0.2,0.0003547726508916792,0.0001,0.35,86,0.30831878999418266
"(64, 32)",64,0.17949989843803682,0.001,0.1,0.21118060554062718,93,0.41361256544502617
"(64,)",150,0.018223879621888768,0.0001,0.0001,0.29421853726357416,81,0.2466910835663568
"(64,)",64,0.10880584833927279,0.001,0.1,0.33046844301827427,94,0.1901488489816616
"(64, 32)",64,3.743080825647161e-18,0.0001,0.0001,0.2,80,0.46364165212332753
"(64,)",64,0.03303096875745768,0.0001,0.1,0.2639011019747799,89,0.24482588022110954
"(64, 32)",64,5.882750240232903e-19,0.0001,0.0001,0.35,95,0.43746364165212337
"(64, 32)",150,0.03561991765189861,0.001,0.1,0.20289818239125693,82,0.18791005295156263
"(64, 32)",84,0.2,0.0001,0.1,0.2,95,0.24104994361229634
"(64, 32)",64,0.2,0.0001,0.0001,0.2,80,0.4543339150668994
"(64, 32)",64,0.1498234564937109,0.0005347449043853208,0.09480277205773638,0.33635826779053224,94,0.28912158231529955
"(64, 32)",64,0.0,0.0001,0.01691810119219509,0.271535715311862,80,0.4514252472367655
"(64, 32)",66,0.007484456976494899,0.0009923105544858313,0.004789081272006804,0.3345393259483904,86,0.4845840605002909
"(64, 32)",64,0.2,0.001,0.0001,0.2,80,0.4054682955206516
"(64, 32)",148,0.11970442168656535,0.0005044406621461604,0.000515993787972953,0.2606288177054727,88,0.17336453066798665
"(64, 32)",65,0.1138096771966418,0.0009965897063103789,0.04741513446449357,0.27877885541809294,86,0.4013961605584642
"(64,)",144,0.1755858602638913,0.00010350361632846284,0.0986665068664849,0.27400214605380735,93,0.22582280940583796
