hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,f1_score
"(64, 32)",101,0.27635394201074476,0.0007331927946470345,0.04916278144991648,0.7794677063882551,83,0.2179728317659352
"(64, 32)",76,0.16040702266448148,0.000645951158870736,0.03248267424861616,0.24526975840001208,89,0.2738418669453152
"(64, 32)",118,0.17610287122563056,0.00012954016033540515,0.07126178512073739,0.428007763856144,81,0.20369209334726576
"(64,)",128,0.14309156752360874,0.00044634945062407085,0.06550665861623502,0.37405382394646636,80,0.2027168234064786
"(64, 32)",130,0.31080177555591226,7.658285729080153e-05,0.017473260972046416,0.15477407736315305,77,0.3221873911529084
"(64,)",64,0.0,0.001,0.0001,0.001000000000000011,95,0.27551375827237895
"(64, 32)",150,0.0,0.0002427127106447822,0.005514523442322146,0.999,75,0.16927899686520376
"(64, 32)",64,0.3946471766933793,5.0078460600054676e-05,0.00778900824927698,0.045834922718704145,95,0.3373616570366037
"(64, 32)",135,0.4,0.001,0.0001,0.2846836797260851,83,0.17373737373737375
"(64,)",147,0.36481399253997854,5e-05,0.07536422634105333,0.001,75,0.2569836293974225
"(64,)",68,0.06305771768352707,5e-05,0.029714256851578868,0.001,87,0.3329153605015674
"(64, 32)",150,0.4,0.00037771338152524803,0.01883145698230233,0.001,75,0.18822709857192615
"(64, 32)",64,0.21153734811400804,5.79396681541246e-05,0.010656409280495096,0.41090329856042096,91,0.3476860069886677
"(64, 32)",64,0.4,7.085692432743512e-05,0.0001,0.9836707973072646,95,0.40244352453693766
"(64, 32)",64,0.3532073066724659,7.65191284558884e-05,0.0009345698852509313,0.5439169603325207,77,0.3389363351088289
"(64, 32)",68,0.37281121735544165,5e-05,0.06100010175058976,0.999,95,0.3900629856061611
"(64,)",64,0.2513417100767847,0.00032654489370168607,0.0988188659763749,0.999,95,0.2397770811563915
"(64, 32)",65,0.4,5e-05,0.0033149187777904536,0.999,95,0.3854553604433539
"(64,)",72,0.39707121937981665,0.00013347656279416765,0.03172623044511822,0.999,95,0.24332985022640194
"(64, 32)",79,0.39530709851557927,6.584856963380963e-05,0.1,0.999,91,0.1884530237166448
"(64, 32)",65,0.3578021072889301,0.00011973156167918708,0.0655766870891892,0.999,95,0.19031120873508262
"(64,)",67,0.4,6.811960376104881e-05,0.07594646718945032,0.999,95,0.2805294322535702
"(64, 32)",67,0.4,5e-05,0.04577693565581792,0.999,95,0.3610628752369028
"(64,)",107,0.34803843207030694,5e-05,0.0001,0.999,95,0.30881226053639843
"(64, 32)",64,0.1682517368536131,5e-05,0.0577581523031685,0.5458068972498197,75,0.35563054007007516
"(64,)",64,0.18363701231796611,0.0009249917059662634,0.1,0.8975866092256835,88,0.2421455938697318
"(64, 32)",150,0.33764027721862616,0.000601932625979508,0.1,0.001,86,0.1776384535005225
"(64, 32)",64,0.34342437506685425,5e-05,0.02316360673450512,0.999,75,0.4279749621023273
"(64,)",64,0.3063135457044299,0.0005343196501151452,0.0001,0.999,79,0.24528039010797636
"(64,)",64,0.01614814385520005,0.0008473376171077078,0.0001,0.001,86,0.19331243469174503
"(64,)",64,0.0,5e-05,0.023419969211202034,0.999,75,0.4302811309438915
"(64, 32)",64,0.0,5e-05,0.023336145537685534,0.999,75,0.5024273776362913
"(64, 32)",64,0.0,5e-05,0.01470325129051785,0.999,75,0.5029257605232373
"(64, 32)",115,0.0,5e-05,0.0001,0.999,84,0.49685634699562276
"(64, 32)",150,0.0,5e-05,0.02128295162340723,0.999,95,0.4438823516529789
"(64, 32)",64,0.0,5e-05,0.0001,0.999,75,0.501161902422946
"(64, 32)",150,0.0,5e-05,0.0001,0.999,75,-1.0
"(64, 32)",64,0.0,5e-05,0.027223065974622318,0.9209447397472346,95,0.4590755171679194
"(64, 32)",110,0.0,5e-05,0.052261689832633,0.999,81,0.45661825067217504
"(64, 32)",132,0.0,5e-05,0.005110936258459074,0.7842529796228416,95,0.41112548429809015
"(64, 32)",112,0.0,5e-05,0.002920047800947,0.9981310176073414,85,0.4970905315348693
"(64,)",150,0.4,5e-05,0.05944098225480144,0.001,95,0.25614768373389063
"(64, 32)",69,0.0,5e-05,0.049085719935583166,0.999,75,0.5034927241453491
"(64, 32)",85,0.0,5e-05,0.009659503205756955,0.999,81,0.5012883614747029
"(64, 32)",75,0.0,8.468261013141905e-05,0.07378366973679171,0.999,78,0.41732179065830044
"(64, 32)",105,0.0,5e-05,0.07598066366346003,0.999,83,0.3933519210841051
"(64, 32)",115,0.0,5e-05,0.020198903727343107,0.999,87,0.4901114829844058
"(64,)",150,0.0,0.0008328914730228435,0.004217610187264143,0.999,95,0.16628352490421455
"(64, 32)",80,0.0,5e-05,0.07387096638870744,0.4668131110434068,79,0.36589733555544973
"(64, 32)",79,0.0,5e-05,0.08547542889742998,0.999,89,0.4615514157868633
