hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,c2,auc
"(64, 32)",293,0.13817697100537238,0.0007472352791392958,0.04916278144991648,0.3170041642868119,86,2,0.5420724115002856
"(64,)",282,0.12546340186752336,0.000391735804041587,0.0245514517676966,0.30421327657779035,89,2.5,0.5299995749460229
"(64,)",160,0.14246603627775253,0.00048507714175403764,0.029848271724270552,0.27381271651885136,91,1.5,0.4581290072003196
"(64,)",379,0.0747602853600133,0.00031106158766405756,0.09880072912301509,0.3148993925289493,92,1,0.5366787451521725
"(64,)",187,0.01541729615965666,0.0009008791296460941,0.07506283260620818,0.30401048654037716,88,2,0.45980956633749476
"(64, 32)",281,0.14696030712613736,0.0004934059688172496,0.023067985816663163,0.3047787875588574,86,3,0.5113525438769474
"(64, 32)",248,0.11906692488185198,0.0008007060155460718,0.04592295815662136,0.3225189678670778,86,1,0.46615042360026093
"(64, 32)",405,0.1425039659240018,0.0007969324729216806,0.049540134343449393,0.3193620336003725,91,2.5,0.5770333934413382
"(64,)",261,0.13721845510603453,0.000732315482763431,0.07386910733523733,0.348786392092265,80,3,0.47916282695973583
"(64, 32)",512,0.12320493182405981,0.00044793079969515144,0.057132282258391516,0.30798079999447187,80,2.5,0.4946741289711734
"(64,)",361,0.19631280620483887,0.0001753631557737388,0.07248940926648925,0.23994968586825888,90,2.5,0.5419585713003555
"(64,)",415,0.0,0.00011133607468615822,0.09917138789538386,0.21592481428378218,86,2.5,0.4052840924892172
"(64,)",128,0.2,0.001,0.043695498316926776,0.35,95,2,0.43658968923339864
"(64, 32)",368,0.13801409058388506,0.0005248207848008861,0.0001,0.30005882238555115,95,2.5,0.4507567698931581
"(64, 32)",350,0.1388466387982561,0.0006123139227890008,0.004559699758706388,0.2887101587847054,91,2,0.4338128937674763
"(64,)",374,0.16756933735424148,0.0005207677287705618,0.05152551176683175,0.25988581205963757,92,2.5,0.5688414814126582
"(64,)",413,0.16000149597342528,0.0001,0.05026420805603876,0.29419525260367985,89,2.5,0.533499538919143
"(64, 32)",379,0.04121616291345818,0.0007699113108533552,0.08855963978194002,0.29460517551844756,84,2,0.45642987367838234
"(64,)",346,0.0,0.00013235192114642987,0.09996730957408534,0.29696947871489254,91,2.5,0.3997640239370175
"(64,)",378,0.16884013011629345,0.0009999095817710417,0.046956417692329416,0.2,95,2.5,0.5795040552361593
"(64,)",384,0.031543748360797076,0.001,0.055669844213971795,0.25384849230312306,90,2,0.5804018514023936
"(64, 32)",387,0.10122735530104494,0.001,0.054892916791897096,0.35,85,2.5,0.5009150432448969
"(64, 32)",443,0.16288041446017953,0.001,0.05085486317703755,0.3317219500985026,95,2,0.5562859715754238
"(64,)",419,0.15663045148778326,0.0009751289315816303,0.04839592461753968,0.2455817541496326,84,2.5,0.6072026818535767
"(64,)",150,0.03280785504458083,0.001,0.0441965531181753,0.2,90,2,0.36090555774666405
"(64, 32)",128,0.08300866855540205,0.0001177116179099756,0.05454019014757805,0.32628282464991065,80,2,0.5003000106816539
"(64,)",375,0.015832005720867712,0.001,0.05974610074969882,0.3070574867535963,87,2,0.5810242947580257
"(64,)",473,0.19782067228387556,0.001,0.05316194697390966,0.20619854479214061,81,2.5,0.558274734349165
"(64,)",512,0.07720911169568932,0.001,0.04814329261190362,0.34382107729962197,88,1.5,0.5600305470018051
"(64,)",512,0.2,0.0009149066058326435,0.04596109396995747,0.2154784346508313,86,2,0.5546925643048203
"(64,)",415,0.16662392714583768,0.001,0.04693007717653285,0.2870359064308246,82,2.5,0.605619727118507
"(64,)",428,0.14659394170402157,0.0008999768575058193,0.0451954555582077,0.29425078579795855,90,3,0.5844324296906999
"(64,)",414,0.15959345145137843,0.001,0.047833979505525384,0.3001635887645099,80,2.5,0.605436566777402
"(64, 32)",418,0.18094459013966374,0.0007882569854954301,0.04350904517906265,0.22535793075059232,93,2.5,0.5770090436949168
"(64,)",429,0.1489353905314866,0.000904707996006998,0.046896912575063655,0.22375464294871591,81,1.5,0.5407373311793051
"(64,)",443,0.08573204002909574,0.0009536233757637164,0.045977645130289006,0.28643485257843154,91,2.5,0.5827192172433495
"(64,)",432,0.0,0.0009199440842142828,0.059193812805883005,0.26880349255699343,91,1.5,0.39521030533096696
"(64,)",512,0.03252275106283604,0.001,0.04054422447068528,0.313149758817964,85,1.5,0.5537225168631079
"(64, 32)",512,0.2,0.001,0.04385831351308447,0.24987003276821937,87,1.5,0.47815838806890865
"(64,)",423,0.0,0.0001,0.06463245641369822,0.24037200972281403,93,3,0.4177048649560851
"(64,)",512,0.13213327059377772,0.001,0.029162338059771968,0.3369394553606824,86,1.5,0.5587157476020003
"(64, 32)",365,0.2,0.00046258737772695473,0.054380447608156746,0.3212323042767274,91,2.5,0.4345582393474205
"(64,)",437,0.1664111026197549,0.001,0.09171574348465375,0.21916751538234425,80,2.5,0.5824732389808311
"(64,)",410,0.2,0.0007661243935579216,0.0001,0.23224397131590657,85,1,0.5652429965641733
"(64,)",481,0.05084728975010529,0.001,0.009740101340852845,0.3108665183749028,89,1,0.5434825952247319
"(64, 32)",424,0.09322843638151046,0.00020656832393185198,0.02425167707229374,0.30378582698524276,86,2.5,0.47243103064686576
"(64,)",377,0.09804650572366863,0.001,0.0033112865541247427,0.290839024589838,89,1.5,0.5754985535523768
"(64,)",377,0.0885460652556986,0.001,0.07376651189028423,0.3253694683224397,95,2.5,0.5785887433697899
"(64,)",417,0.16736350601890201,0.001,0.07840035866206033,0.25895891982234454,86,2.5,0.6065876413897021
"(64,)",308,0.2,0.001,0.0736055432438684,0.26447466196176767,87,1,0.5240250225642037
