hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,c2,precision
"(64, 32)",293,0.13817697100537238,0.0007472352791392958,0.04916278144991648,0.3170041642868119,86,2,0.16884880225002422
"(64,)",282,0.12546340186752336,0.000391735804041587,0.0245514517676966,0.30421327657779035,89,2.5,0.301160437446039
"(64,)",160,0.14246603627775253,0.00048507714175403764,0.029848271724270552,0.27381271651885136,91,1.5,0.26295829713366314
"(64,)",379,0.0747602853600133,0.00031106158766405756,0.09880072912301509,0.3148993925289493,92,1,0.24211084148598142
"(64,)",187,0.01541729615965666,0.0009008791296460941,0.07506283260620818,0.30401048654037716,88,2,0.2742575521138992
"(64,)",512,0.024813097271178582,0.0004184463897423925,0.099461469204996,0.2341267527442502,83,2,0.24705870803694455
"(64,)",197,0.16281278736159896,0.0004794143978303161,0.009001165127810186,0.35,93,2.5,0.28933213703049815
"(64,)",483,0.0,0.0001,0.1,0.278013933534227,84,2.5,0.1770536658946891
"(64,)",404,0.17510829688244978,0.001,0.08260054257400745,0.3494524283135554,93,2,0.3321698662012798
"(64,)",482,0.2,0.00099720810503214,0.1,0.33199760358419594,89,3,0.3036649214659686
"(64, 32)",512,0.2,0.001,0.1,0.3298048665851623,92,2,0.2350203606748109
"(64,)",508,0.2,0.001,0.1,0.35,91,2,0.24665503199534614
"(64,)",492,0.004626502247178046,0.0009399170526709581,0.08893292100754267,0.259265049943812,94,2,0.2873763816172193
"(64,)",436,0.0,0.0001,0.05109516987712449,0.2,80,1.5,0.1904330301446988
"(64,)",427,0.0,0.0005824165511348746,0.08425176913236526,0.2927940320987337,87,2,0.14835532640612606
"(64,)",400,0.05969862475303494,0.0007852032279153615,0.08356072965383957,0.3294144050795141,91,2,0.31273996509598606
"(64, 32)",406,0.13531933221559034,0.0003430142122422392,0.008292110994813731,0.23957221350069513,84,1.5,0.255309278313043
"(64,)",405,0.11206541049395463,0.0007937095322370571,0.1,0.2924584529145635,89,2,0.3076706140408142
"(64, 32)",405,0.2,0.0009838557707116348,0.06828851003536424,0.34415728984058935,86,1.5,0.18704198213907
"(64, 32)",405,0.12502733979193512,0.0004990586500616069,0.04564215701797919,0.3488981678290878,87,3,0.17918781734480013
"(64, 32)",512,0.2,0.0008339685098883765,0.04149480881516392,0.21595324163324559,93,2,0.19950258151648503
"(64,)",459,0.10832620901772816,0.001,0.0001,0.32949634471948563,95,2.5,0.3019197207678883
"(64,)",413,0.10639186390326148,0.001,0.0941449560550434,0.2563766781631825,93,1.5,0.30746556948026327
"(64,)",345,0.2,0.0001,0.0931129245038426,0.22202837248075744,94,2,0.23282747526990963
"(64,)",128,0.11816452952100182,0.001,0.0001,0.2178282765376467,90,1,0.39092495636998253
"(64,)",128,0.13502570164721261,0.001,0.06304558333449546,0.23699092577960423,87,3,0.16963481439573083
"(64,)",130,0.19200218730215127,0.0005108304192167159,0.018830058732527848,0.2919225129949603,92,1,0.4909831297265852
"(64,)",128,0.13089658386863354,0.0006114493263365256,0.01609371272697438,0.25145738704184145,91,1,0.47062245491564864
"(64, 32)",128,0.19677749477261627,0.0005279355205156625,0.04695500320047891,0.3353957306060401,95,1,0.5410122164048866
"(64,)",140,0.0284004831979517,0.00026981805078729886,0.051519730469934535,0.2063914437795235,91,1,0.5439208842350204
"(64,)",135,0.17732353099479825,0.00011968162924481192,0.04613672485952459,0.2302593731146136,93,1,0.6655031995346131
"(64,)",132,0.2,0.0001,0.043644306615956335,0.21996610607292322,94,1,0.6905177428737638
"(64,)",281,0.09010494811963136,0.0001,0.04090511400674419,0.2600621532077207,95,1,0.3748469712364318
"(64, 32)",128,0.2,0.0001,0.05905930954543854,0.25342441110818253,95,1,0.7143688190808609
"(64, 32)",139,0.2,0.0001,0.1,0.28972119813050257,95,1,0.7062245491564862
"(64,)",128,0.07972598374643504,0.0001,0.0001,0.35,95,1,0.6998254799301921
"(64, 32)",186,0.05205822817903325,0.0001,0.1,0.25831585413228153,95,1,0.685282140779523
"(64, 32)",208,0.09877217657241256,0.0001,0.1,0.3251602523431678,83,1,0.6556137289121583
"(64, 32)",512,0.031141574679825743,0.001,0.03402264056993427,0.22737619191665584,92,1,0.2105539118552675
"(64, 32)",128,0.0,0.00017621053109189105,0.0001,0.2,91,1,0.7405468295520651
