hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,precision
"(64,)",152,0.27184683681629246,0.002198961891974791,0.03603694747882641,0.2888305361917824,83,193,0.7005813953488372
"(64, 32)",75,0.1993010106753902,0.002096244151084104,0.09160752535026513,0.782763655600071,84,526,0.7318313953488371
"(64, 32)",128,0.03981162911987634,0.0015417177025236254,0.04201167388899455,0.9800194476505948,84,647,0.6736918604651163
"(64,)",170,0.39900237105073433,0.0037514411494369007,0.0377145170551278,0.5157737534399072,94,324,0.6911337209302326
"(64, 32)",76,0.0915288098081937,0.0013017752537684913,0.09799771134166214,0.7649671685911406,80,528,0.7267441860465116
"(64,)",121,0.006908355046936256,0.0012961698440863462,0.02577303367736273,0.8935068166689905,81,326,0.6998546511627908
"(64, 32)",152,0.2001897549831748,0.0017242080138538298,0.0621904300121771,0.4381986183668436,95,478,0.6642441860465116
"(64, 32)",96,0.04371779051994179,0.004105268908616902,0.06409566680317619,0.9605411307995989,89,314,0.7136627906976745
"(64, 32)",135,0.12208423286401733,0.0037862464309609592,0.01674173314000247,0.743817174155124,79,574,0.6700581395348837
"(64, 32)",126,0.022640512857828872,0.003844375139691098,0.07433712398450922,0.7762479892683114,87,164,0.680232558139535
"(64, 32)",149,0.18597806544482565,0.004509634412537522,0.05334325218269191,0.4068247574143567,86,531,0.626453488372093
"(64,)",65,0.3260461876119774,0.00528555647632831,0.09628046996057955,0.2176977325760229,78,675,0.7049418604651163
"(64, 32)",196,0.060345975921805475,0.004111572785245342,0.02500602241519175,0.5365535912365685,79,252,-1.0
"(64, 32)",110,0.39707062324339876,0.004208902739794597,0.09084471740572128,0.20578379996099005,84,309,0.6388081395348837
"(64, 32)",181,0.021470981677269137,0.0011130350571289913,0.057009298146559605,0.05085576893100088,86,196,0.626453488372093
"(64,)",87,0.3548345088835781,0.004591009734200005,0.013062447571433029,0.16396068399582842,93,408,0.7056686046511629
"(64,)",64,0.328941312433908,0.0037843672718626893,0.06810586267268125,0.9545998428160306,93,523,0.7354651162790697
"(64, 32)",162,0.03100357804515715,0.002777803449107559,0.07421373880079046,0.09891799222299058,76,592,0.6351744186046512
"(64,)",102,0.008000883808749528,0.005872620953411411,0.007768773434026244,0.1151082711671967,95,252,0.6568752790291814
"(64,)",187,0.003891876365850556,0.0029347214091275118,0.029073339844730893,0.9709691253204347,80,588,0.7209302325581395
"(64, 32)",155,0.20216352493571332,0.0034575392091793517,0.09983534460714423,0.7039480857419294,83,381,0.7245639534883721
"(64, 32)",64,0.25188417363539195,0.00601,0.0001,0.5745994415118354,92,430,0.7085755813953488
"(64,)",142,0.1568478087683885,0.003203556946591089,0.09061692824358197,0.4698781464055531,82,502,0.690406976744186
"(64, 32)",168,0.10447999380697247,0.0015901375228012289,0.0998940801110978,0.7281220825152189,88,700,0.7202034883720929
"(64,)",200,0.12658790683577992,0.00601,0.1,0.14265496928736318,77,686,0.6969476744186047
"(64,)",139,0.2257945459347003,0.004102997207070651,0.09615670022318944,0.6510590623122893,77,150,0.6998546511627908
"(64,)",64,0.11865087543552377,0.00099,0.09798975389362385,0.26072729598938343,85,277,0.6875
"(64,)",200,0.10728172873058016,0.0010689724392033983,0.02390999689476608,0.25211940112930914,84,172,-1.0
"(64,)",102,0.29642705501639854,0.00194318464175223,0.01491230693892879,0.6106786707527184,79,700,0.7281976744186046
"(64,)",81,0.25183637959940014,0.0046815946234300574,0.043529617698344486,0.9801373318837175,87,150,0.6940406976744187
