hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,recall
"(64,)",127,0.02805180633480729,0.0004522621383799424,0.04870914212193677,0.7959015126393721,92,216,0.49934924078091103
"(64,)",87,0.1452652256964113,0.0007635177722855268,0.024478147211854855,0.48041109034462565,82,361,0.5360086767895879
"(64, 32)",172,0.34973791051892406,0.0012554982660857093,0.08145917156577068,0.8944463085507822,91,443,0.5394793926247288
"(64,)",175,0.04105300437211709,0.0011933578631978501,0.0075689932863960314,0.6523069166571824,87,185,-1.0
"(64, 32)",156,0.2584731833669631,0.0013666209391181312,0.032001099366581506,0.9067877501119652,76,479,0.5275488069414317
"(64,)",73,0.02812016261771157,0.00013924603710854339,0.08786894318509997,0.3469979896497273,77,503,0.5221258134490239
"(64, 32)",69,0.12332355243297476,0.0006213579213244368,0.021476981561688306,0.15430326813283804,94,450,0.5310195227765726
"(64,)",161,0.08363100398071192,0.0009955221337864806,0.02621661629670623,0.001,80,178,0.5342733188720175
"(64,)",163,0.2773432993112328,0.002004071559302482,0.01093654303334032,0.24951911941139976,92,419,0.5373101952277657
"(64,)",67,0.33374025218577485,0.0012032612805489443,0.08291239274548741,0.999,85,421,0.6134490238611714
"(64,)",86,0.39835138170978435,0.0016571120114314774,0.016164184163868993,0.07511715206211396,90,566,0.5379609544468547
"(64, 32)",195,0.16420313952562418,0.0010921859215504654,0.011065109422427829,0.4179284806044857,94,389,-1.0
"(64, 32)",109,0.19917744280753044,0.0011901873088122513,0.0001,0.061827534060041975,90,367,-1.0
"(64,)",72,0.22924546355628095,1e-07,0.02908837335709786,0.008602363946268659,78,403,-1.0
"(64,)",160,0.24383102418892488,0.0009711397708686197,0.04753006904272685,0.027791964383877724,81,302,0.5325379609544469
"(64,)",174,0.11613634154465478,0.0006595548614078211,0.07407436068302477,0.8744390435534012,88,529,0.49718004338394794
"(64, 32)",193,0.07552928534636338,0.0007512997154481237,0.1,0.2017602893492787,94,199,0.4704989154013015
"(64,)",129,0.2096564510670118,0.00201,0.03489151071006355,0.7249796762062626,76,249,0.5268980477223427
"(64,)",130,0.12525543402749156,0.0014945204805527303,0.1,0.22192233326847585,75,552,0.5208242950108459
"(64, 32)",94,0.0958975436524871,0.0008953648067407282,0.0001,0.9972462558025899,81,266,0.5815618221258134
"(64,)",67,0.1254472209511633,0.0002926196101991005,0.1,0.7390198589887983,79,700,0.4785249457700651
"(64, 32)",190,0.007392021375753558,0.0016469495583384158,0.05103137978579319,0.4684784238267982,75,239,0.49718004338394794
"(64,)",77,0.02772719850560479,0.0018646317282848047,0.07580252971422378,0.2318343010584896,95,654,0.5340563991323211
"(64,)",167,0.001401027401690763,0.0015031572330911197,0.0001,0.08535622331682553,80,668,0.5832971800433839
"(64, 32)",148,0.1356149679676939,0.0018313253306254061,0.0001,0.7579550275670789,77,602,0.5483731019522777
"(64, 32)",65,0.38884667660797856,0.00031067514833323453,0.0001,0.022889534942160783,75,675,-1.0
"(64, 32)",200,0.08018116466208941,4.015150621251849e-05,0.1,0.9651639086998046,95,651,-1.0
"(64,)",64,0.0,0.0009438482127592665,0.1,0.6313140682958923,75,318,0.49479392624728846
"(64,)",64,0.07067097440804773,0.0015562473251494958,0.1,0.28868002174381746,89,700,0.5234273318872018
"(64,)",200,0.3943645822343005,0.00201,0.1,0.9151336118868914,81,700,0.5279826464208244
