hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,auc
"(64, 32)",101,0.13817697100537238,0.0007331927946470345,0.04916278144991648,0.4340083285736238,86,0.4674620722282056
"(64, 32)",76,0.08020351133224074,0.000645951158870736,0.03248267424861616,0.273427783086176,90,0.5314553626958725
"(64, 32)",118,0.08805143561281528,0.00012954016033540515,0.07126178512073739,0.3283590472513459,84,0.47239728546941134
"(64,)",128,0.07154578376180437,0.00044634945062407085,0.06550665861623502,0.31214042804001996,84,0.45835821242206815
"(64, 32)",130,0.15540088777795613,7.658285729080153e-05,0.017473260972046416,0.24622467255405403,81,0.5818674864994008
"(64,)",64,0.0,0.001,0.0001,0.5,95,0.5374860917282284
"(64,)",150,0.0,5e-05,0.006618227311683088,0.2,95,0.5221378824537719
"(64, 32)",64,0.15268550583926077,0.0008965663795728573,0.010849444940358359,0.49182647171368654,80,0.5612985082975592
"(64,)",111,0.12390048174475186,0.00034273768690916797,0.024200767344954553,0.5,80,0.4748084649894574
"(64, 32)",150,0.0,5e-05,0.0001,0.2,95,0.5881356231891752
"(64, 32)",64,0.19758670682739904,0.001,0.008692635263709112,0.2,95,0.5402051778210943
"(64, 32)",141,0.02677213604646031,5e-05,0.009884119311343855,0.4840543395786396,80,0.5804619262245347
"(64, 32)",64,0.2,5e-05,0.0001,0.5,80,0.6171882205375969
"(64, 32)",64,0.0,5e-05,0.0001,0.2,95,0.6253622834594906
"(64, 32)",64,0.0,0.00031192338430676656,0.0001,0.2,95,0.5373751573805803
"(64, 32)",64,0.0,5e-05,0.011728933997869416,0.2,90,0.625324758619905
"(64,)",147,0.09682352220563369,0.0007495774390500261,0.06520806111117358,0.4360852058094974,80,0.3707518146170533
"(64,)",150,0.035056553852438055,0.0009217180052665438,0.00015043961799058312,0.2,84,0.40233376439179047
"(64, 32)",96,0.0,5e-05,0.0001,0.2,95,0.6031486307889508
"(64,)",64,0.0,5e-05,0.00504362038781856,0.2,95,0.6080392086221804
"(64, 32)",64,0.2,5e-05,0.005588308616595988,0.2,80,0.6085977153269725
"(64, 32)",64,0.0,5e-05,0.0001,0.5,80,0.6300147141361891
"(64, 32)",64,0.0,0.001,0.1,0.5,80,0.5260869641475661
"(64,)",64,0.0,5e-05,0.1,0.5,80,0.5449989191936047
"(64,)",64,0.2,0.0006135673244325022,0.1,0.49444830465749917,94,0.4593825324621149
"(64, 32)",150,0.2,0.00022994102721102743,0.0001,0.4994067525554912,94,0.5064796476571151
"(64,)",64,0.0,0.0007007490672115621,0.0001,0.28760499519397886,85,0.5402183181514797
"(64, 32)",64,0.0,0.00010653003804421674,0.0001,0.5,80,0.6266096525491861
"(64, 32)",64,0.0,5e-05,0.026972605132925393,0.5,95,0.6326781007766636
"(64, 32)",64,0.0,7.547334648423762e-05,0.012816053318104374,0.5,95,0.6309513419064666
"(64, 32)",64,0.0,0.00010404322814107058,0.04887179688358065,0.5,95,0.6306443644479164
"(64, 32)",64,0.0,5e-05,0.06207064764185988,0.5,95,0.6463579573896819
"(64, 32)",64,0.0,5e-05,0.1,0.5,95,0.6371717050574155
"(64, 32)",64,0.2,5e-05,0.0842864763161023,0.5,89,0.6266743445004019
"(64, 32)",64,0.0,5e-05,0.0774003800814226,0.2,95,0.6063766771460644
"(64, 32)",64,0.0,5e-05,0.07573709870687897,0.5,80,0.6412883686270346
"(64, 32)",70,0.0,5e-05,0.06390731584233707,0.5,95,0.6382584653686877
"(64,)",64,0.0,5e-05,0.0001,0.5,95,0.6418211729972846
"(64,)",64,0.0,5e-05,0.0001,0.5,94,0.6418211729972846
"(64,)",86,0.0,5e-05,0.0001,0.5,95,0.6228579223108779
"(64,)",64,0.0,0.00014906007015765308,0.0001,0.5,95,0.5185250405776436
"(64, 32)",64,0.0,0.0005103367839005906,0.0001,0.5,92,0.5148575326517301
"(64, 32)",64,0.0,5e-05,0.05601802376512429,0.5,80,0.6434678763481638
"(64,)",64,0.2,0.001,0.1,0.2,82,0.43972980788192284
"(64, 32)",64,0.0,0.0003544334800901144,0.1,0.5,81,0.4955765912503982
"(64, 32)",64,0.0,5e-05,0.05859816661451707,0.5,95,0.6462689330734342
"(64, 32)",150,0.13914286187427116,0.0005126263908745886,0.0001,0.2,87,0.4379700227917418
"(64, 32)",150,0.2,0.001,0.1,0.5,94,0.4478257493591008
"(64, 32)",64,0.0,0.0007628580021404075,0.0001,0.2,87,0.5118170773098918
"(64,)",64,0.00930567233587351,0.0005140647823226897,0.0001,0.2,83,0.4503032135976821
