hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,precision
"(64, 32)",146,0.3188444133375019,4.823105915241952e-06,0.055759764800791194,0.5777805965695353,91,693,-1.0
"(64, 32)",105,0.04620153064710736,5.278919844561375e-06,0.03055513389605583,0.15170820583468964,81,432,-1.0
"(64, 32)",125,0.09349295095509763,8.92097856910526e-06,0.048804269812499725,0.8970186609021641,77,665,0.2694245982585903
"(64,)",146,0.08873350845233492,6.332563275022014e-06,0.0874078625444371,0.4298978847400209,85,609,-1.0
"(64,)",120,0.3705376072368561,4.8875428289993e-06,0.024491312146532877,0.0346036545162829,75,351,-1.0
"(64,)",78,0.011975377987844253,9.438615701777372e-06,0.07136835016835494,0.28159809585774037,84,498,-1.0
"(64,)",140,0.24802169841085908,3.878676347958698e-06,0.044637224023598876,0.9176356599321904,94,237,-1.0
"(64, 32)",64,0.053972081043734466,1e-05,0.0001,0.999,75,700,-1.0
"(64, 32)",131,0.16001945637061832,9.596888765691503e-06,0.06963592933474794,0.6930341689258496,78,646,-1.0
"(64, 32)",130,0.10343817381419691,8.887916546858391e-06,0.04723228974494329,0.9517555598265336,76,681,0.3038246838262273
"(64,)",64,0.35383133803000993,8.7264545598847e-06,0.025885503755872744,0.001,93,150,-1.0
"(64, 32)",85,0.0603312549431855,9.046714749451199e-06,0.04652613316324562,0.8085879622488537,83,608,0.49192238798695376
"(64, 32)",92,0.1564187462378642,9.101891390165682e-06,0.04630794708470067,0.7012938354670022,85,522,-1.0
"(64, 32)",82,0.05585964092879983,9.052390068387674e-06,0.045773672158477025,0.8244619796789375,83,613,-1.0
"(64, 32)",116,0.08588924341735282,9.696584130300272e-06,0.05089210525356473,0.13970432493797202,78,490,-1.0
"(64, 32)",132,0.24654662656786797,2.527480771283578e-06,0.053695606851651825,0.999,76,700,0.24926984458574336
"(64,)",139,0.10965322547679546,2.4195638669648574e-06,0.05362739495212271,0.999,78,700,-1.0
"(64, 32)",106,0.08071531514047396,9.895621796758252e-06,0.06087286212517529,0.999,81,236,-1.0
"(64, 32)",79,0.3745488883517877,8.79229815127422e-06,0.04394419417026843,0.999,89,700,-1.0
"(64, 32)",112,0.2570495347265902,2.230996810408856e-06,0.04569486141308312,0.999,75,700,0.2537148318656105
"(64, 32)",111,0.15431134827881704,9.045977113053279e-06,0.0019221862250614146,0.8077663030226753,85,608,0.4766038854747583
"(64, 32)",85,0.3037139178623859,9.074127884532521e-06,0.03694192484525205,0.809784439294804,85,608,0.45956227906337377
"(64, 32)",126,0.07732224735816619,9.160523723449225e-06,0.05943026154575584,0.8135588385701797,88,607,0.27583133968862583
"(64, 32)",102,0.16750096692226446,8.933942476704443e-06,0.03979583469029639,0.8081439326847899,76,607,0.48795811518324606
"(64, 32)",96,0.0,8.674162710882044e-06,0.07416865996057456,0.8085246724204813,84,256,-1.0
"(64, 32)",95,0.09718185394304052,9.041302104599448e-06,0.09542579549597287,0.8082097934351152,84,608,0.29860045464576757
"(64, 32)",134,0.13243254670737056,8.999825574515773e-06,0.01831398772809375,0.8064933785842746,88,608,0.32146596858638743
"(64, 32)",79,0.12218235861231114,9.0588841525679e-06,0.012603917442240138,0.8096576213880102,80,608,-1.0
"(64, 32)",132,0.12692246131776572,1.1253861112912463e-06,0.0736801470190488,0.9025403155871776,76,672,0.24593206609057727
"(64,)",85,0.0,1.7776442844168226e-06,0.09700286849973137,0.841749929685273,84,544,-1.0
"(64, 32)",72,0.08519962530742496,9.02585895204316e-06,0.011445057780308016,0.5150831973889173,83,608,-1.0
"(64, 32)",116,0.26031046098258875,2.6025615090778655e-06,0.07258553610396577,0.8764261124471369,84,609,0.24724854280959593
