hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,auc
"(64, 32)",101,0.27635394201074476,0.008147673039516776,0.04916278144991648,0.7794677063882551,83,0.5075890148354899
"(64, 32)",76,0.16040702266448148,0.007247706691508645,0.03248267424861616,0.24526975840001208,89,0.5983740026242738
"(64, 32)",118,0.17610287122563056,0.0019205195487231267,0.07126178512073739,0.428007763856144,81,0.5123727682296012
"(64,)",128,0.14309156752360874,0.0051886574906483095,0.06550665861623502,0.37405382394646636,80,0.459839177904525
"(64, 32)",130,0.31080177555591226,0.0013742231594209,0.017473260972046416,0.15477407736315305,77,0.5704659460658648
"(64, 32)",81,0.10509526993526291,0.0034970069522975416,0.04316152190742202,0.07929421127792446,83,0.5799933966521548
"(64, 32)",68,0.20351350296748333,0.010647612690928454,0.01772261483460457,0.3212281988171237,95,0.6062874015897335
"(64, 32)",64,0.11801198238301236,0.0109,0.0030950669721706374,0.16123534798266492,95,0.5992643168924352
"(64,)",64,0.38656221084608094,0.004697155890865936,0.0001,0.001,93,0.5433700823309012
"(64, 32)",65,0.4,0.0109,0.08510030245975682,0.999,95,0.5997601368262974
"(64, 32)",150,0.4,0.0014812501249322168,0.0001,0.001,75,0.5104659034024543
"(64,)",87,0.0,0.0045867478403785605,0.0001,0.001,85,0.5950362544180332
"(64,)",96,0.3669016252360562,0.010808999078213886,0.1,0.5994761559462498,83,0.466482510845987
"(64, 32)",69,0.0,0.00943514231668746,0.0001,0.001,90,0.555339681332767
"(64, 32)",82,0.4,0.009833668959913666,0.1,0.999,95,0.5520895116272013
"(64, 32)",66,0.0,0.009643044018005807,0.0001,0.01887589664930473,95,0.5494096095065455
"(64,)",69,0.0742657533182132,0.007931668149593214,0.007754914832102339,0.8858129574099634,80,0.5106826098250989
"(64,)",68,0.4,0.008257097021727004,0.00991379668073552,0.24246698666048044,88,0.5249168774555163
"(64, 32)",64,0.4,0.0015632679987772444,0.0313676199901254,0.001,79,0.613900379040699
"(64, 32)",64,0.32280555008799466,0.0011,0.021307795094663077,0.001,75,0.5697264469532637
"(64, 32)",99,0.0,0.010525290857397562,0.01350543647060818,0.001,89,0.46311883276701604
"(64, 32)",67,0.05298147033013272,0.0022027635262831732,0.06813560221690129,0.05203919308241271,86,0.5447132686998468
"(64,)",69,0.2448494937280332,0.0015508908164900829,0.01366573442469156,0.5077194413598239,88,0.6118868319858016
"(64, 32)",77,0.2695696265692804,0.006908377093022374,0.07024720990505187,0.11937263331879443,83,0.5955734341580329
"(64,)",92,0.02688234997129764,0.004066440162103158,0.02036202058369403,0.2966668840572905,88,0.5261443748767501
"(64, 32)",87,0.008091470796069707,0.00502270342477196,0.022307328398961334,0.7663782109387316,83,0.5414909487204769
"(64,)",89,0.1258866072391918,0.007103203219580293,0.02035038930955324,0.21567752874560714,93,0.5018680174218406
"(64, 32)",69,0.19372158979376009,0.006971553201014464,0.0012098203070609829,0.47351095550030503,95,0.6417822687074314
"(64, 32)",65,0.04630603491495231,0.0070621286640041745,0.05467831346028788,0.28832250093938216,80,0.5872403220423827
"(64, 32)",70,0.30213912421945893,0.006820606459009559,0.043663976550892374,0.9651826663447833,95,0.627028171123887
"(64, 32)",72,0.2629921676473429,0.007043484483761452,0.09692477789445889,0.6541985312472803,95,0.6002041207165936
"(64, 32)",64,0.3699011220081031,0.007014743759778185,0.0001,0.02900661437241692,95,0.5970867290247713
"(64,)",72,0.23686591281345054,0.00693257057690927,0.0001,0.5904448826189991,84,0.526524031825008
"(64, 32)",64,0.4,0.0037894564921128887,0.0001,0.8125028081039695,78,0.6025471478088072
"(64,)",69,0.0,0.0011,0.0001,0.057852838414172145,92,0.6181866296664291
"(64,)",76,0.0,0.0011,0.1,0.9168916591562117,84,0.6047786337848703
"(64, 32)",87,0.4,0.0011,0.010341993331837438,0.9546520142781652,79,0.6745241607633148
"(64, 32)",89,0.4,0.0011,0.0001,0.999,95,0.7549134027577629
"(64, 32)",98,0.4,0.0011,0.0001,0.02830957717115416,95,0.6028948309012029
"(64, 32)",78,0.4,0.0011,0.0001,0.999,95,0.7578508259636242
"(64, 32)",82,0.4,0.0011,0.0001,0.8620314246283777,95,0.6886936985194849
"(64, 32)",64,0.4,0.0011,0.00010000000000000141,0.999,95,0.7492832073024589
"(64, 32)",69,0.4,0.0011,0.0001,0.999,95,0.7554652539705413
"(64, 32)",73,0.4,0.0011,0.0001,0.999,95,0.7563953400178997
"(64,)",77,0.4,0.0011,0.0001,0.999,95,0.6103103715698619
