epoch,spent_eps,train_loss,val_loss
1,0.1013,12.9199,12.7893
2,0.1020,12.7475,12.6340
3,0.1031,12.6033,12.5205
4,0.1045,12.4698,12.3983
5,0.1063,12.3531,12.2888
6,0.1084,12.2213,12.1473
7,0.1109,12.1073,12.0541
8,0.1137,11.9894,11.9314
9,0.1169,11.8886,11.8557
10,0.1204,11.7901,11.7557
11,0.1243,11.6928,11.6631
12,0.1286,11.5914,11.5469
13,0.1332,11.4788,11.4400
14,0.1381,11.3742,11.3244
15,0.1434,11.2387,11.2027
16,0.1491,11.0893,11.0598
17,0.1551,10.9327,10.9148
18,0.1614,10.8012,10.8107
19,0.1682,10.7210,10.6994
20,0.1752,10.5739,10.5696
21,0.1827,10.4615,10.4553
22,0.1904,10.3515,10.3653
23,0.1986,10.2147,10.2130
24,0.2071,10.1027,10.1063
25,0.2159,9.9816,9.9956
26,0.2248,9.8018,9.7697
27,0.2337,9.6148,9.6416
28,0.2427,9.4274,9.4184
29,0.2516,9.2245,9.1868
30,0.2606,8.9457,8.9390
31,0.2697,8.7002,8.7402
32,0.2787,8.4572,8.3586
33,0.2878,8.0896,8.0632
34,0.2969,7.7852,7.7301
35,0.3060,7.4698,7.5192
36,0.3151,7.2643,7.2788
37,0.3242,7.0784,7.1744
38,0.3334,6.9665,7.0791
39,0.3426,6.8403,6.8940
40,0.3518,6.6447,6.6903
41,0.3610,6.4584,6.5676
42,0.3702,6.3482,6.4724
43,0.3795,6.2931,6.4456
44,0.3887,6.2343,6.3724
45,0.3980,6.1887,6.3230
46,0.4073,6.1517,6.2924
47,0.4166,6.1185,6.2794
48,0.4260,6.0835,6.2067
49,0.4353,6.0032,6.1325
50,0.4447,5.9504,6.1004
51,0.4541,5.9395,6.0801
52,0.4635,5.9186,6.0795
53,0.4729,5.8989,6.0438
54,0.4823,5.8737,6.0206
55,0.4918,5.8453,6.0115
56,0.5012,5.8351,6.0279
57,0.5107,5.8443,6.0170
58,0.5202,5.8225,6.0000
59,0.5297,5.8143,5.9967
60,0.5392,5.7991,5.9622
61,0.5487,5.7935,5.9637
62,0.5582,5.7855,6.0403
63,0.5678,5.7420,5.9174
64,0.5773,5.7291,5.9241
65,0.5870,5.7245,5.9199
66,0.5965,5.7249,5.9109
67,0.6061,5.7170,5.9207
68,0.6157,5.7544,5.9489
69,0.6254,5.7193,5.8901
70,0.6350,5.6875,5.8892
71,0.6447,5.6919,5.8843
72,0.6543,5.6945,5.8979
73,0.6640,5.7074,5.9072
74,0.6737,5.7182,5.9157
75,0.6834,5.7221,5.9118
76,0.6931,5.6832,5.8771
77,0.7029,5.6918,5.8775
78,0.7125,5.6582,5.8513
79,0.7223,5.6540,5.8507
80,0.7321,5.6565,5.8431
81,0.7418,5.6507,5.8555
82,0.7517,5.6661,5.8833
83,0.7614,5.7012,5.8985
84,0.7712,5.6963,5.9181
85,0.7811,5.6903,5.9061
86,0.7908,5.7135,5.9171
87,0.8007,5.7009,5.9998
88,0.8106,5.7129,5.9604
89,0.8204,5.7065,5.9104
90,0.8303,5.6854,5.9038
