epoch,spent_eps,train_loss,val_loss
1,0.3229,0.2379,0.1506
2,0.3283,0.1380,0.1229
3,0.3363,0.1199,0.1107
4,0.3469,0.1095,0.1032
5,0.3595,0.1036,0.0982
6,0.3711,0.1003,0.0941
7,0.3834,0.0957,0.0908
8,0.3953,0.0925,0.0882
9,0.4087,0.0909,0.0857
10,0.4237,0.0880,0.0837
11,0.4401,0.0861,0.0818
12,0.4580,0.0844,0.0802
13,0.4774,0.0830,0.0788
14,0.4983,0.0808,0.0773
15,0.5207,0.0799,0.0760
16,0.5445,0.0785,0.0748
17,0.5699,0.0772,0.0736
18,0.5968,0.0759,0.0725
19,0.6251,0.0754,0.0714
20,0.6546,0.0741,0.0703
21,0.6848,0.0732,0.0693
22,0.7164,0.0717,0.0686
23,0.7487,0.0712,0.0677
24,0.7812,0.0704,0.0669
25,0.8139,0.0700,0.0661
26,0.8469,0.0695,0.0654
27,0.8796,0.0682,0.0647
28,0.9128,0.0678,0.0642
29,0.9461,0.0667,0.0637
30,0.9791,0.0665,0.0631
31,1.0122,0.0657,0.0626
32,1.0461,0.0655,0.0621
33,1.0799,0.0652,0.0616
34,1.1132,0.0649,0.0612
35,1.1467,0.0641,0.0606
36,1.1804,0.0638,0.0602
37,1.2150,0.0639,0.0597
38,1.2490,0.0624,0.0594
39,1.2829,0.0625,0.0589
40,1.3169,0.0622,0.0586
41,1.3515,0.0618,0.0582
42,1.3855,0.0618,0.0578
43,1.4203,0.0616,0.0575
44,1.4553,0.0614,0.0571
45,1.4898,0.0606,0.0568
46,1.5244,0.0605,0.0565
47,1.5584,0.0598,0.0561
48,1.5932,0.0594,0.0559
49,1.6287,0.0591,0.0556
50,1.6644,0.0587,0.0553
51,1.6993,0.0589,0.0551
52,1.7348,0.0584,0.0548
53,1.7711,0.0583,0.0546
54,1.8059,0.0578,0.0543
55,1.8413,0.0577,0.0540
56,1.8768,0.0572,0.0538
57,1.9110,0.0569,0.0535
58,1.9459,0.0567,0.0533
59,1.9813,0.0567,0.0531
60,2.0173,0.0568,0.0529
61,2.0539,0.0560,0.0526
62,2.0912,0.0555,0.0524
63,2.1290,0.0560,0.0522
64,2.1650,0.0559,0.0520
65,2.2015,0.0552,0.0518
66,2.2385,0.0553,0.0516
67,2.2759,0.0551,0.0514
68,2.3113,0.0548,0.0512
69,2.3473,0.0550,0.0510
70,2.3838,0.0544,0.0508
71,2.4208,0.0545,0.0506
72,2.4583,0.0542,0.0504
73,2.4949,0.0539,0.0503
74,2.5305,0.0538,0.0501
75,2.5665,0.0533,0.0500
76,2.6030,0.0536,0.0498
77,2.6400,0.0536,0.0496
78,2.6775,0.0535,0.0494
79,2.7155,0.0529,0.0493
80,2.7539,0.0530,0.0491
81,2.7928,0.0529,0.0489
82,2.8322,0.0524,0.0488
83,2.8716,0.0523,0.0487
84,2.9088,0.0525,0.0485
85,2.9465,0.0520,0.0484
86,2.9845,0.0518,0.0482
87,3.0230,0.0520,0.0481
88,3.0620,0.0518,0.0480
89,3.1014,0.0519,0.0478
90,3.1386,0.0517,0.0478
91,3.1752,0.0516,0.0477
92,3.2122,0.0515,0.0475
93,3.2497,0.0512,0.0474
94,3.2875,0.0512,0.0473
95,3.3258,0.0509,0.0471
96,3.3644,0.0506,0.0471
97,3.4034,0.0505,0.0470
98,3.4429,0.0505,0.0469
99,3.4827,0.0508,0.0468
100,3.5230,0.0504,0.0466
101,3.5637,0.0502,0.0465
102,3.6045,0.0504,0.0464
103,3.6420,0.0500,0.0463
104,3.6798,0.0498,0.0462
105,3.7180,0.0494,0.0461
106,3.7566,0.0501,0.0460
107,3.7955,0.0500,0.0459
108,3.8348,0.0494,0.0458
109,3.8744,0.0494,0.0457
110,3.9145,0.0491,0.0456
111,3.9548,0.0493,0.0455
112,3.9956,0.0491,0.0454
113,4.0367,0.0492,0.0453
114,4.0782,0.0490,0.0452
115,4.1200,0.0491,0.0451
116,4.1622,0.0487,0.0450
117,4.2048,0.0485,0.0449
118,4.2477,0.0485,0.0449
119,4.2893,0.0490,0.0447
120,4.3286,0.0486,0.0447
121,4.3681,0.0484,0.0445
122,4.4080,0.0483,0.0445
123,4.4482,0.0480,0.0443
124,4.4887,0.0485,0.0443
125,4.5295,0.0481,0.0442
126,4.5707,0.0478,0.0441
127,4.6122,0.0476,0.0440
128,4.6540,0.0476,0.0440
129,4.6962,0.0479,0.0439
130,4.7387,0.0476,0.0438
131,4.7815,0.0474,0.0438
132,4.8221,0.0474,0.0437
133,4.8602,0.0478,0.0436
134,4.8985,0.0474,0.0436
135,4.9372,0.0480,0.0435
136,4.9761,0.0472,0.0434
137,5.0154,0.0468,0.0433
138,5.0549,0.0471,0.0432
139,5.0947,0.0468,0.0432
