epoch,spent_eps,train_loss,val_loss
1,0.1028,0.3114,0.1979
2,0.1063,0.1762,0.1550
3,0.1116,0.1482,0.1367
4,0.1187,0.1350,0.1259
5,0.1276,0.1251,0.1187
6,0.1383,0.1183,0.1133
7,0.1507,0.1154,0.1091
8,0.1649,0.1117,0.1055
9,0.1809,0.1075,0.1024
10,0.1987,0.1037,0.0999
11,0.2181,0.1026,0.0978
12,0.2380,0.1010,0.0957
13,0.2580,0.0991,0.0939
14,0.2780,0.0967,0.0925
15,0.2981,0.0951,0.0912
16,0.3183,0.0942,0.0900
17,0.3385,0.0929,0.0888
18,0.3588,0.0920,0.0877
19,0.3792,0.0909,0.0866
20,0.3996,0.0892,0.0855
21,0.4201,0.0882,0.0847
22,0.4406,0.0875,0.0837
23,0.4612,0.0862,0.0829
24,0.4819,0.0859,0.0819
25,0.5026,0.0851,0.0812
26,0.5234,0.0838,0.0804
27,0.5442,0.0836,0.0796
28,0.5652,0.0828,0.0787
29,0.5861,0.0819,0.0780
30,0.6072,0.0808,0.0774
31,0.6282,0.0803,0.0767
32,0.6494,0.0802,0.0761
33,0.6705,0.0798,0.0755
34,0.6917,0.0784,0.0749
35,0.7131,0.0782,0.0743
36,0.7344,0.0777,0.0738
37,0.7556,0.0767,0.0732
38,0.7772,0.0763,0.0727
39,0.7987,0.0755,0.0723
40,0.8202,0.0750,0.0719
41,0.8417,0.0752,0.0714
42,0.8636,0.0741,0.0709
43,0.8852,0.0744,0.0704
44,0.9067,0.0738,0.0700
45,0.9286,0.0731,0.0695
46,0.9504,0.0729,0.0692
47,0.9725,0.0727,0.0690
48,0.9943,0.0716,0.0685
49,1.0160,0.0719,0.0680
50,1.0378,0.0713,0.0677
51,1.0600,0.0711,0.0672
52,1.0824,0.0705,0.0669
53,1.1046,0.0703,0.0666
54,1.1268,0.0695,0.0662
55,1.1489,0.0689,0.0658
56,1.1712,0.0692,0.0655
57,1.1931,0.0690,0.0652
58,1.2154,0.0682,0.0649
59,1.2382,0.0690,0.0646
60,1.2609,0.0683,0.0644
61,1.2834,0.0676,0.0641
62,1.3060,0.0673,0.0638
63,1.3281,0.0674,0.0635
64,1.3506,0.0671,0.0632
65,1.3735,0.0668,0.0629
66,1.3962,0.0660,0.0628
67,1.4186,0.0664,0.0625
68,1.4414,0.0657,0.0623
69,1.4645,0.0660,0.0620
70,1.4879,0.0655,0.0618
71,1.5105,0.0653,0.0616
72,1.5335,0.0653,0.0615
73,1.5565,0.0649,0.0613
74,1.5788,0.0642,0.0611
75,1.6015,0.0640,0.0609
76,1.6244,0.0639,0.0607
77,1.6477,0.0640,0.0604
78,1.6712,0.0639,0.0602
79,1.6951,0.0632,0.0600
80,1.7180,0.0630,0.0598
81,1.7412,0.0633,0.0596
82,1.7646,0.0635,0.0595
83,1.7883,0.0630,0.0593
84,1.8123,0.0625,0.0591
85,1.8354,0.0625,0.0589
86,1.8585,0.0621,0.0588
87,1.8820,0.0625,0.0585
88,1.9057,0.0615,0.0584
89,1.9286,0.0618,0.0583
90,1.9513,0.0619,0.0581
91,1.9743,0.0616,0.0580
92,1.9975,0.0613,0.0577
93,2.0209,0.0609,0.0576
94,2.0446,0.0608,0.0574
95,2.0686,0.0604,0.0572
96,2.0928,0.0609,0.0571
97,2.1172,0.0604,0.0569
98,2.1420,0.0601,0.0568
99,2.1669,0.0607,0.0566
100,2.1910,0.0606,0.0565
101,2.2149,0.0602,0.0564
102,2.2391,0.0596,0.0563
103,2.2634,0.0600,0.0561
104,2.2880,0.0596,0.0560
105,2.3128,0.0592,0.0558
106,2.3366,0.0594,0.0557
107,2.3601,0.0595,0.0555
108,2.3839,0.0591,0.0554
109,2.4079,0.0590,0.0552
110,2.4321,0.0586,0.0551
111,2.4565,0.0587,0.0549
112,2.4812,0.0585,0.0548
113,2.5061,0.0585,0.0547
114,2.5307,0.0581,0.0546
115,2.5541,0.0577,0.0545
116,2.5777,0.0584,0.0543
117,2.6015,0.0577,0.0542
118,2.6255,0.0577,0.0541
119,2.6497,0.0576,0.0539
120,2.6742,0.0571,0.0538
121,2.6988,0.0575,0.0537
122,2.7236,0.0572,0.0536
123,2.7486,0.0577,0.0535
124,2.7738,0.0573,0.0534
125,2.7993,0.0568,0.0534
126,2.8249,0.0575,0.0532
127,2.8507,0.0571,0.0532
128,2.8768,0.0572,0.0530
129,2.9030,0.0566,0.0530
130,2.9285,0.0566,0.0528
131,2.9531,0.0564,0.0527
132,2.9779,0.0563,0.0526
133,3.0029,0.0561,0.0525
134,3.0281,0.0563,0.0525
135,3.0534,0.0559,0.0523
136,3.0790,0.0557,0.0523
137,3.1047,0.0562,0.0522
138,3.1307,0.0556,0.0521
139,3.1568,0.0560,0.0520
140,3.1814,0.0552,0.0519
141,3.2056,0.0560,0.0518
142,3.2299,0.0554,0.0517
143,3.2544,0.0553,0.0516
144,3.2791,0.0553,0.0515
145,3.3040,0.0551,0.0515
146,3.3290,0.0551,0.0514
147,3.3542,0.0547,0.0512
148,3.3795,0.0544,0.0512
149,3.4050,0.0548,0.0511
150,3.4308,0.0547,0.0510
151,3.4566,0.0545,0.0509
152,3.4827,0.0545,0.0508
153,3.5089,0.0543,0.0507
154,3.5353,0.0545,0.0506
155,3.5618,0.0543,0.0505
156,3.5886,0.0538,0.0504
157,3.6155,0.0540,0.0503
158,3.6425,0.0540,0.0503
159,3.6686,0.0539,0.0502
160,3.6934,0.0537,0.0501
161,3.7184,0.0542,0.0500
162,3.7436,0.0537,0.0499
163,3.7689,0.0532,0.0498
164,3.7944,0.0532,0.0497
165,3.8200,0.0534,0.0497
166,3.8457,0.0533,0.0496
167,3.8717,0.0538,0.0495
168,3.8978,0.0528,0.0494
169,3.9240,0.0531,0.0493
170,3.9504,0.0533,0.0493
171,3.9770,0.0528,0.0492
172,4.0037,0.0530,0.0491
173,4.0305,0.0531,0.0491
174,4.0575,0.0528,0.0490
175,4.0847,0.0527,0.0490
176,4.1121,0.0524,0.0489
177,4.1395,0.0524,0.0488
178,4.1672,0.0526,0.0487
179,4.1950,0.0527,0.0486
180,4.2229,0.0524,0.0486
181,4.2510,0.0519,0.0485
182,4.2793,0.0520,0.0485
183,4.3077,0.0520,0.0484
184,4.3361,0.0522,0.0484
185,4.3619,0.0517,0.0483
186,4.3879,0.0519,0.0483
187,4.4141,0.0521,0.0481
188,4.4404,0.0516,0.0480
189,4.4668,0.0513,0.0480
190,4.4934,0.0516,0.0479
191,4.5201,0.0519,0.0479
192,4.5469,0.0516,0.0478
193,4.5739,0.0518,0.0477
194,4.6010,0.0514,0.0476
195,4.6283,0.0511,0.0476
196,4.6557,0.0512,0.0476
197,4.6833,0.0514,0.0475
198,4.7109,0.0511,0.0475
199,4.7388,0.0512,0.0474
200,4.7667,0.0506,0.0473
201,4.7948,0.0509,0.0472
202,4.8231,0.0508,0.0471
203,4.8515,0.0509,0.0471
204,4.8783,0.0505,0.0470
205,4.9035,0.0503,0.0470
206,4.9288,0.0508,0.0469
207,4.9543,0.0506,0.0468
208,4.9798,0.0509,0.0467
