epoch,spent_eps,train_loss,val_loss
1,0.1885,2.4473,1.8320
2,0.1924,2.0847,1.6289
3,0.1984,1.8584,1.4703
4,0.2063,1.7065,1.3389
5,0.2163,1.5477,1.2330
6,0.2281,1.5112,1.1413
7,0.2408,1.3815,1.0647
8,0.2551,1.2529,0.9917
9,0.2704,1.2117,0.9360
10,0.2874,1.1399,0.8773
11,0.3060,1.2069,0.8154
12,0.3264,1.0616,0.7684
13,0.3485,1.0548,0.7189
14,0.3722,0.9480,0.6807
15,0.3975,0.8801,0.6416
16,0.4237,0.9558,0.6117
17,0.4502,0.8725,0.5874
18,0.4767,0.8461,0.5677
19,0.5033,0.7841,0.5472
20,0.5300,0.8108,0.5266
21,0.5568,0.7973,0.5108
22,0.5837,0.7427,0.4949
23,0.6106,0.7762,0.4793
24,0.6378,0.7442,0.4662
25,0.6647,0.7317,0.4536
26,0.6921,0.6940,0.4459
27,0.7194,0.7067,0.4319
28,0.7466,0.7085,0.4213
29,0.7743,0.6679,0.4173
30,0.8017,0.6651,0.4117
31,0.8293,0.6551,0.4084
32,0.8571,0.6039,0.4084
33,0.8847,0.6504,0.4036
34,0.9126,0.6351,0.3972
35,0.9405,0.6432,0.3946
36,0.9687,0.6241,0.3908
37,0.9965,0.6077,0.3912
38,1.0243,0.6468,0.3870
39,1.0528,0.6190,0.3825
40,1.0813,0.5721,0.3803
41,1.1097,0.5880,0.3749
42,1.1380,0.6131,0.3719
43,1.1662,0.6167,0.3683
44,1.1946,0.6204,0.3666
45,1.2236,0.5771,0.3672
46,1.2525,0.5932,0.3683
47,1.2815,0.5929,0.3633
48,1.3099,0.5657,0.3605
49,1.3387,0.5940,0.3600
50,1.3680,0.5660,0.3581
51,1.3966,0.5245,0.3570
52,1.4257,0.5818,0.3559
53,1.4553,0.5791,0.3537
54,1.4847,0.5463,0.3525
55,1.5139,0.5364,0.3528
56,1.5432,0.5551,0.3539
57,1.5718,0.5344,0.3513
58,1.6010,0.5556,0.3497
59,1.6306,0.5075,0.3488
60,1.6608,0.5449,0.3463
61,1.6908,0.5013,0.3446
62,1.7203,0.4947,0.3431
63,1.7502,0.5204,0.3406
64,1.7806,0.5042,0.3445
65,1.8107,0.5199,0.3433
66,1.8402,0.5533,0.3410
67,1.8702,0.5159,0.3399
68,1.9003,0.5399,0.3370
69,1.9292,0.5210,0.3365
70,1.9585,0.5265,0.3365
71,1.9882,0.4862,0.3361
72,2.0183,0.4682,0.3334
73,2.0488,0.4850,0.3316
74,2.0798,0.5183,0.3335
75,2.1112,0.4926,0.3324
76,2.1430,0.4912,0.3323
77,2.1740,0.4824,0.3337
78,2.2046,0.4875,0.3334
79,2.2355,0.4485,0.3324
80,2.2669,0.4882,0.3300
81,2.2987,0.5073,0.3306
82,2.3286,0.4783,0.3308
83,2.3588,0.5218,0.3285
84,2.3894,0.4549,0.3266
85,2.4204,0.5148,0.3265
86,2.4518,0.4212,0.3233
87,2.4835,0.4588,0.3199
88,2.5148,0.5154,0.3203
89,2.5448,0.4321,0.3211
90,2.5750,0.4437,0.3184
91,2.6057,0.4612,0.3207
92,2.6366,0.4732,0.3206
93,2.6679,0.4393,0.3205
94,2.6995,0.5027,0.3208
95,2.7315,0.4607,0.3205
96,2.7638,0.4509,0.3203
97,2.7964,0.4329,0.3195
98,2.8294,0.4322,0.3195
99,2.8627,0.4668,0.3185
100,2.8963,0.4199,0.3170
101,2.9277,0.4348,0.3156
102,2.9593,0.4660,0.3150
103,2.9913,0.4291,0.3157
104,3.0236,0.4079,0.3144
105,3.0562,0.4376,0.3143
106,3.0891,0.4043,0.3121
107,3.1223,0.4387,0.3113
108,3.1547,0.4430,0.3088
109,3.1855,0.4360,0.3082
110,3.2166,0.4366,0.3063
111,3.2480,0.4183,0.3055
112,3.2797,0.4063,0.3052
113,3.3116,0.4450,0.3038
114,3.3439,0.4471,0.3035
115,3.3764,0.4480,0.3048
116,3.4092,0.4502,0.3052
117,3.4423,0.4310,0.3039
118,3.4756,0.4651,0.3042
119,3.5093,0.4129,0.3035
120,3.5432,0.3866,0.3026
121,3.5774,0.4183,0.3029
122,3.6119,0.3978,0.3027
123,3.6455,0.4411,0.3023
124,3.6773,0.4540,0.3032
125,3.7093,0.4227,0.3044
126,3.7415,0.3789,0.3043
127,3.7740,0.3692,0.3024
128,3.8068,0.4102,0.3009
129,3.8398,0.3886,0.2994
130,3.8731,0.3899,0.2982
131,3.9066,0.3672,0.2979
132,3.9404,0.3920,0.2994
133,3.9745,0.4173,0.2974
134,4.0088,0.4170,0.2979
135,4.0433,0.4070,0.2965
136,4.0781,0.3725,0.2949
137,4.1132,0.4506,0.2940
138,4.1485,0.4137,0.2927
139,4.1841,0.4136,0.2930
140,4.2199,0.4258,0.2919
141,4.2560,0.4070,0.2928
142,4.2924,0.3962,0.2929
143,4.3270,0.3558,0.2924
144,4.3602,0.3608,0.2921
145,4.3936,0.4028,0.2920
146,4.4272,0.3984,0.2909
147,4.4610,0.4017,0.2904
148,4.4951,0.3824,0.2889
149,4.5294,0.3802,0.2885
150,4.5640,0.4304,0.2887
151,4.5988,0.3816,0.2883
152,4.6338,0.4084,0.2887
153,4.6690,0.3650,0.2893
154,4.7044,0.3493,0.2882
155,4.7401,0.3826,0.2887
156,4.7761,0.3998,0.2881
157,4.8122,0.3851,0.2886
158,4.8476,0.3625,0.2874
159,4.8797,0.3781,0.2871
160,4.9121,0.3618,0.2875
161,4.9446,0.3904,0.2874
162,4.9774,0.3606,0.2867
163,5.0103,0.4038,0.2876
164,5.0435,0.3839,0.2867
165,5.0768,0.3418,0.2847
166,5.1104,0.4159,0.2850
167,5.1441,0.3767,0.2861
168,5.1781,0.3636,0.2873
169,5.2123,0.3967,0.2867
170,5.2466,0.3627,0.2863
171,5.2812,0.3809,0.2875
172,5.3160,0.3461,0.2867
173,5.3509,0.3743,0.2860
174,5.3861,0.3670,0.2867
175,5.4215,0.3688,0.2856
176,5.4571,0.4053,0.2858
177,5.4928,0.3597,0.2846
178,5.5288,0.3811,0.2837
179,5.5650,0.3836,0.2835
180,5.6014,0.3471,0.2826
181,5.6380,0.3367,0.2820
182,5.6748,0.3695,0.2823
183,5.7118,0.3534,0.2821
184,5.7490,0.3760,0.2810
185,5.7864,0.3450,0.2798
186,5.8240,0.3640,0.2792
187,5.8618,0.3498,0.2792
188,5.8998,0.3367,0.2778
189,5.9380,0.3741,0.2773
190,5.9764,0.3621,0.2768
191,6.0150,0.3717,0.2767
192,6.0538,0.3659,0.2766
193,6.0928,0.3586,0.2768
194,6.1320,0.3587,0.2768
195,6.1715,0.3049,0.2766
196,6.2111,0.3747,0.2767
197,6.2509,0.3641,0.2768
198,6.2909,0.4230,0.2779
199,6.3312,0.3317,0.2781
200,6.3684,0.4053,0.2778
201,6.4040,0.3326,0.2771
202,6.4399,0.3805,0.2766
203,6.4759,0.3372,0.2767
204,6.5120,0.3895,0.2767
205,6.5484,0.3550,0.2770
206,6.5849,0.3226,0.2757
207,6.6216,0.3347,0.2748
208,6.6585,0.3741,0.2748
209,6.6956,0.3817,0.2748
210,6.7328,0.3525,0.2744
211,6.7703,0.3395,0.2741
212,6.8079,0.3442,0.2743
213,6.8456,0.3379,0.2736
214,6.8836,0.3693,0.2728
215,6.9217,0.3446,0.2725
216,6.9600,0.3421,0.2730
217,6.9985,0.3525,0.2727
218,7.0372,0.3335,0.2731
219,7.0760,0.3545,0.2727
220,7.1150,0.3375,0.2721
221,7.1542,0.3356,0.2717
222,7.1936,0.3241,0.2717
223,7.2331,0.3539,0.2722
224,7.2729,0.3418,0.2714
225,7.3128,0.3462,0.2707
226,7.3528,0.3348,0.2712
227,7.3931,0.3111,0.2705
228,7.4335,0.3343,0.2702
229,7.4741,0.3139,0.2703
230,7.5149,0.2946,0.2696
231,7.5559,0.3601,0.2695
232,7.5971,0.3578,0.2697
233,7.6384,0.3174,0.2688
234,7.6799,0.3105,0.2687
235,7.7215,0.3323,0.2691
236,7.7634,0.3447,0.2692
237,7.8054,0.3592,0.2687
238,7.8476,0.3311,0.2679
239,7.8900,0.3386,0.2673
240,7.9326,0.2933,0.2676
241,7.9753,0.3456,0.2673
242,8.0183,0.3466,0.2675
243,8.0555,0.3108,0.2675
244,8.0926,0.3411,0.2669
245,8.1299,0.3343,0.2668
246,8.1673,0.3289,0.2666
247,8.2048,0.3244,0.2670
248,8.2425,0.3329,0.2670
249,8.2804,0.3674,0.2671
250,8.3184,0.2965,0.2666
251,8.3565,0.3356,0.2658
252,8.3949,0.3628,0.2656
253,8.4333,0.3159,0.2649
254,8.4719,0.3128,0.2645
255,8.5107,0.3481,0.2645
256,8.5496,0.2946,0.2647
257,8.5887,0.3058,0.2646
258,8.6279,0.3313,0.2652
259,8.6673,0.3107,0.2647
260,8.7068,0.3197,0.2655
261,8.7465,0.3310,0.2650
262,8.7863,0.3005,0.2648
263,8.8263,0.3426,0.2648
264,8.8665,0.3347,0.2648
265,8.9068,0.3256,0.2644
266,8.9472,0.3200,0.2641
267,8.9878,0.3444,0.2642
268,9.0285,0.3412,0.2644
269,9.0694,0.3562,0.2648
270,9.1105,0.3359,0.2645
271,9.1517,0.3114,0.2636
272,9.1930,0.3391,0.2628
273,9.2345,0.3583,0.2624
274,9.2762,0.3581,0.2631
275,9.3180,0.3245,0.2629
276,9.3600,0.3281,0.2626
277,9.4021,0.3237,0.2620
278,9.4444,0.3102,0.2614
279,9.4868,0.3003,0.2609
280,9.5293,0.2963,0.2610
281,9.5721,0.2598,0.2605
282,9.6149,0.3189,0.2597
283,9.6580,0.2587,0.2588
284,9.7011,0.3199,0.2585
285,9.7445,0.2932,0.2577
286,9.7879,0.2922,0.2572
287,9.8316,0.3206,0.2573
288,9.8751,0.3122,0.2577
289,9.9105,0.2939,0.2578
290,9.9459,0.3013,0.2575
291,9.9815,0.2679,0.2570
