epoch,train_loss,val_loss
1,26.6958,24.9244
2,24.1582,22.3222
3,21.5789,19.3245
4,19.0168,16.6752
5,17.1007,14.9368
6,15.8939,13.9672
7,15.1821,13.4324
8,14.7437,13.1174
9,14.4422,12.9093
10,14.2087,12.7524
11,14.0127,12.6307
12,13.8535,12.5291
13,13.7021,12.4383
14,13.5686,12.3550
15,13.4229,12.2775
16,13.3497,12.2045
17,13.2248,12.1359
18,13.1304,12.0682
19,13.0426,12.0023
20,12.9472,11.9371
21,12.8541,11.8738
22,12.7826,11.8105
23,12.7021,11.7481
24,12.6168,11.6866
25,12.5432,11.6256
26,12.4893,11.5646
27,12.4125,11.5042
28,12.3744,11.4436
29,12.2846,11.3830
30,12.2017,11.3224
31,12.1633,11.2623
32,12.0788,11.2018
33,12.0186,11.1422
34,11.9357,11.0822
35,11.8967,11.0217
36,11.8462,10.9623
37,11.7678,10.9034
38,11.7104,10.8439
39,11.6651,10.7848
40,11.5981,10.7259
41,11.5404,10.6673
42,11.4823,10.6097
43,11.4324,10.5510
44,11.3730,10.4934
45,11.3342,10.4367
46,11.2724,10.3798
47,11.1940,10.3231
48,11.1683,10.2667
49,11.1121,10.2105
50,11.0402,10.1549
51,10.9791,10.0992
52,10.9386,10.0446
53,10.8895,9.9899
54,10.8714,9.9360
55,10.8108,9.8828
56,10.7636,9.8301
57,10.6988,9.7774
58,10.6495,9.7251
59,10.6080,9.6729
60,10.5731,9.6214
61,10.4962,9.5705
62,10.4848,9.5196
63,10.4146,9.4689
64,10.3809,9.4191
65,10.3382,9.3697
66,10.2933,9.3207
67,10.2543,9.2718
68,10.2086,9.2234
69,10.1759,9.1759
70,10.1087,9.1283
71,10.0754,9.0812
72,10.0304,9.0345
73,9.9821,8.9886
74,9.9428,8.9433
75,9.8982,8.8980
76,9.8764,8.8534
77,9.8394,8.8095
78,9.7803,8.7653
79,9.7569,8.7222
80,9.7192,8.6795
81,9.6751,8.6369
82,9.6361,8.5950
83,9.5932,8.5530
84,9.5699,8.5114
85,9.5368,8.4704
86,9.4692,8.4296
87,9.4487,8.3898
88,9.4439,8.3508
89,9.3833,8.3113
90,9.3645,8.2729
91,9.3297,8.2352
92,9.3020,8.1974
93,9.2457,8.1595
94,9.2135,8.1227
95,9.1883,8.0859
96,9.1499,8.0499
97,9.1142,8.0141
98,9.0910,7.9786
99,9.0638,7.9434
100,9.0293,7.9086
101,9.0108,7.8743
102,8.9455,7.8402
103,8.9154,7.8064
104,8.9190,7.7735
105,8.8963,7.7411
106,8.8666,7.7085
107,8.8325,7.6764
108,8.8087,7.6449
109,8.7621,7.6135
110,8.7196,7.5825
111,8.7049,7.5519
112,8.6737,7.5213
113,8.6490,7.4912
114,8.6456,7.4620
115,8.5993,7.4325
116,8.6182,7.4039
117,8.5564,7.3750
118,8.5250,7.3466
119,8.5210,7.3190
120,8.4832,7.2911
121,8.4722,7.2638
122,8.4393,7.2364
123,8.4088,7.2096
124,8.3960,7.1833
125,8.3657,7.1568
126,8.3756,7.1315
127,8.3250,7.1057
128,8.3062,7.0804
129,8.2806,7.0555
130,8.2475,7.0305
131,8.2331,7.0058
132,8.1979,6.9811
133,8.1939,6.9576
134,8.1939,6.9343
135,8.1632,6.9105
136,8.1396,6.8876
137,8.1554,6.8653
138,8.1091,6.8430
139,8.0677,6.8206
140,8.0499,6.7985
141,8.0485,6.7768
142,8.0123,6.7552
143,8.0230,6.7344
144,7.9829,6.7130
145,7.9738,6.6922
146,7.9604,6.6720
147,7.9287,6.6518
148,7.9103,6.6317
149,7.8987,6.6115
150,7.8932,6.5921
151,7.8654,6.5726
152,7.8538,6.5536
153,7.8439,6.5346
154,7.8222,6.5156
155,7.8068,6.4972
156,7.8174,6.4789
157,7.7770,6.4608
158,7.7764,6.4431
159,7.7468,6.4256
160,7.7440,6.4084
161,7.7391,6.3909
162,7.7113,6.3738
163,7.6860,6.3569
164,7.6617,6.3403
165,7.6822,6.3238
166,7.6486,6.3075
