epoch,spent_eps,train_loss,val_loss
1,0.1028,0.3194,0.2021
2,0.1063,0.1773,0.1564
3,0.1116,0.1480,0.1359
4,0.1187,0.1327,0.1230
5,0.1276,0.1227,0.1148
6,0.1383,0.1149,0.1090
7,0.1507,0.1100,0.1046
8,0.1649,0.1064,0.1008
9,0.1809,0.1036,0.0977
10,0.1987,0.1000,0.0949
11,0.2181,0.0980,0.0925
12,0.2380,0.0955,0.0907
13,0.2580,0.0937,0.0888
14,0.2780,0.0916,0.0870
15,0.2981,0.0897,0.0856
16,0.3183,0.0888,0.0840
17,0.3385,0.0869,0.0829
18,0.3588,0.0860,0.0817
19,0.3792,0.0853,0.0806
20,0.3996,0.0839,0.0795
21,0.4201,0.0824,0.0783
22,0.4406,0.0820,0.0772
23,0.4612,0.0800,0.0763
24,0.4819,0.0797,0.0754
25,0.5026,0.0785,0.0746
26,0.5234,0.0782,0.0737
27,0.5442,0.0767,0.0727
28,0.5652,0.0763,0.0719
29,0.5861,0.0754,0.0711
30,0.6072,0.0748,0.0703
31,0.6282,0.0739,0.0697
32,0.6494,0.0739,0.0691
33,0.6705,0.0727,0.0684
34,0.6917,0.0723,0.0678
35,0.7131,0.0718,0.0672
36,0.7344,0.0713,0.0667
37,0.7556,0.0709,0.0660
