epoch,train_loss,val_loss
266,7.5755,6.5897
267,7.5647,6.5930
268,7.5568,6.5900
269,7.5719,6.5902
270,7.5697,6.5879
271,7.5591,6.5875
272,7.5585,6.5856
273,7.5668,6.5882
274,7.5726,6.5901
275,7.5585,6.5887
276,7.5748,6.5903
277,7.5888,6.5912
278,7.5436,6.5909
279,7.5652,6.5840
280,7.5639,6.5859
281,7.5571,6.5909
282,7.5462,6.5859
283,7.5735,6.5848
284,7.5706,6.5859
285,7.5831,6.5895
286,7.5600,6.5847
287,7.5631,6.5869
288,7.5610,6.5885
289,7.5741,6.5877
290,7.5771,6.5848
291,7.5689,6.5896
292,7.5575,6.5868
293,7.5866,6.5888
294,7.5798,6.5881
295,7.5759,6.5883
296,7.5623,6.5825
297,7.5840,6.5871
298,7.5437,6.5856
299,7.5668,6.5874
300,7.5699,6.5877
301,7.5536,6.5851
302,7.5717,6.5831
303,7.5701,6.5856
304,7.5652,6.5863
305,7.5470,6.5845
306,7.5548,6.5873
307,7.5800,6.5875
308,7.5480,6.5872
309,7.5532,6.5798
310,7.5503,6.5810
311,7.5684,6.5876
312,7.5673,6.5816
313,7.5340,6.5818
314,7.5595,6.5858
315,7.5715,6.5833
316,7.5498,6.5866
317,7.5730,6.5829
318,7.5510,6.5828
319,7.5770,6.5814
320,7.5714,6.5842
321,7.5537,6.5812
322,7.5658,6.5873
323,7.5636,6.5832
324,7.5462,6.5769
325,7.5575,6.5816
326,7.5483,6.5813
327,7.5655,6.5830
328,7.5528,6.5836
329,7.5690,6.5850
330,7.5327,6.5784
331,7.5534,6.5786
332,7.5673,6.5841
333,7.5465,6.5809
334,7.5581,6.5771
335,7.5557,6.5791
336,7.5625,6.5840
337,7.5590,6.5800
338,7.5338,6.5741
339,7.5475,6.5809
340,7.5665,6.5813
341,7.5578,6.5800
342,7.5541,6.5806
343,7.5480,6.5755
344,7.5648,6.5851
345,7.5440,6.5787
346,7.5367,6.5764
347,7.5432,6.5780
348,7.5486,6.5761
349,7.5492,6.5793
350,7.5517,6.5781
351,7.5419,6.5765
352,7.5442,6.5755
353,7.5334,6.5761
