epoch,train_loss,val_loss
1,17.4773,14.0964
2,13.2580,10.5997
3,11.2475,9.1004
4,9.9978,7.7395
5,9.1967,7.0614
6,8.5720,6.5548
7,8.2618,6.3277
8,7.9645,5.9923
9,7.7511,5.7433
10,7.5057,5.5194
11,7.3458,5.3513
12,7.1721,5.2130
13,7.0065,5.0406
14,6.8308,4.8132
15,6.6992,4.6782
16,6.5918,4.5442
17,6.4591,4.4554
18,6.3521,4.3485
19,6.2915,4.2762
20,6.1502,4.2071
21,6.1420,4.1915
22,6.0173,4.0688
23,5.9439,4.0262
24,5.9035,3.9798
25,5.8960,4.0042
26,5.7714,3.9268
27,5.7276,3.8896
28,5.6609,3.8656
29,5.6509,3.8173
30,5.6416,3.8567
31,5.5578,3.7814
32,5.5424,3.7729
33,5.5287,3.7534
34,5.4774,3.7452
35,5.4382,3.7219
36,5.3998,3.7053
37,5.3901,3.6555
38,5.3513,3.6741
39,5.3277,3.6465
40,5.3099,3.6261
41,5.2983,3.6353
42,5.2717,3.5929
43,5.2269,3.5917
44,5.1996,3.5338
45,5.1780,3.5376
46,5.1396,3.5249
47,5.1296,3.5344
48,5.1454,3.5201
49,5.1021,3.4827
50,5.0576,3.4930
51,5.0721,3.4588
52,5.0661,3.4948
53,5.0146,3.4308
54,5.0379,3.4451
55,4.9798,3.4129
56,4.9741,3.4060
57,4.9804,3.4145
58,4.9604,3.3927
59,4.9257,3.3979
60,4.9225,3.3802
61,4.9009,3.3725
62,4.8978,3.3505
63,4.8657,3.3669
64,4.8551,3.3475
65,4.8417,3.3542
66,4.8372,3.3545
67,4.7969,3.3212
68,4.8005,3.3307
69,4.8046,3.3201
70,4.7932,3.3289
71,4.7752,3.2892
72,4.7594,3.2994
73,4.7627,3.2727
74,4.7398,3.2623
75,4.6948,3.2550
76,4.7324,3.2637
77,4.7353,3.2709
78,4.7189,3.2697
79,4.6775,3.2541
80,4.7093,3.2387
81,4.7061,3.2549
82,4.6481,3.2414
83,4.6285,3.2365
84,4.6642,3.2542
85,4.6518,3.2395
86,4.6333,3.2312
87,4.6413,3.2252
88,4.6217,3.2021
89,4.5900,3.2198
90,4.5852,3.1973
91,4.6173,3.1902
92,4.5565,3.1956
93,4.5774,3.1896
94,4.5569,3.1789
95,4.5800,3.1920
96,4.5419,3.1786
97,4.5796,3.1863
98,4.5269,3.1790
99,4.5116,3.1778
100,4.5286,3.1664
101,4.5819,3.1851
102,4.5482,3.1586
103,4.5309,3.1501
104,4.5484,3.1326
105,4.4950,3.1605
106,4.5274,3.1736
107,4.4856,3.1387
108,4.5051,3.1389
109,4.4599,3.1267
110,4.4757,3.1375
111,4.5000,3.1280
112,4.4648,3.1150
113,4.4378,3.1098
114,4.4583,3.1133
115,4.4738,3.1188
116,4.4567,3.1076
117,4.4294,3.0886
118,4.4402,3.1148
119,4.4202,3.0774
120,4.4132,3.1000
121,4.4439,3.1276
122,4.4415,3.0725
123,4.4208,3.0834
124,4.4313,3.0867
125,4.4225,3.0928
126,4.4057,3.0651
127,4.3731,3.0663
128,4.4275,3.0725
129,4.4224,3.0641
130,4.3993,3.0478
131,4.3865,3.0906
132,4.3817,3.0515
133,4.3708,3.0582
134,4.3724,3.0592
135,4.3653,3.0260
136,4.3536,3.0488
137,4.3754,3.0471
138,4.3522,3.0645
139,4.3344,3.0306
140,4.3585,3.0332
141,4.3746,3.0468
142,4.3416,3.0404
143,4.3376,3.0263
144,4.3577,3.0518
145,4.3715,3.0580
146,4.3255,3.0072
147,4.3072,3.0271
148,4.3170,3.0067
149,4.2746,3.0112
150,4.3251,3.0251
151,4.3218,3.0150
152,4.3371,3.0067
153,4.3110,2.9830
154,4.2968,3.0033
155,4.3344,3.0259
156,4.2787,3.0001
157,4.2846,2.9875
158,4.2893,2.9858
159,4.2745,2.9998
160,4.2718,2.9779
161,4.3023,2.9597
162,4.2858,2.9876
163,4.2718,2.9716
164,4.2741,2.9943
165,4.2624,3.0005
166,4.2734,2.9625
167,4.2594,2.9908
168,4.2607,2.9524
169,4.2878,2.9917
170,4.2646,2.9915
171,4.2809,2.9583
172,4.2779,2.9651
173,4.2575,2.9648
174,4.2620,2.9621
175,4.2839,2.9771
176,4.2756,2.9702
177,4.2176,2.9778
178,4.2508,3.0200
