epoch,spent_eps,train_loss,val_loss
1,0.1019,3.0535,2.5189
2,0.1036,2.2751,2.0684
3,0.1063,2.0959,1.9861
4,0.1098,2.0491,1.9593
5,0.1143,2.0260,1.9519
6,0.1196,2.0094,1.9432
7,0.1258,1.9951,1.9320
8,0.1329,1.9836,1.9232
9,0.1408,1.9712,1.9146
10,0.1497,1.9561,1.9024
11,0.1594,1.9446,1.8972
12,0.1701,1.9359,1.8909
13,0.1816,1.9284,1.8825
14,0.1940,1.9180,1.8730
15,0.2073,1.9093,1.8660
16,0.2212,1.9021,1.8588
17,0.2352,1.8947,1.8528
18,0.2493,1.8863,1.8473
19,0.2634,1.8806,1.8391
20,0.2775,1.8730,1.8328
21,0.2917,1.8647,1.8245
22,0.3059,1.8564,1.8169
23,0.3202,1.8495,1.8113
24,0.3345,1.8429,1.8039
25,0.3488,1.8354,1.7995
26,0.3632,1.8296,1.7912
27,0.3776,1.8224,1.7863
28,0.3920,1.8162,1.7806
29,0.4065,1.8119,1.7756
30,0.4210,1.8069,1.7722
31,0.4356,1.8015,1.7655
32,0.4502,1.7956,1.7602
33,0.4648,1.7915,1.7546
34,0.4794,1.7868,1.7500
35,0.4941,1.7800,1.7461
36,0.5088,1.7770,1.7407
37,0.5236,1.7713,1.7361
38,0.5383,1.7666,1.7311
39,0.5532,1.7601,1.7245
40,0.5680,1.7553,1.7190
41,0.5829,1.7515,1.7144
42,0.5979,1.7462,1.7097
43,0.6128,1.7424,1.7046
44,0.6277,1.7367,1.6998
45,0.6427,1.7322,1.6954
46,0.6578,1.7281,1.6927
47,0.6727,1.7252,1.6892
48,0.6877,1.7211,1.6839
49,0.7030,1.7167,1.6791
50,0.7182,1.7124,1.6750
51,0.7332,1.7074,1.6721
52,0.7483,1.7044,1.6691
53,0.7635,1.7012,1.6656
54,0.7789,1.6973,1.6617
55,0.7942,1.6931,1.6558
56,0.8094,1.6885,1.6519
57,0.8247,1.6846,1.6488
58,0.8400,1.6816,1.6445
59,0.8554,1.6782,1.6410
60,0.8709,1.6728,1.6366
61,0.8863,1.6683,1.6315
62,0.9016,1.6630,1.6272
63,0.9170,1.6599,1.6224
64,0.9326,1.6542,1.6203
65,0.9481,1.6502,1.6152
66,0.9637,1.6457,1.6097
67,0.9794,1.6420,1.6055
68,0.9948,1.6377,1.6007
69,1.0104,1.6326,1.5963
70,1.0257,1.6282,1.5924
71,1.0413,1.6234,1.5882
72,1.0570,1.6200,1.5838
73,1.0730,1.6164,1.5805
74,1.0888,1.6112,1.5764
75,1.1046,1.6076,1.5712
76,1.1205,1.6031,1.5657
77,1.1361,1.5995,1.5627
78,1.1519,1.5953,1.5585
79,1.1678,1.5913,1.5549
80,1.1833,1.5883,1.5516
81,1.1990,1.5844,1.5472
82,1.2149,1.5807,1.5424
83,1.2309,1.5762,1.5383
84,1.2472,1.5717,1.5345
85,1.2633,1.5680,1.5302
86,1.2793,1.5638,1.5273
87,1.2954,1.5612,1.5231
88,1.3114,1.5573,1.5193
89,1.3271,1.5546,1.5146
90,1.3430,1.5504,1.5108
91,1.3591,1.5453,1.5073
92,1.3754,1.5408,1.5027
93,1.3917,1.5372,1.4998
94,1.4076,1.5341,1.4959
95,1.4236,1.5305,1.4921
96,1.4398,1.5280,1.4892
97,1.4561,1.5243,1.4867
98,1.4726,1.5204,1.4828
99,1.4893,1.5174,1.4801
100,1.5054,1.5127,1.4754
101,1.5216,1.5087,1.4697
102,1.5379,1.5056,1.4660
103,1.5545,1.5016,1.4630
104,1.5704,1.4969,1.4589
105,1.5863,1.4936,1.4542
106,1.6024,1.4898,1.4509
107,1.6187,1.4851,1.4454
108,1.6351,1.4809,1.4415
109,1.6517,1.4768,1.4372
110,1.6684,1.4722,1.4340
111,1.6852,1.4685,1.4295
112,1.7022,1.4645,1.4240
113,1.7185,1.4596,1.4207
114,1.7349,1.4562,1.4170
115,1.7514,1.4525,1.4137
116,1.7681,1.4494,1.4093
117,1.7849,1.4454,1.4051
118,1.8019,1.4415,1.4014
119,1.8190,1.4372,1.3984
120,1.8354,1.4337,1.3930
121,1.8518,1.4284,1.3878
122,1.8683,1.4237,1.3842
123,1.8850,1.4205,1.3797
124,1.9018,1.4156,1.3760
125,1.9187,1.4114,1.3709
126,1.9348,1.4065,1.3677
127,1.9509,1.4037,1.3645
128,1.9672,1.3997,1.3603
129,1.9835,1.3965,1.3556
130,2.0001,1.3922,1.3509
131,2.0167,1.3899,1.3471
132,2.0335,1.3844,1.3432
133,2.0503,1.3805,1.3391
134,2.0674,1.3776,1.3353
135,2.0845,1.3714,1.3302
136,2.1018,1.3677,1.3267
137,2.1192,1.3652,1.3220
138,2.1367,1.3617,1.3177
139,2.1544,1.3570,1.3160
140,2.1721,1.3528,1.3123
141,2.1895,1.3485,1.3066
142,2.2064,1.3452,1.3014
143,2.2234,1.3393,1.2970
144,2.2406,1.3360,1.2924
145,2.2578,1.3309,1.2871
146,2.2752,1.3269,1.2834
147,2.2927,1.3234,1.2789
148,2.3104,1.3188,1.2752
149,2.3279,1.3142,1.2708
150,2.3445,1.3095,1.2664
151,2.3613,1.3048,1.2608
152,2.3781,1.3015,1.2568
153,2.3951,1.2960,1.2522
154,2.4122,1.2953,1.2481
155,2.4294,1.2925,1.2454
156,2.4467,1.2875,1.2410
157,2.4641,1.2818,1.2368
158,2.4816,1.2787,1.2336
159,2.4993,1.2758,1.2292
160,2.5170,1.2708,1.2235
161,2.5347,1.2680,1.2222
162,2.5513,1.2677,1.2181
163,2.5680,1.2626,1.2163
164,2.5848,1.2584,1.2100
165,2.6017,1.2528,1.2054
166,2.6188,1.2477,1.1987
167,2.6359,1.2447,1.1955
168,2.6531,1.2425,1.1927
169,2.6704,1.2361,1.1886
