epoch,train_loss,val_loss
1,15.7031,11.6733
2,10.9187,8.6367
3,8.8762,7.0350
4,7.7743,6.1827
5,7.1767,5.7007
6,6.8261,5.4054
7,6.6008,5.2102
8,6.4244,5.0704
9,6.3196,4.9738
10,6.2411,4.8948
11,6.1811,4.8422
12,6.1111,4.7901
13,6.0444,4.7474
14,6.0331,4.7166
15,5.9885,4.6869
16,5.9591,4.6592
17,5.9610,4.6398
18,5.9062,4.6186
19,5.9035,4.6038
20,5.8702,4.5884
21,5.8749,4.5731
22,5.8551,4.5584
23,5.8364,4.5509
24,5.8312,4.5389
25,5.8168,4.5286
26,5.7819,4.5172
27,5.8082,4.5138
28,5.7727,4.5041
29,5.7885,4.4995
30,5.7795,4.4848
31,5.7571,4.4822
32,5.7473,4.4732
33,5.7427,4.4683
34,5.7476,4.4628
35,5.7284,4.4606
36,5.7014,4.4497
37,5.7183,4.4444
38,5.7264,4.4420
39,5.7074,4.4371
40,5.7074,4.4351
41,5.7063,4.4296
42,5.6943,4.4215
43,5.6730,4.4213
44,5.6993,4.4168
45,5.7109,4.4155
46,5.6667,4.4040
47,5.6843,4.4067
48,5.6632,4.4037
49,5.6510,4.4023
50,5.6374,4.3936
51,5.6361,4.3885
52,5.6271,4.3842
53,5.6441,4.3863
54,5.6191,4.3784
55,5.6136,4.3713
56,5.6121,4.3698
57,5.6071,4.3668
58,5.6056,4.3663
59,5.5868,4.3589
60,5.5596,4.3566
61,5.5791,4.3527
62,5.5668,4.3485
63,5.5581,4.3460
64,5.5533,4.3437
65,5.5275,4.3411
66,5.5403,4.3371
67,5.5307,4.3350
68,5.5355,4.3322
69,5.5390,4.3309
70,5.5259,4.3217
71,5.5179,4.3246
72,5.5370,4.3274
73,5.5300,4.3212
74,5.5117,4.3152
75,5.5126,4.3155
76,5.5203,4.3139
77,5.4970,4.3124
78,5.5042,4.3085
79,5.4848,4.3063
80,5.4988,4.3046
81,5.4672,4.2996
82,5.4756,4.2980
83,5.4724,4.3000
84,5.4875,4.2966
85,5.4681,4.2924
86,5.4573,4.2895
87,5.4450,4.2846
88,5.4671,4.2870
89,5.4581,4.2853
90,5.4446,4.2809
91,5.4678,4.2843
92,5.4451,4.2765
93,5.4382,4.2770
94,5.4366,4.2759
95,5.4121,4.2729
96,5.4389,4.2729
97,5.4204,4.2679
98,5.4273,4.2685
99,5.4014,4.2660
100,5.4324,4.2633
101,5.4048,4.2593
102,5.4248,4.2624
103,5.4001,4.2588
104,5.4116,4.2556
105,5.4229,4.2544
106,5.4064,4.2544
107,5.4123,4.2516
108,5.4102,4.2536
109,5.3978,4.2524
110,5.3714,4.2486
111,5.3826,4.2457
112,5.3939,4.2501
113,5.3771,4.2442
114,5.3780,4.2436
115,5.3509,4.2424
116,5.3574,4.2419
117,5.3947,4.2402
118,5.3777,4.2394
119,5.3658,4.2364
120,5.3640,4.2328
121,5.3728,4.2382
122,5.3568,4.2340
123,5.3796,4.2350
124,5.3923,4.2344
125,5.3683,4.2320
126,5.3692,4.2322
127,5.3613,4.2316
128,5.3567,4.2286
129,5.3642,4.2282
130,5.3536,4.2243
131,5.3515,4.2287
132,5.3416,4.2241
133,5.3323,4.2262
134,5.3229,4.2213
135,5.3591,4.2224
136,5.3674,4.2237
137,5.3306,4.2188
138,5.3510,4.2228
139,5.3326,4.2206
140,5.3285,4.2162
141,5.3350,4.2159
142,5.3399,4.2181
143,5.3121,4.2148
144,5.3355,4.2154
145,5.3460,4.2120
146,5.3069,4.2142
147,5.3389,4.2164
148,5.3196,4.2116
149,5.3001,4.2113
150,5.3086,4.2102
151,5.3230,4.2095
152,5.3138,4.2082
153,5.3083,4.2083
154,5.3294,4.2103
155,5.3267,4.2061
156,5.2814,4.2084
157,5.3196,4.2044
158,5.2932,4.2010
159,5.3232,4.2002
160,5.2940,4.2003
161,5.2916,4.2009
162,5.3189,4.2051
163,5.2901,4.1985
164,5.2890,4.1996
165,5.2911,4.1971
166,5.3012,4.1998
167,5.3079,4.1967
168,5.3017,4.1974
169,5.3115,4.1959
170,5.2981,4.1928
171,5.3039,4.1970
172,5.2745,4.1918
173,5.2897,4.2012
174,5.2878,4.1924
175,5.2758,4.1920
176,5.2775,4.1930
177,5.2777,4.1903
178,5.2931,4.1954
179,5.3027,4.1954
180,5.2606,4.1899
181,5.2662,4.1881
182,5.2766,4.1871
183,5.2492,4.1879
184,5.2688,4.1871
