epoch,spent_eps,train_loss,val_loss
1,0.1010,2.2741,2.1703
2,0.1010,2.2495,2.1321
3,0.1010,2.2124,2.1186
4,0.1011,2.1906,2.0712
5,0.1011,2.1654,2.0677
6,0.1012,2.1478,2.0432
7,0.1013,2.1186,2.0298
8,0.1014,2.1290,2.0181
9,0.1014,2.0991,1.9799
10,0.1015,2.0699,1.9512
11,0.1017,2.0425,1.9345
12,0.1018,2.0263,1.9266
13,0.1019,2.0211,1.9129
14,0.1021,2.0112,1.8856
15,0.1022,1.9848,1.8756
16,0.1024,1.9534,1.8489
17,0.1025,1.9413,1.8339
18,0.1027,1.9422,1.8322
19,0.1029,1.9193,1.8046
20,0.1031,1.8834,1.7672
21,0.1033,1.8618,1.7366
22,0.1036,1.8221,1.7133
23,0.1038,1.8064,1.6919
24,0.1041,1.7958,1.6865
25,0.1043,1.7922,1.6879
26,0.1046,1.7797,1.6521
27,0.1049,1.7487,1.6586
28,0.1051,1.7621,1.6364
29,0.1054,1.7389,1.6275
30,0.1057,1.7265,1.6289
31,0.1061,1.7221,1.6140
32,0.1064,1.7075,1.5984
33,0.1067,1.6973,1.6018
34,0.1071,1.6889,1.5758
35,0.1074,1.6710,1.5625
36,0.1078,1.6652,1.5578
37,0.1082,1.6648,1.5660
38,0.1086,1.6593,1.5433
39,0.1090,1.6400,1.5408
40,0.1094,1.6386,1.5202
41,0.1098,1.6170,1.5020
42,0.1102,1.5991,1.4932
43,0.1107,1.5938,1.4838
44,0.1111,1.5909,1.4763
45,0.1116,1.5781,1.4711
46,0.1121,1.5659,1.4400
47,0.1125,1.5431,1.4313
48,0.1130,1.5318,1.4179
49,0.1135,1.5405,1.4285
50,0.1140,1.5464,1.4348
51,0.1146,1.5378,1.4190
52,0.1151,1.5296,1.4295
53,0.1156,1.5432,1.4306
54,0.1162,1.5318,1.4145
55,0.1168,1.5231,1.4161
56,0.1173,1.5200,1.4095
57,0.1179,1.5122,1.3977
58,0.1185,1.5005,1.3821
59,0.1191,1.4911,1.3676
60,0.1197,1.4782,1.3568
61,0.1203,1.4608,1.3407
62,0.1210,1.4421,1.3206
63,0.1216,1.4234,1.3070
64,0.1223,1.4161,1.3032
65,0.1230,1.4106,1.2958
66,0.1236,1.4153,1.2937
67,0.1243,1.4047,1.2899
68,0.1250,1.4133,1.2957
69,0.1257,1.4026,1.2937
70,0.1264,1.4092,1.2986
71,0.1272,1.3980,1.2728
72,0.1279,1.3863,1.2842
73,0.1286,1.3885,1.2654
74,0.1294,1.3736,1.2548
75,0.1302,1.3710,1.2454
76,0.1309,1.3620,1.2389
77,0.1317,1.3532,1.2302
78,0.1325,1.3371,1.2017
79,0.1333,1.3174,1.1905
80,0.1342,1.3049,1.1767
81,0.1350,1.2996,1.1714
82,0.1358,1.2880,1.1637
83,0.1367,1.2837,1.1642
84,0.1375,1.2831,1.1595
85,0.1384,1.2902,1.1663
86,0.1393,1.2772,1.1489
87,0.1402,1.2743,1.1457
88,0.1411,1.2645,1.1344
89,0.1420,1.2616,1.1269
90,0.1429,1.2596,1.1260
91,0.1439,1.2448,1.1105
92,0.1448,1.2309,1.0990
93,0.1457,1.2179,1.0920
94,0.1467,1.2096,1.0721
95,0.1477,1.1903,1.0600
96,0.1487,1.1752,1.0446
97,0.1497,1.1727,1.0413
98,0.1507,1.1655,1.0313
99,0.1517,1.1563,1.0239
100,0.1527,1.1538,1.0177
101,0.1537,1.1443,1.0108
102,0.1548,1.1404,1.0074
103,0.1558,1.1404,1.0120
104,0.1569,1.1362,1.0029
105,0.1580,1.1367,1.0001
106,0.1591,1.1262,0.9925
107,0.1602,1.1217,0.9921
108,0.1613,1.1257,0.9974
109,0.1624,1.1281,0.9977
110,0.1635,1.1248,0.9829
111,0.1646,1.1109,0.9734
112,0.1658,1.1001,0.9551
113,0.1669,1.0826,0.9476
114,0.1681,1.0826,0.9470
115,0.1693,1.0814,0.9444
116,0.1705,1.0716,0.9340
117,0.1717,1.0604,0.9148
118,0.1729,1.0433,0.9131
119,0.1741,1.0411,0.9002
120,0.1753,1.0421,0.9139
121,0.1766,1.0402,0.9021
122,0.1778,1.0320,0.8948
123,0.1791,1.0223,0.8812
124,0.1804,1.0172,0.8782
125,0.1816,1.0183,0.8726
126,0.1829,1.0063,0.8631
127,0.1842,0.9958,0.8560
128,0.1855,0.9862,0.8444
129,0.1869,0.9863,0.8511
130,0.1882,0.9818,0.8338
131,0.1895,0.9721,0.8335
132,0.1909,0.9725,0.8284
133,0.1922,0.9686,0.8288
134,0.1936,0.9670,0.8201
135,0.1950,0.9599,0.8138
136,0.1964,0.9510,0.8103
137,0.1978,0.9454,0.7991
138,0.1992,0.9444,0.7981
139,0.2006,0.9433,0.8016
140,0.2021,0.9466,0.7941
141,0.2035,0.9352,0.7862
142,0.2050,0.9320,0.7834
143,0.2064,0.9276,0.7810
144,0.2079,0.9145,0.7717
145,0.2094,0.9089,0.7619
146,0.2109,0.9049,0.7593
147,0.2124,0.9007,0.7509
148,0.2139,0.9003,0.7456
149,0.2154,0.8899,0.7383
150,0.2170,0.8835,0.7331
151,0.2185,0.8750,0.7236
152,0.2201,0.8726,0.7169
153,0.2216,0.8611,0.7121
154,0.2232,0.8601,0.7118
155,0.2247,0.8574,0.7061
156,0.2263,0.8536,0.7020
157,0.2278,0.8524,0.7042
158,0.2294,0.8524,0.7011
159,0.2310,0.8492,0.7006
160,0.2325,0.8450,0.6972
161,0.2341,0.8465,0.6952
162,0.2356,0.8355,0.6917
163,0.2372,0.8346,0.6875
164,0.2388,0.8319,0.6799
165,0.2403,0.8265,0.6791
166,0.2419,0.8251,0.6783
167,0.2434,0.8241,0.6744
168,0.2450,0.8198,0.6699
169,0.2466,0.8157,0.6665
170,0.2481,0.8122,0.6642
171,0.2497,0.8082,0.6610
172,0.2513,0.8088,0.6626
173,0.2528,0.8088,0.6566
174,0.2544,0.8059,0.6558
175,0.2560,0.8036,0.6544
176,0.2575,0.7993,0.6511
177,0.2591,0.7990,0.6480
178,0.2607,0.7940,0.6461
179,0.2622,0.7938,0.6449
180,0.2638,0.7909,0.6448
181,0.2654,0.7892,0.6418
182,0.2670,0.7870,0.6376
183,0.2685,0.7793,0.6399
184,0.2701,0.7788,0.6348
185,0.2717,0.7790,0.6315
186,0.2733,0.7745,0.6298
187,0.2748,0.7767,0.6315
188,0.2764,0.7765,0.6310
189,0.2780,0.7746,0.6259
190,0.2796,0.7707,0.6261
191,0.2811,0.7713,0.6224
192,0.2827,0.7699,0.6211
193,0.2843,0.7687,0.6222
194,0.2859,0.7657,0.6199
195,0.2875,0.7701,0.6167
196,0.2891,0.7634,0.6135
197,0.2906,0.7645,0.6150
198,0.2922,0.7619,0.6128
199,0.2938,0.7618,0.6099
