epoch,train_loss,val_loss
1,22.9683,20.4312
2,19.0989,16.1331
3,15.7305,13.2243
4,13.9454,12.0350
5,13.1347,11.5415
6,12.6890,11.2698
7,12.3634,11.0784
8,12.0922,10.9290
9,11.9113,10.7965
10,11.6977,10.6787
11,11.5402,10.5666
12,11.4000,10.4588
13,11.2650,10.3531
14,11.1515,10.2512
15,11.0452,10.1494
16,10.9174,10.0505
17,10.8015,9.9514
18,10.7017,9.8536
19,10.5973,9.7570
20,10.5178,9.6614
21,10.3933,9.5672
22,10.3150,9.4735
23,10.2137,9.3821
24,10.1231,9.2915
25,10.0369,9.2022
26,9.9539,9.1142
27,9.8739,9.0277
28,9.7797,8.9430
29,9.6974,8.8601
30,9.6257,8.7787
31,9.5530,8.6989
32,9.4784,8.6211
33,9.4254,8.5459
34,9.3348,8.4703
35,9.2890,8.3979
36,9.2181,8.3266
37,9.1455,8.2564
38,9.0733,8.1868
39,9.0203,8.1183
40,8.9716,8.0523
41,8.8967,7.9863
42,8.8449,7.9224
43,8.7693,7.8578
44,8.7266,7.7956
45,8.6716,7.7349
46,8.6269,7.6752
47,8.5571,7.6158
48,8.4996,7.5575
49,8.4578,7.5002
50,8.4273,7.4439
51,8.3633,7.3891
52,8.3010,7.3339
53,8.2833,7.2808
54,8.2026,7.2279
55,8.1697,7.1757
56,8.1229,7.1243
57,8.0705,7.0735
58,8.0428,7.0242
59,7.9991,6.9747
60,7.9535,6.9267
61,7.9314,6.8798
62,7.8655,6.8331
63,7.8490,6.7874
64,7.8013,6.7424
65,7.7533,6.6986
66,7.7229,6.6545
67,7.6910,6.6120
68,7.6578,6.5702
69,7.5963,6.5274
70,7.5765,6.4864
71,7.5510,6.4465
72,7.5270,6.4076
73,7.4609,6.3675
74,7.4259,6.3285
75,7.4205,6.2914
76,7.3768,6.2545
77,7.3545,6.2183
78,7.3115,6.1820
79,7.2869,6.1468
80,7.2455,6.1121
81,7.2273,6.0777
82,7.1970,6.0440
83,7.1669,6.0098
84,7.1498,5.9778
85,7.1088,5.9455
86,7.0961,5.9146
87,7.0599,5.8836
88,7.0565,5.8532
89,7.0203,5.8232
90,6.9943,5.7936
91,6.9588,5.7650
92,6.9650,5.7369
93,6.9327,5.7095
94,6.9024,5.6824
95,6.8541,5.6543
96,6.8594,5.6274
97,6.8299,5.6005
98,6.8128,5.5747
99,6.7893,5.5488
100,6.7770,5.5241
101,6.7431,5.4988
102,6.7332,5.4743
103,6.6964,5.4502
104,6.6873,5.4267
105,6.6782,5.4036
106,6.6405,5.3804
107,6.6107,5.3577
108,6.6084,5.3349
109,6.5935,5.3132
110,6.5838,5.2918
111,6.5668,5.2704
112,6.5299,5.2486
113,6.5173,5.2276
114,6.5115,5.2075
115,6.4910,5.1874
116,6.4698,5.1669
117,6.4609,5.1477
118,6.4426,5.1280
119,6.4231,5.1088
120,6.4243,5.0906
121,6.3902,5.0721
122,6.3783,5.0535
123,6.3910,5.0360
124,6.3486,5.0181
125,6.3623,5.0012
126,6.3198,4.9832
127,6.3251,4.9668
128,6.3012,4.9497
129,6.2819,4.9333
130,6.2636,4.9166
131,6.2811,4.9008
132,6.2341,4.8849
133,6.2363,4.8696
134,6.2229,4.8540
135,6.1929,4.8376
136,6.2154,4.8230
137,6.1762,4.8074
138,6.1677,4.7924
139,6.1820,4.7774
140,6.1595,4.7633
141,6.1649,4.7498
142,6.1211,4.7356
143,6.1362,4.7217
144,6.1074,4.7074
145,6.0808,4.6938
146,6.0880,4.6807
147,6.0849,4.6679
148,6.0428,4.6549
149,6.0311,4.6419
150,6.0498,4.6298
151,6.0336,4.6169
152,6.0101,4.6042
153,6.0384,4.5927
154,6.0085,4.5808
155,5.9852,4.5685
156,5.9899,4.5572
157,5.9814,4.5458
158,5.9823,4.5343
159,5.9493,4.5232
160,5.9470,4.5116
161,5.9228,4.4996
162,5.9069,4.4883
163,5.9255,4.4778
164,5.8972,4.4667
165,5.9061,4.4563
166,5.8806,4.4455
167,5.8945,4.4357
168,5.8781,4.4259
169,5.8532,4.4153
170,5.8567,4.4052
171,5.8556,4.3947
172,5.8451,4.3853
173,5.8345,4.3756
174,5.8175,4.3660
175,5.8048,4.3569
176,5.7982,4.3471
177,5.8293,4.3378
178,5.7734,4.3283
179,5.7735,4.3189
180,5.7693,4.3102
181,5.7802,4.3020
182,5.7565,4.2934
183,5.7823,4.2852
184,5.7564,4.2773
185,5.7442,4.2684
186,5.7464,4.2602
187,5.7658,4.2527
188,5.7344,4.2446
189,5.7162,4.2360
190,5.7129,4.2281
191,5.6986,4.2206
192,5.7266,4.2133
193,5.6962,4.2057
194,5.6906,4.1981
195,5.6960,4.1908
196,5.6669,4.1834
197,5.6812,4.1766
198,5.6675,4.1692
199,5.6538,4.1620
200,5.6619,4.1551
201,5.6301,4.1479
202,5.6395,4.1407
203,5.6101,4.1336
204,5.6205,4.1266
205,5.6116,4.1199
206,5.6189,4.1129
207,5.6231,4.1067
208,5.5912,4.1001
209,5.5907,4.0938
210,5.6170,4.0880
211,5.5939,4.0817
212,5.5961,4.0758
213,5.5712,4.0692
214,5.5567,4.0629
215,5.5731,4.0568
216,5.5657,4.0509
217,5.5561,4.0456
218,5.5601,4.0403
219,5.5416,4.0345
220,5.5122,4.0279
221,5.5620,4.0231
222,5.5303,4.0171
223,5.5301,4.0116
224,5.5614,4.0068
225,5.5528,4.0014
226,5.5072,3.9962
227,5.5086,3.9908
228,5.5135,3.9856
229,5.5119,3.9800
230,5.5127,3.9746
231,5.5280,3.9698
232,5.5022,3.9645
233,5.5029,3.9594
234,5.5021,3.9548
235,5.4767,3.9492
236,5.4724,3.9440
237,5.4894,3.9394
238,5.4504,3.9344
239,5.4823,3.9301
240,5.4473,3.9247
241,5.4497,3.9197
242,5.4521,3.9153
243,5.4452,3.9107
244,5.4672,3.9064
245,5.4445,3.9019
246,5.4451,3.8977
247,5.4325,3.8933
248,5.4398,3.8889
249,5.4273,3.8846
250,5.4324,3.8800
251,5.4036,3.8753
252,5.4225,3.8706
253,5.3962,3.8668
254,5.4224,3.8623
255,5.4087,3.8576
256,5.3904,3.8534
257,5.4082,3.8490
258,5.3847,3.8450
259,5.3835,3.8404
260,5.4104,3.8367
261,5.3897,3.8326
262,5.3780,3.8289
263,5.3576,3.8245
264,5.3521,3.8207
265,5.3743,3.8167
266,5.3672,3.8130
267,5.3725,3.8092
268,5.3530,3.8055
269,5.3703,3.8023
270,5.3517,3.7986
271,5.3693,3.7952
272,5.3634,3.7920
273,5.3175,3.7875
274,5.3356,3.7838
275,5.3104,3.7804
276,5.3474,3.7768
277,5.3649,3.7740
278,5.3608,3.7705
279,5.3250,3.7669
280,5.3282,3.7635
281,5.3279,3.7600
282,5.3209,3.7570
283,5.3106,3.7534
284,5.3332,3.7502
285,5.3217,3.7469
286,5.3118,3.7437
287,5.3281,3.7411
288,5.3070,3.7382
289,5.3161,3.7349
290,5.2857,3.7315
291,5.2796,3.7283
292,5.2836,3.7244
293,5.2648,3.7215
294,5.2861,3.7183
295,5.3012,3.7155
296,5.2690,3.7124
297,5.2516,3.7092
298,5.2705,3.7063
299,5.2454,3.7030
300,5.2807,3.7003
301,5.2618,3.6969
302,5.2398,3.6938
303,5.2585,3.6910
304,5.2516,3.6882
305,5.2629,3.6859
306,5.2453,3.6829
307,5.2651,3.6802
308,5.2583,3.6775
309,5.2541,3.6743
310,5.2176,3.6712
311,5.2411,3.6686
312,5.2503,3.6661
313,5.2502,3.6636
314,5.2474,3.6607
315,5.2334,3.6582
316,5.2434,3.6555
317,5.2448,3.6534
318,5.2248,3.6506
319,5.2250,3.6481
320,5.2029,3.6454
321,5.2070,3.6428
322,5.2276,3.6400
323,5.2189,3.6380
324,5.2199,3.6353
325,5.1832,3.6322
326,5.2061,3.6300
327,5.2084,3.6278
328,5.2088,3.6256
329,5.2272,3.6232
330,5.2011,3.6211
331,5.1973,3.6186
332,5.1869,3.6166
333,5.2051,3.6145
334,5.1948,3.6123
335,5.1521,3.6098
336,5.1734,3.6075
337,5.1840,3.6052
338,5.1770,3.6028
339,5.1890,3.5997
340,5.1753,3.5977
341,5.1633,3.5956
342,5.1766,3.5932
343,5.1693,3.5911
344,5.1835,3.5890
345,5.1667,3.5867
346,5.1675,3.5849
347,5.1907,3.5830
348,5.1690,3.5809
349,5.1551,3.5783
350,5.1704,3.5767
351,5.1599,3.5745
352,5.1216,3.5714
353,5.1642,3.5697
354,5.1589,3.5678
355,5.1428,3.5656
356,5.1557,3.5638
357,5.1583,3.5619
358,5.1229,3.5596
359,5.1669,3.5582
360,5.1575,3.5567
361,5.1585,3.5544
362,5.1525,3.5526
363,5.1345,3.5507
364,5.1206,3.5483
365,5.1261,3.5463
366,5.1363,3.5446
367,5.1300,3.5425
368,5.1431,3.5407
369,5.1514,3.5390
370,5.1330,3.5370
371,5.1327,3.5347
372,5.1341,3.5334
373,5.1133,3.5313
374,5.0952,3.5292
375,5.1184,3.5278
376,5.1028,3.5259
377,5.1069,3.5234
378,5.1065,3.5220
379,5.0705,3.5203
380,5.1341,3.5190
381,5.1028,3.5174
382,5.0778,3.5155
383,5.0943,3.5137
384,5.0869,3.5117
385,5.1045,3.5102
386,5.0952,3.5083
387,5.0977,3.5072
388,5.0625,3.5050
389,5.0927,3.5029
390,5.0868,3.5010
391,5.0807,3.4994
392,5.0893,3.4978
393,5.1081,3.4961
394,5.1008,3.4945
395,5.0823,3.4925
396,5.0912,3.4914
397,5.0862,3.4901
398,5.0607,3.4882
399,5.0591,3.4868
400,5.0697,3.4851
401,5.0884,3.4839
402,5.0659,3.4827
403,5.0921,3.4812
404,5.0829,3.4798
405,5.0463,3.4782
406,5.0846,3.4770
407,5.0576,3.4758
408,5.0769,3.4739
409,5.0672,3.4726
410,5.0546,3.4705
411,5.0650,3.4691
412,5.0655,3.4678
413,5.0492,3.4660
414,5.0871,3.4652
415,5.0446,3.4639
416,5.0364,3.4626
417,5.0893,3.4612
418,5.0700,3.4601
419,5.0558,3.4591
420,5.0454,3.4574
421,5.0483,3.4555
422,5.0625,3.4547
423,5.0451,3.4532
424,5.0301,3.4516
425,5.0457,3.4503
426,5.0613,3.4489
427,5.0303,3.4469
428,5.0178,3.4455
429,5.0582,3.4444
430,5.0167,3.4428
431,5.0274,3.4416
432,5.0591,3.4407
433,5.0451,3.4390
434,5.0194,3.4381
435,5.0409,3.4371
436,5.0188,3.4361
437,5.0342,3.4349
438,5.0245,3.4335
439,5.0293,3.4322
440,5.0283,3.4312
441,5.0130,3.4303
442,5.0199,3.4295
443,5.0286,3.4279
444,5.0131,3.4264
445,5.0063,3.4251
446,5.0388,3.4240
447,4.9921,3.4221
448,5.0121,3.4207
449,5.0286,3.4196
450,5.0310,3.4191
451,5.0145,3.4179
452,5.0134,3.4165
453,5.0033,3.4154
454,5.0132,3.4145
455,4.9988,3.4128
456,5.0087,3.4119
457,4.9877,3.4105
458,4.9752,3.4087
459,5.0251,3.4082
460,4.9817,3.4070
461,4.9901,3.4057
462,5.0222,3.4044
463,5.0172,3.4037
464,5.0085,3.4030
465,4.9860,3.4018
466,4.9984,3.4009
467,5.0004,3.3995
468,4.9840,3.3980
469,4.9672,3.3967
470,5.0038,3.3961
471,4.9827,3.3949
472,4.9821,3.3939
473,4.9886,3.3928
