epoch,spent_eps,train_loss,val_loss
1,0.1011,3.9082,3.1017
2,0.1014,3.4149,2.6613
3,0.1019,3.0483,2.3772
4,0.1025,2.7789,2.1960
5,0.1033,2.6216,2.0597
6,0.1042,2.4588,1.9090
7,0.1053,2.3314,1.7910
8,0.1065,2.2257,1.7031
9,0.1079,2.1324,1.6388
10,0.1094,2.0686,1.5893
11,0.1111,2.0058,1.5456
12,0.1129,1.9556,1.4969
13,0.1149,1.9151,1.4631
14,0.1171,1.8692,1.4277
15,0.1194,1.8413,1.3995
16,0.1218,1.8053,1.3810
17,0.1245,1.7888,1.3699
18,0.1272,1.7681,1.3514
19,0.1301,1.7399,1.3364
20,0.1332,1.7272,1.3247
21,0.1364,1.7098,1.3127
22,0.1398,1.6880,1.3035
23,0.1433,1.6796,1.2914
24,0.1470,1.6581,1.2779
25,0.1508,1.6439,1.2699
26,0.1548,1.6331,1.2629
27,0.1590,1.6178,1.2546
28,0.1633,1.6083,1.2514
29,0.1677,1.5881,1.2429
30,0.1723,1.5755,1.2371
31,0.1771,1.5638,1.2306
32,0.1820,1.5562,1.2270
33,0.1871,1.5470,1.2204
34,0.1923,1.5369,1.2170
35,0.1976,1.5326,1.2121
36,0.2032,1.5192,1.2066
37,0.2088,1.5084,1.2020
38,0.2147,1.5017,1.1982
39,0.2205,1.4944,1.1944
40,0.2264,1.4792,1.1907
41,0.2322,1.4768,1.1864
42,0.2381,1.4706,1.1824
43,0.2440,1.4640,1.1796
44,0.2499,1.4530,1.1762
45,0.2559,1.4496,1.1735
46,0.2618,1.4429,1.1706
47,0.2677,1.4345,1.1667
48,0.2737,1.4284,1.1625
49,0.2796,1.4240,1.1572
50,0.2856,1.4128,1.1541
51,0.2916,1.4077,1.1499
52,0.2975,1.4012,1.1479
53,0.3035,1.3933,1.1444
54,0.3095,1.3899,1.1429
55,0.3155,1.3843,1.1413
56,0.3216,1.3770,1.1387
57,0.3276,1.3742,1.1371
58,0.3336,1.3695,1.1342
59,0.3397,1.3670,1.1325
60,0.3457,1.3635,1.1292
61,0.3518,1.3554,1.1276
62,0.3578,1.3539,1.1250
63,0.3639,1.3487,1.1217
64,0.3700,1.3435,1.1196
65,0.3761,1.3373,1.1173
66,0.3822,1.3359,1.1152
67,0.3883,1.3275,1.1139
68,0.3944,1.3311,1.1114
69,0.4005,1.3222,1.1089
70,0.4066,1.3237,1.1064
71,0.4128,1.3178,1.1047
72,0.4189,1.3133,1.1043
73,0.4250,1.3085,1.1023
74,0.4312,1.3074,1.1001
75,0.4374,1.2987,1.0990
76,0.4435,1.2933,1.0969
77,0.4497,1.2942,1.0948
78,0.4559,1.2882,1.0937
79,0.4621,1.2853,1.0909
80,0.4683,1.2792,1.0902
81,0.4744,1.2795,1.0889
82,0.4807,1.2801,1.0871
83,0.4869,1.2727,1.0858
84,0.4931,1.2683,1.0837
85,0.4993,1.2669,1.0822
86,0.5055,1.2675,1.0806
87,0.5118,1.2645,1.0790
88,0.5180,1.2593,1.0774
89,0.5243,1.2533,1.0763
90,0.5305,1.2547,1.0751
91,0.5368,1.2528,1.0744
92,0.5431,1.2477,1.0733
93,0.5493,1.2465,1.0732
94,0.5556,1.2447,1.0705
95,0.5619,1.2407,1.0690
96,0.5682,1.2418,1.0676
97,0.5745,1.2384,1.0654
98,0.5808,1.2375,1.0640
99,0.5871,1.2331,1.0622
100,0.5934,1.2304,1.0609
101,0.5997,1.2266,1.0599
102,0.6060,1.2256,1.0585
103,0.6123,1.2216,1.0562
104,0.6187,1.2204,1.0542
105,0.6250,1.2175,1.0536
106,0.6314,1.2145,1.0526
107,0.6377,1.2144,1.0516
108,0.6441,1.2152,1.0504
109,0.6504,1.2103,1.0493
110,0.6568,1.2120,1.0484
111,0.6632,1.2017,1.0480
112,0.6695,1.2058,1.0466
113,0.6759,1.2031,1.0450
114,0.6823,1.2004,1.0439
115,0.6887,1.1992,1.0423
116,0.6951,1.1986,1.0413
117,0.7016,1.1940,1.0405
118,0.7079,1.1931,1.0390
119,0.7143,1.1934,1.0380
120,0.7208,1.1895,1.0373
121,0.7272,1.1902,1.0359
122,0.7336,1.1872,1.0353
123,0.7400,1.1857,1.0341
124,0.7465,1.1832,1.0334
125,0.7529,1.1821,1.0324
126,0.7593,1.1810,1.0322
127,0.7658,1.1792,1.0312
128,0.7723,1.1747,1.0303
129,0.7788,1.1746,1.0302
130,0.7852,1.1733,1.0289
131,0.7916,1.1696,1.0284
132,0.7981,1.1703,1.0273
133,0.8047,1.1707,1.0261
134,0.8111,1.1661,1.0249
135,0.8176,1.1671,1.0245
136,0.8240,1.1629,1.0229
137,0.8306,1.1632,1.0219
138,0.8371,1.1625,1.0209
139,0.8436,1.1583,1.0202
140,0.8501,1.1570,1.0193
141,0.8566,1.1578,1.0185
142,0.8632,1.1538,1.0180
143,0.8697,1.1522,1.0164
144,0.8762,1.1515,1.0160
145,0.8827,1.1508,1.0151
146,0.8892,1.1500,1.0142
147,0.8958,1.1483,1.0139
148,0.9024,1.1486,1.0129
149,0.9089,1.1468,1.0120
150,0.9154,1.1443,1.0111
151,0.9220,1.1410,1.0104
152,0.9286,1.1398,1.0098
