epoch,spent_eps,train_loss,val_loss
1,0.1020,0.4153,0.2268
2,0.1039,0.2418,0.1779
3,0.1068,0.2007,0.1553
4,0.1107,0.1794,0.1425
5,0.1156,0.1662,0.1342
6,0.1214,0.1577,0.1282
7,0.1282,0.1522,0.1235
8,0.1360,0.1466,0.1195
9,0.1447,0.1394,0.1164
10,0.1544,0.1372,0.1136
11,0.1651,0.1349,0.1112
12,0.1768,0.1317,0.1093
13,0.1894,0.1281,0.1077
14,0.2030,0.1271,0.1062
15,0.2176,0.1251,0.1050
16,0.2324,0.1237,0.1039
17,0.2472,0.1210,0.1027
18,0.2621,0.1196,0.1016
19,0.2770,0.1178,0.1008
20,0.2920,0.1170,0.0998
21,0.3070,0.1163,0.0989
22,0.3220,0.1148,0.0978
23,0.3372,0.1139,0.0972
24,0.3523,0.1139,0.0966
25,0.3675,0.1126,0.0957
26,0.3827,0.1110,0.0951
27,0.3980,0.1101,0.0944
28,0.4133,0.1091,0.0940
29,0.4286,0.1091,0.0933
30,0.4440,0.1085,0.0929
31,0.4594,0.1066,0.0922
32,0.4749,0.1070,0.0919
33,0.4904,0.1058,0.0913
34,0.5059,0.1055,0.0908
35,0.5215,0.1045,0.0902
36,0.5370,0.1039,0.0899
37,0.5527,0.1031,0.0895
38,0.5684,0.1028,0.0891
39,0.5841,0.1032,0.0886
40,0.5998,0.1026,0.0882
41,0.6156,0.1016,0.0877
42,0.6313,0.1015,0.0875
43,0.6472,0.1007,0.0871
44,0.6631,0.1004,0.0867
45,0.6788,0.1003,0.0863
46,0.6948,0.0992,0.0859
47,0.7108,0.0995,0.0855
48,0.7268,0.0979,0.0852
49,0.7428,0.0981,0.0849
50,0.7587,0.0977,0.0845
51,0.7749,0.0974,0.0843
52,0.7911,0.0978,0.0840
53,0.8071,0.0967,0.0836
54,0.8233,0.0973,0.0833
55,0.8394,0.0960,0.0831
56,0.8557,0.0962,0.0826
57,0.8720,0.0947,0.0823
58,0.8883,0.0954,0.0820
59,0.9044,0.0956,0.0817
60,0.9207,0.0943,0.0815
61,0.9372,0.0937,0.0812
62,0.9535,0.0932,0.0809
63,0.9700,0.0932,0.0807
64,0.9865,0.0931,0.0804
65,1.0029,0.0930,0.0801
66,1.0192,0.0918,0.0800
67,1.0355,0.0920,0.0798
68,1.0520,0.0906,0.0795
69,1.0687,0.0918,0.0792
70,1.0856,0.0909,0.0789
71,1.1022,0.0909,0.0787
72,1.1190,0.0899,0.0784
73,1.1355,0.0901,0.0782
74,1.1521,0.0896,0.0780
75,1.1689,0.0901,0.0778
76,1.1853,0.0897,0.0775
77,1.2019,0.0892,0.0771
78,1.2186,0.0889,0.0771
79,1.2356,0.0889,0.0767
80,1.2528,0.0873,0.0764
81,1.2697,0.0885,0.0762
82,1.2866,0.0873,0.0759
83,1.3037,0.0881,0.0757
84,1.3203,0.0869,0.0753
85,1.3370,0.0866,0.0751
86,1.3539,0.0868,0.0748
87,1.3710,0.0869,0.0746
88,1.3883,0.0862,0.0744
89,1.4051,0.0857,0.0741
90,1.4220,0.0860,0.0738
91,1.4390,0.0861,0.0736
92,1.4563,0.0854,0.0734
93,1.4737,0.0848,0.0733
94,1.4913,0.0852,0.0731
95,1.5083,0.0848,0.0728
96,1.5254,0.0837,0.0726
97,1.5426,0.0841,0.0724
98,1.5601,0.0847,0.0723
99,1.5768,0.0842,0.0720
100,1.5937,0.0837,0.0718
101,1.6107,0.0832,0.0716
102,1.6279,0.0829,0.0715
103,1.6453,0.0827,0.0713
104,1.6629,0.0824,0.0711
105,1.6806,0.0817,0.0709
106,1.6985,0.0820,0.0707
107,1.7159,0.0817,0.0705
108,1.7332,0.0815,0.0703
109,1.7506,0.0816,0.0702
110,1.7682,0.0809,0.0700
111,1.7859,0.0811,0.0699
112,1.8038,0.0815,0.0698
113,1.8219,0.0810,0.0695
114,1.8391,0.0808,0.0696
115,1.8565,0.0807,0.0693
116,1.8740,0.0810,0.0693
117,1.8916,0.0807,0.0690
118,1.9094,0.0796,0.0689
119,1.9269,0.0797,0.0687
120,1.9439,0.0798,0.0686
121,1.9610,0.0793,0.0684
122,1.9782,0.0794,0.0683
123,1.9956,0.0793,0.0682
124,2.0131,0.0790,0.0681
125,2.0307,0.0795,0.0679
126,2.0485,0.0790,0.0678
127,2.0664,0.0785,0.0676
128,2.0845,0.0784,0.0676
129,2.1027,0.0782,0.0673
130,2.1211,0.0784,0.0672
131,2.1396,0.0781,0.0670
132,2.1582,0.0779,0.0669
133,2.1770,0.0776,0.0668
134,2.1951,0.0778,0.0667
135,2.2130,0.0769,0.0666
136,2.2310,0.0774,0.0665
137,2.2492,0.0776,0.0663
138,2.2675,0.0771,0.0662
139,2.2859,0.0769,0.0661
140,2.3044,0.0770,0.0660
141,2.3231,0.0770,0.0659
142,2.3409,0.0766,0.0657
143,2.3585,0.0765,0.0655
144,2.3763,0.0761,0.0654
145,2.3942,0.0764,0.0654
146,2.4122,0.0761,0.0653
147,2.4303,0.0762,0.0652
148,2.4486,0.0754,0.0651
149,2.4670,0.0748,0.0649
150,2.4855,0.0756,0.0647
