epoch,train_loss,val_loss
1,9.5459,8.8378
2,8.8631,8.3924
3,8.4966,8.1214
4,8.2601,7.9407
5,8.0926,7.8022
6,7.9479,7.6826
7,7.8132,7.5737
8,7.6900,7.4698
9,7.5777,7.3696
10,7.4655,7.2731
11,7.3598,7.1770
12,7.2563,7.0846
13,7.1559,6.9942
14,7.0601,6.9049
15,6.9630,6.8177
16,6.8711,6.7310
17,6.7814,6.6464
18,6.6918,6.5628
19,6.6054,6.4807
20,6.5186,6.3998
21,6.4344,6.3202
22,6.3523,6.2415
23,6.2714,6.1643
24,6.1905,6.0883
25,6.1137,6.0128
26,6.0366,5.9386
27,5.9602,5.8657
28,5.8851,5.7936
29,5.8112,5.7224
30,5.7401,5.6524
31,5.6686,5.5834
32,5.5985,5.5151
33,5.5303,5.4478
34,5.4613,5.3814
35,5.3924,5.3159
36,5.3273,5.2514
37,5.2613,5.1878
38,5.1955,5.1251
39,5.1331,5.0632
40,5.0719,5.0020
41,5.0091,4.9415
42,4.9484,4.8819
43,4.8890,4.8231
44,4.8283,4.7651
45,4.7705,4.7078
46,4.7128,4.6513
47,4.6553,4.5955
48,4.6000,4.5404
49,4.5443,4.4860
50,4.4894,4.4323
51,4.4353,4.3794
52,4.3819,4.3271
53,4.3296,4.2754
54,4.2773,4.2244
55,4.2264,4.1741
56,4.1765,4.1245
57,4.1254,4.0755
58,4.0774,4.0271
59,4.0296,3.9793
60,3.9810,3.9322
61,3.9337,3.8857
62,3.8875,3.8397
63,3.8403,3.7944
64,3.7954,3.7495
65,3.7509,3.7053
66,3.7064,3.6616
67,3.6631,3.6185
68,3.6188,3.5759
69,3.5771,3.5339
70,3.5344,3.4924
71,3.4935,3.4514
72,3.4533,3.4109
73,3.4121,3.3710
74,3.3727,3.3315
75,3.3322,3.2926
76,3.2938,3.2542
77,3.2556,3.2163
78,3.2175,3.1789
79,3.1797,3.1419
80,3.1429,3.1054
81,3.1063,3.0694
82,3.0701,3.0338
83,3.0345,2.9987
84,3.0000,2.9640
85,2.9654,2.9297
86,2.9308,2.8958
87,2.8973,2.8625
88,2.8635,2.8295
89,2.8304,2.7969
90,2.7984,2.7648
91,2.7660,2.7331
92,2.7345,2.7017
93,2.7028,2.6708
94,2.6719,2.6403
95,2.6420,2.6101
96,2.6115,2.5803
97,2.5821,2.5509
98,2.5524,2.5219
99,2.5241,2.4932
100,2.4949,2.4649
101,2.4671,2.4370
102,2.4392,2.4094
103,2.4115,2.3821
104,2.3845,2.3553
105,2.3579,2.3287
106,2.3310,2.3025
107,2.3055,2.2766
108,2.2793,2.2511
109,2.2537,2.2259
110,2.2284,2.2010
111,2.2044,2.1764
112,2.1797,2.1521
113,2.1551,2.1281
114,2.1308,2.1045
115,2.1075,2.0811
116,2.0840,2.0580
117,2.0609,2.0353
118,2.0384,2.0128
119,2.0161,1.9906
120,1.9937,1.9687
121,1.9718,1.9470
122,1.9506,1.9256
123,1.9286,1.9045
124,1.9079,1.8837
125,1.8873,1.8631
126,1.8673,1.8428
127,1.8463,1.8228
128,1.8257,1.8030
129,1.8065,1.7834
130,1.7872,1.7641
131,1.7677,1.7451
132,1.7493,1.7263
133,1.7300,1.7077
134,1.7113,1.6894
135,1.6927,1.6713
136,1.6760,1.6534
137,1.6570,1.6357
138,1.6400,1.6183
139,1.6220,1.6011
140,1.6062,1.5841
141,1.5879,1.5673
142,1.5713,1.5508
143,1.5549,1.5344
144,1.5387,1.5183
145,1.5226,1.5023
146,1.5060,1.4866
147,1.4911,1.4711
148,1.4759,1.4557
149,1.4600,1.4406
150,1.4447,1.4256
151,1.4299,1.4108
152,1.4158,1.3963
153,1.4008,1.3818
154,1.3868,1.3676
155,1.3716,1.3536
156,1.3582,1.3397
157,1.3446,1.3260
158,1.3310,1.3125
159,1.3172,1.2992
160,1.3042,1.2860
161,1.2911,1.2730
162,1.2781,1.2601
163,1.2647,1.2474
164,1.2525,1.2349
165,1.2399,1.2225
166,1.2282,1.2103
167,1.2155,1.1982
168,1.2028,1.1863
169,1.1915,1.1746
170,1.1793,1.1630
171,1.1684,1.1515
172,1.1562,1.1402
173,1.1450,1.1290
174,1.1345,1.1179
175,1.1230,1.1070
176,1.1122,1.0963
177,1.1012,1.0856
178,1.0907,1.0751
179,1.0805,1.0648
180,1.0698,1.0545
181,1.0598,1.0444
182,1.0498,1.0345
183,1.0394,1.0246
184,1.0302,1.0149
185,1.0203,1.0053
186,1.0107,0.9958
187,1.0012,0.9864
188,0.9916,0.9772
189,0.9828,0.9681
190,0.9740,0.9590
191,0.9646,0.9501
192,0.9551,0.9413
193,0.9471,0.9327
194,0.9381,0.9241
195,0.9299,0.9156
196,0.9219,0.9073
197,0.9134,0.8990
198,0.9048,0.8909
199,0.8962,0.8828
200,0.8886,0.8749
201,0.8810,0.8670
202,0.8729,0.8592
203,0.8643,0.8516
204,0.8574,0.8441
205,0.8499,0.8366
206,0.8424,0.8292
207,0.8346,0.8219
208,0.8274,0.8148
209,0.8207,0.8077
210,0.8136,0.8007
211,0.8065,0.7938
212,0.7999,0.7869
213,0.7926,0.7801
214,0.7857,0.7735
215,0.7791,0.7669
216,0.7732,0.7604
217,0.7659,0.7540
218,0.7601,0.7477
219,0.7538,0.7414
220,0.7473,0.7352
221,0.7413,0.7291
222,0.7355,0.7231
223,0.7293,0.7172
