hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,recall
"(64, 32)",91,0.27635394201074476,0.07753202481238185,0.04916278144991648,0.7794677063882551,0.48503253796095447
"(64,)",101,0.055980305052153824,0.052081404532896294,0.06276896923282792,0.32450259159278205,0.5401301518438177
"(64,)",108,0.23756095986960954,0.07054336141496405,0.044081692088601236,0.08455903159445718,0.5496746203904556
"(64, 32)",91,0.11911219909617839,0.05936678214338739,0.07405560943440534,0.3580134609714038,0.4793926247288503
"(64,)",106,0.1495205707200266,0.03876103001458289,0.09880072912301509,0.765463958292609,0.46767895878524945
"(64,)",97,0.04639130813228405,0.030943731406649702,0.013460484104821119,0.8845067109993505,0.5449023861171367
"(64,)",108,0.16375329316767362,0.08719601937643993,0.03449889583224362,0.7129703591379158,0.5088937093275488
"(64,)",106,0.17552193233512522,0.049919678861883685,0.042421109235230306,0.08622924987607894,0.5470715835140998
"(64,)",95,0.3862950824975082,0.08392713034384586,0.0633018774791848,0.001,0.5331887201735358
"(64,)",121,0.4,0.1,0.055063965652403464,0.12238332557707175,0.5323210412147505
"(64,)",99,0.2451982614893889,0.03017300155939334,0.004490206600401485,0.8444297951581695,0.545770065075922
"(64,)",87,0.15849032890435036,0.032951229545559145,0.0001,0.8122706918667361,0.5700650759219089
"(64,)",64,0.003085384984048447,0.09368433134896557,0.0001,0.9704350301812839,0.5436008676789588
"(64,)",76,0.04753387524136413,0.08524134543622232,0.0001,0.4155293478382852,0.5592190889370933
"(64,)",92,0.01353885055246156,0.027763230746611342,0.0001,0.4343923778608653,0.5830802603036876
"(64, 32)",128,0.07434700692664323,0.06674389293578238,0.0001,0.001,0.5600867678958785
"(64,)",64,0.4,0.02,0.0001,0.001,0.5414316702819957
"(64, 32)",68,0.0,0.02,0.0001,0.5344248328023494,0.5921908893709328
"(64, 32)",120,0.0,0.02,0.0001,0.999,0.6368763557483731
"(64, 32)",128,0.0,0.1,0.0001,0.999,0.6407809110629067
"(64, 32)",128,0.4,0.02,0.0001,0.999,0.5587852494577007
"(64, 32)",128,0.0,0.02,0.0001,0.7678928456322652,0.5626898047722343
"(64, 32)",128,0.0,0.024732153501463013,0.0001,0.3851529714102984,0.5370932754880694
"(64, 32)",128,0.0,0.04193922894275422,0.016311484002869834,0.999,0.5678958785249457
"(64,)",128,0.0,0.07338782149265781,0.0001,0.999,0.6642082429501085
"(64,)",128,0.0,0.03458988228917076,0.1,0.001,0.5375271149674621
"(64,)",128,0.07420995946926015,0.08543975168428648,0.0001,0.999,0.6793926247288503
"(64, 32)",128,0.4,0.028825324189790835,0.01613261817949363,0.001,0.5097613882863341
"(64,)",75,0.3703710500410484,0.04097624146898972,0.1,0.001,0.5171366594360087
"(64, 32)",64,0.0009476229646509032,0.05159400289839068,0.03703745419706477,0.3479250999482311,0.5149674620390455
"(64, 32)",64,0.4,0.021996353628136803,0.0001,0.5490799363638286,0.5201735357917571
"(64,)",128,0.14569502726727804,0.043459719706671326,0.0001,0.999,0.6841648590021692
"(64,)",122,0.12676174736122325,0.02,0.0001,0.999,0.688937093275488
"(64,)",119,0.15456648401005738,0.1,0.0001,0.999,0.5787418655097614
"(64,)",124,0.0,0.02,0.0001,0.999,0.582646420824295
"(64,)",128,0.11619079416930114,0.1,0.0001,0.999,0.6702819956616052
"(64,)",64,0.0,0.054986064329810375,0.0001,0.001,0.579175704989154
"(64,)",128,0.4,0.059071939623421,0.0001,0.999,0.6819956616052061
"(64,)",128,0.4,0.1,0.0001,0.999,0.6438177874186551
"(64,)",128,0.0,0.02,0.0001,0.999,0.586117136659436
"(64,)",64,0.1005334159228801,0.06863749698465565,0.09260390578611856,0.992987735670654,0.6039045553145336
"(64,)",121,0.16196036047561235,0.02,0.0001,0.999,0.6859002169197397
"(64,)",121,0.00445054494716109,0.02,0.0406250175964944,0.999,0.5921908893709328
"(64,)",121,0.30739157862220773,0.02,0.0001,0.4184068872877174,0.5709327548806942
"(64,)",123,0.3788552483491204,0.0590962202603381,0.0001,0.999,0.7023861171366594
"(64,)",124,0.267911450620628,0.044224850504704025,0.0001,0.999,0.6945770065075922
"(64,)",125,0.3274024089491947,0.05786354412136213,0.0396664539003215,0.999,0.5921908893709328
"(64,)",128,0.259695011153208,0.06839782274716688,0.0001,0.999,0.7002169197396964
"(64,)",125,0.3061614904059145,0.06221353159441152,0.0001,0.999,0.6863340563991324
"(64,)",128,0.19040818114967825,0.06438844342068414,0.0001,0.999,0.6681127982646421
