hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,precision
"(64, 32)",91,0.13817697100537238,0.07753202481238185,0.04916278144991648,0.3170041642868119,0.731239092495637
"(64,)",101,0.027990152526076912,0.052081404532896294,0.06276896923282792,0.24862263400693116,0.7329842931937173
"(64,)",108,0.11878047993480477,0.07054336141496405,0.044081692088601236,0.21255897268453766,0.7643979057591623
"(64, 32)",91,0.05955609954808919,0.05936678214338739,0.07405560943440534,0.2536593378213533,0.699825479930192
"(64,)",106,0.0747602853600133,0.03876103001458289,0.09880072912301509,0.3148993925289493,0.7399650959860384
"(64,)",124,0.16471594385869642,0.08800889573040577,0.03359743503553459,0.2042983686374985,0.7731239092495636
"(64,)",64,0.2,0.039791660736453016,0.0001,0.2,0.6649214659685864
"(64,)",110,0.2,0.1,0.0001,0.35,0.643979057591623
"(64,)",107,0.04458019431601592,0.09227665646243748,0.03611331830828988,0.35,0.7591623036649214
"(64, 32)",64,0.0,0.02,0.03159575760223111,0.2,0.5148342059336823
"(64,)",128,0.1404884566948315,0.1,0.06705835598801,0.29875851190880304,0.7452006980802792
"(64,)",124,0.16534867557448915,0.08627803099119927,0.043363990013429395,0.21605048402415877,0.7486910994764397
"(64, 32)",128,0.03075673543155691,0.1,0.0001,0.2,0.5916230366492147
"(64, 32)",65,0.2,0.027000959007922577,0.045380316586504446,0.2,0.6561954624781849
"(64,)",70,0.14282524543037523,0.02,0.028992475022025108,0.32657990481019367,0.7801047120418848
"(64, 32)",83,0.08189782860757241,0.1,0.1,0.3349736258886563,0.7242582897033158
"(64,)",83,0.08437565007553169,0.02,0.0001,0.2,0.6980802792321117
"(64,)",121,0.14971462073825278,0.02,0.03714363281026909,0.22382793268090806,0.7643979057591623
"(64,)",64,0.0,0.02,0.0235128244575854,0.2,0.7050610820244329
"(64,)",72,0.10121644057125251,0.1,0.0313621225173036,0.35,0.7678883071553229
"(64,)",64,0.2,0.02,0.028457807446378592,0.35,0.7835951134380453
"(64, 32)",128,0.07930685764541157,0.1,0.05744155258932999,0.35,0.7260034904013961
"(64,)",87,0.2,0.07982626526537152,0.08416841738939196,0.2,0.7452006980802792
"(64,)",64,0.2,0.07496229808390636,0.026567039321978958,0.2453031059658545,0.774869109947644
"(64,)",70,0.0,0.02,0.04576498430049914,0.2,0.7696335078534031
"(64,)",110,0.0,0.09012321346633877,0.08257185798026637,0.35,0.7364746945898778
"(64,)",87,0.04291295138788004,0.02,0.0483980024854415,0.35,0.7452006980802792
"(64, 32)",80,0.2,0.029031353505884563,0.09144974371798893,0.2,0.6492146596858639
"(64,)",95,0.2,0.0757881950742375,0.1,0.2,0.7417102966841187
"(64,)",65,0.2,0.03905536238908215,0.08947802396028182,0.35,0.7399650959860384
