hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,auc
"(64, 32)",91,0.27635394201074476,0.07753202481238185,0.04916278144991648,0.7794677063882551,0.666050449008692
"(64,)",101,0.055980305052153824,0.052081404532896294,0.06276896923282792,0.32450259159278205,0.6946562656432504
"(64,)",108,0.23756095986960954,0.07054336141496405,0.044081692088601236,0.08455903159445718,0.7001578309163722
"(64, 32)",91,0.11911219909617839,0.05936678214338739,0.07405560943440534,0.3580134609714038,0.6592531959634725
"(64,)",106,0.1495205707200266,0.03876103001458289,0.09880072912301509,0.765463958292609,0.6459487062557833
"(64,)",69,0.09778886537781986,0.045779608825591775,0.015272562628186858,0.36579182589835263,0.7144841804074451
"(64,)",94,0.1204980315906913,0.09615854456504477,0.0001,0.6547938820301207,0.7026360062117926
"(64, 32)",128,0.0,0.02,0.0001,0.001,0.6974350046645328
"(64,)",116,0.0,0.1,0.027746372256180384,0.001,0.7088236702289035
"(64,)",92,0.4,0.04665739939219653,0.0001,0.04581001630493489,0.6946079848838798
"(64,)",64,0.0,0.02,0.033954452596280146,0.999,0.7363302877978855
"(64,)",90,9.489434009397459e-20,0.02,0.0001,0.11989469804574508,0.7335713872624122
"(64,)",101,0.026931535536634417,0.020906067920842448,0.019552315538398438,0.7420004962450081,0.7037337594617964
"(64,)",64,0.0,0.02,0.0001,0.001,0.7230782977868119
"(64,)",64,0.0,0.1,0.021860495151356272,0.001,0.7097453421036664
"(64, 32)",64,0.0,0.02,0.0001,0.999,0.8071606504937578
"(64, 32)",128,0.0,0.1,0.0001,0.999,0.7853942051711845
"(64, 32)",91,0.4,0.02,0.0001,0.999,0.7444816300835823
"(64, 32)",95,0.030670384251381674,0.02106000139835362,0.09347018147409403,0.9924417800632864,0.7557417128695599
"(64,)",97,0.3784418013330041,0.021059570221189282,0.008358543861630659,0.9980575147107663,0.771981919246697
"(64, 32)",128,0.0,0.02,0.0001,0.999,0.762829954075209
"(64,)",64,0.0,0.1,0.0001,0.999,0.8119073578265552
"(64, 32)",106,0.21033470643586047,0.08807816779074279,0.09973091923551783,0.0056362192415641945,0.6575134531953946
"(64, 32)",113,0.39797702594112394,0.08057742945638548,0.09436379736906979,0.9972738492207341,0.7530660770899382
"(64, 32)",102,0.34794062634807166,0.08945033454014896,0.006201588650999757,0.9988414251507295,0.7213532501934075
"(64,)",64,0.0,0.02,0.0001,0.999,0.7087671175083051
"(64, 32)",64,0.0,0.1,0.0001,0.999,0.8015100240052788
"(64,)",64,0.0,0.1,0.1,0.999,0.7506053463889689
"(64, 32)",71,0.0,0.1,0.0001,0.9388824365687809,0.6621412955265993
"(64,)",125,0.00581502292301699,0.02871724357509796,0.016280310326400583,0.17843453587452876,0.7125748505832563
"(64,)",108,0.3703701717757086,0.0614703581791044,0.03433347430888667,0.5067022646004988,0.6958620995327882
"(64, 32)",94,0.0,0.1,0.0001,0.9857516120423322,0.6683004461644646
"(64, 32)",123,0.0,0.1,0.0009171752420073389,0.999,0.812418133655932
"(64, 32)",69,0.09425991354569908,0.1,0.0013297350835252337,0.999,0.8179798069338471
"(64, 32)",85,0.09967798712043652,0.1,0.08793600793846051,0.999,0.7533911485748526
"(64,)",90,0.0994109339361026,0.1,0.0001,0.999,0.7980436219149614
"(64,)",118,0.4,0.1,0.1,0.1350510955800467,0.6833411707598258
"(64,)",68,0.4,0.02,0.1,0.9868811537511284,0.7437934692747599
"(64, 32)",98,0.08641985181240647,0.0697991354041528,0.0001,0.999,0.8089849379199976
"(64, 32)",75,0.08044320959134053,0.1,0.0001,0.999,0.7419694899731505
"(64, 32)",73,0.0,0.1,0.0001,0.999,0.7565555885275245
"(64, 32)",68,0.3811729829749355,0.0945131321293469,0.08227629723927617,0.8596147271591856,0.6887896200870713
"(64,)",85,0.008624627022573874,0.07741996333420728,0.04281712344930873,0.43159172627735354,0.6888183467833685
"(64, 32)",128,0.4,0.02,0.1,0.999,0.7546334359783384
"(64, 32)",98,0.27471320303691177,0.049126905684437436,0.09974754581101059,0.581370818955196,0.621063613040972
"(64,)",128,0.4,0.1,0.0001,0.999,0.7756619465133565
"(64,)",128,0.0,0.1,0.0001,0.999,0.8267656963427028
"(64, 32)",89,0.3933044610793497,0.038207057535741065,0.0003081932886461873,0.2652902896592573,0.6937837040941705
"(64,)",75,0.1005914280481995,0.07178325735263022,0.09585150322825278,0.9942765073559168,0.751750693043399
"(64,)",118,0.16132916407642928,0.02330860157676776,0.09954240527018367,0.9987053088058842,0.7535485765590157
