hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,precision
"(64,)",64,0.4,0.02,0.0442082561178978,0.001,0.7731239092495636
"(64,)",64,0.4,0.1,0.0529031424409571,0.8070933667067098,0.7705061082024433
"(64,)",64,0.4,0.1,0.0657552760213498,0.7701419455524376,0.7713787085514834
"(64,)",64,0.1829601578709887,0.02,0.0501127923454641,0.001,0.7705061082024433
"(64,)",64,0.4,0.1,0.0285094721023982,0.8497502805992325,0.7696335078534031
"(64,)",78,0.4,0.05372038795043632,0.036833802915484846,0.12249048727686272,0.7731239092495636
"(64,)",136,0.3936505609518743,0.029947528887303357,0.09810237421588971,0.05204377010020549,-1.0
"(64, 32)",77,0.013729469580312958,0.09141051826545038,0.049112105599974094,0.9831447459229726,0.6989528795811519
"(64,)",94,0.4,0.02,0.1,0.001,0.7382198952879582
"(64,)",86,0.4,0.02,0.1,0.001,0.7443280977312391
"(64,)",70,0.4,0.02,0.1,0.001,0.7425828970331588
"(64,)",103,0.4,0.1,0.0001,0.0010000000000000109,0.6640488656195462
"(64, 32)",64,0.4,0.1,0.1,0.001,-1.0
"(64,)",94,0.02970314904134626,0.05215391505903495,0.08970216346842215,0.7510551626250086,-1.0
"(64,)",64,0.20400665338244656,0.02,0.0001,0.001,0.6413612565445026
"(64,)",64,0.18376162960082282,0.07318214152945611,0.006464336349905023,0.2915048140928367,0.6684118673647469
"(64,)",80,0.4,0.1,0.0001,0.001,0.6701570680628273
"(64, 32)",150,0.0,0.02,0.034918539102526354,0.001,-1.0
"(64,)",78,0.4,0.021838701961937438,0.05372662222899913,0.2224326316736691,0.7513089005235603
"(64,)",64,0.4,0.05828362091090311,0.05744966563407703,0.6620993044224137,0.7600349040139616
"(64,)",64,0.17395022557601322,0.02,0.09929381375844026,0.001,0.7478184991273996
"(64,)",64,0.4,0.1,0.03876428515075723,0.001,0.7748691099476439
"(64,)",102,0.14805078033853689,0.05383037719656182,0.03312519434877946,0.16196651627627165,0.7722513089005235
"(64,)",64,0.24817877122846843,0.09989907472780299,0.1,0.9354472645998223,0.7731239092495636
"(64,)",99,0.4,0.1,0.036861125986217845,0.1298788954716073,-1.0
"(64,)",64,0.18172212697530266,0.1,0.05733661586055374,0.001,0.7731239092495636
"(64,)",71,0.04644240474366484,0.09992883609904508,0.07956129312061833,0.8931519510435156,0.7731239092495636
"(64,)",64,0.1898822124845644,0.020171509558367225,0.06305959095547518,0.02318679016431591,0.7556719022687609
"(64,)",91,0.3085369008152017,0.05891180888216875,0.053765347930513074,0.6483720528185944,0.7408376963350785
"(64,)",64,0.4,0.021038933426910742,0.07851810640407611,0.26159583074062587,0.7443280977312391
"(64,)",81,0.08201423632010651,0.05453225481373898,0.026434637940777633,0.13820130088403212,0.7356020942408377
"(64,)",128,0.3905981999451728,0.05313424867390372,0.042336803666931155,0.14251913779987055,0.7748691099476439
"(64,)",80,0.4,0.02060329735542233,0.04245218089679492,0.2147593505119325,0.7626527050610821
"(64,)",68,0.2842539333104288,0.09915339627454589,0.05724004997019364,0.925340479872746,-1.0
"(64,)",119,0.36204020751388094,0.09998245610583063,0.09921141488362888,0.92837963977418,-1.0
"(64,)",99,0.13347101415934956,0.09987061094654456,0.09906876021749324,0.9360929970399979,-1.0
"(64,)",129,0.3722626165177682,0.05322198565427298,0.03895362946540359,0.3224551523924822,0.7609075043630018
"(64,)",79,0.3082061484717845,0.042714637839849336,0.03148825330415755,0.21221179869824058,0.7774869109947644
"(64,)",82,0.3588636507754493,0.05388529514024083,0.032812168362968255,0.9453942590533905,0.7478184991273997
"(64,)",72,0.2948064339355942,0.05377558488584869,0.03538279489572524,0.2736708625291968,0.7757417102966842
"(64,)",75,0.21657589548805484,0.05853597930052756,0.05588128742764249,0.3330809825922588,0.75043630017452
"(64,)",77,0.37375754654561816,0.0212363677797954,0.060943611096679555,0.37451084653878747,0.743455497382199
"(64,)",74,0.4,0.0200591071132128,0.045580331976647716,0.8898457951925104,0.7670157068062827
"(64,)",74,0.2633454445658277,0.0675518834573185,0.03946101794997992,0.12153761632531086,0.774869109947644
"(64,)",69,0.3076642051935365,0.09998594388167559,0.08114446054389862,0.44721417842564054,0.7539267015706806
"(64,)",104,0.10195113391049287,0.05365027577359048,0.038521504257011764,0.1299359782640355,0.7696335078534031
"(64,)",80,0.3924289274552988,0.02055314710391627,0.06937108892502906,0.7900027879706728,0.7582897033158813
"(64,)",73,0.2119356361517303,0.05367339440389965,0.024017652389093775,0.570272385402669,0.7678883071553229
"(64,)",79,0.22208255275254377,0.042649885795685176,0.044834946587354874,0.2616634076487125,0.7600349040139616
"(64,)",76,0.1439613598291522,0.04263943418251741,0.019909964302662446,0.9329025387186998,0.7486910994764397
