hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,precision
"(64, 32)",91,0.27635394201074476,0.07753202481238185,0.04916278144991648,0.7794677063882551,0.7486910994764397
"(64,)",101,0.055980305052153824,0.052081404532896294,0.06276896923282792,0.32450259159278205,0.743455497382199
"(64,)",108,0.23756095986960954,0.07054336141496405,0.044081692088601236,0.08455903159445718,0.7783595113438045
"(64, 32)",91,0.11911219909617839,0.05936678214338739,0.07405560943440534,0.3580134609714038,0.7137870855148342
"(64,)",106,0.1495205707200266,0.03876103001458289,0.09880072912301509,0.765463958292609,0.7382198952879581
"(64, 32)",101,0.22130186755893688,0.04081789090084732,0.010977159703215928,0.4612611691255045,0.7504363001745201
"(64,)",88,0.22996145056306938,0.08692882144891294,0.09637407401634832,0.001,0.743455497382199
"(64,)",122,0.3592288036613808,0.05994564709114278,0.03850410458900684,0.2802565487587066,0.7731239092495636
"(64,)",112,0.3428601707234994,0.09880038958399977,0.0001,0.4277720613457067,0.6631762652705061
"(64, 32)",67,0.07467207826784499,0.035491507287810684,0.03040922118335307,0.28968183715419143,0.7294938917975567
"(64, 32)",113,0.026993042219037557,0.06737426436958732,0.0001,0.8729519086191067,0.731239092495637
"(64, 32)",105,0.38642574408194785,0.07483434227391197,0.1,0.22035667377403934,0.7225130890052356
"(64,)",79,0.31603910221488335,0.021337720081639953,0.08033470095533714,0.7705791097032695,0.7539267015706806
"(64,)",64,0.08562895845904345,0.02,0.0504389111561416,0.999,0.5968586387434555
"(64,)",71,0.04549734907088074,0.06933666994986908,0.03826397820640621,0.259247054122054,0.774869109947644
"(64,)",128,0.4,0.02,0.0001,0.1811714361659774,0.6614310645724258
"(64,)",115,0.04567558050080713,0.044861352140576,0.03449869747785743,0.1622062312955047,0.7591623036649214
"(64,)",86,0.008199783890239258,0.024767839250249148,0.08302871816608516,0.3522993333363609,0.7399650959860384
"(64,)",64,0.0,0.1,0.04234302470348844,0.001,0.774869109947644
"(64,)",122,0.021874937198865227,0.048792520623542585,0.07566280885941813,0.7931332684708039,0.7207678883071553
"(64, 32)",75,0.11148787365058153,0.09671122693699692,0.0159078732019303,0.4985438594712196,0.7556719022687609
"(64,)",64,0.0,0.1,0.05453965518957893,0.001,0.7766143106457243
"(64, 32)",66,0.21454975302845825,0.1,0.02841127311099457,0.999,0.6090750436300174
"(64,)",117,0.2995644204106075,0.1,0.08979221610484966,0.2585946637900024,0.7417102966841187
"(64,)",64,0.0,0.1,0.06340922299076635,0.001,0.7643979057591623
"(64, 32)",64,0.4,0.02,0.07862077800575766,0.6499685823997979,0.7626527050610821
"(64,)",64,0.4,0.1,0.04965146106684627,0.001,0.7731239092495636
"(64, 32)",118,0.33645038331948046,0.02,0.027787968214716182,0.646631655136829,0.6666666666666666
"(64,)",88,0.23122258755051472,0.024857433600085382,0.005221609248442612,0.27012771013463927,0.6719022687609075
"(64,)",64,0.06078155089155726,0.03579763377263356,0.05903132180135547,0.16687474058872087,0.7382198952879581
"(64, 32)",125,0.2394554874322733,0.1,0.0690055405844246,0.999,0.5916230366492147
"(64,)",64,0.311957273997408,0.043223743577533856,0.1,0.5590532639076013,0.7539267015706806
"(64,)",128,0.0,0.09958844147998135,0.045850416017979706,0.039246765746443826,0.7731239092495636
"(64,)",64,0.0486429067783307,0.1,0.05214060217827279,0.5555686076885357,0.7294938917975567
"(64,)",64,0.23920285099499716,0.03661161888082999,0.08180096395429874,0.6899937886343882,0.7469458987783595
"(64,)",64,0.0,0.02,0.045583579054355144,0.007863934347857161,0.7643979057591623
"(64, 32)",80,0.365993989827699,0.1,0.04797888296393071,0.3905673631322853,0.7399650959860384
"(64, 32)",64,0.08321402799931936,0.1,0.043216871578199985,0.04699072870621482,0.7539267015706806
"(64, 32)",64,0.37472080156177506,0.02,0.08299262588530547,0.7430295900036634,0.7713787085514834
"(64,)",128,0.3701090033437904,0.1,0.04484988899853163,0.24422688117969205,0.7696335078534031
"(64, 32)",68,0.4,0.02,0.1,0.6507827536099167,0.7643979057591623
"(64, 32)",89,0.4,0.02,0.1,0.5113296344319715,0.7643979057591623
"(64, 32)",81,0.1813809251366297,0.02,0.03455249993001078,0.47163996224557136,0.7137870855148342
"(64,)",86,0.1408333680609166,0.020590278878570803,0.0804896054108147,0.001,0.7399650959860384
"(64, 32)",64,0.4,0.02,0.1,0.999,0.6893542757417103
"(64, 32)",71,0.33814367699819403,0.02,0.09050351750610289,0.563631295044984,0.7713787085514834
"(64,)",74,0.4,0.1,0.026486910330150208,0.001,0.7766143106457243
"(64,)",128,0.0,0.06399899177634573,0.034040328096529425,0.001,0.7417102966841187
"(64, 32)",64,0.0,0.1,0.0001,0.001,0.631762652705061
"(64,)",64,0.4,0.1,0.0372093642181962,0.047748408753044216,0.7766143106457243
