hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,f1_score
"(64,)",73,0.240492745288036,0.0812566250403676,0.0001,0.999,0.5838147380746554
"(64,)",85,0.2256622180414623,0.1,0.0001,0.999,0.5705329153605017
"(64, 32)",85,0.0708928749144852,0.065717888730391,0.0025024238867028,0.9986362703880188,0.5618006152056676
"(64,)",150,0.2564826479560982,0.1,0.0001,0.999,0.5593911312862423
"(64,)",84,0.2823084046497272,0.0814097873538255,0.0023906932849012,0.999,0.5577755684373684
"(64,)",65,0.1855637327332195,0.0567040934053291,0.0012693690911843556,0.18977339437708599,0.467966573816156
"(64, 32)",64,0.2520781676027429,0.04584415287176437,0.0001,0.759675686303396,-1.0
"(64,)",64,0.0,0.02517636193670341,0.03461468262624268,0.9903164877069467,0.491415313225058
"(64,)",76,0.3934360878620712,0.09305448372359905,0.003639997791577523,0.043039214787328535,-1.0
"(64,)",96,0.09015659449660751,0.02460105376554243,0.00029556259980558923,0.24939665622318377,0.5034015232161668
"(64, 32)",69,0.14986574226617305,0.056626971389250824,0.1,0.3964909864302016,-1.0
"(64,)",87,0.059647711416961784,0.09615477296709347,0.1,0.4068723639982337,-1.0
"(64, 32)",150,0.36729677868318455,0.04945938480228654,0.1,0.22155680440227132,0.3880181121560432
"(64,)",64,0.3996491850383599,0.1,0.0001,0.9411220080614694,0.4522483087942698
"(64, 32)",150,0.2522932337858633,0.1,0.0001,0.22095826872953095,-1.0
"(64,)",77,0.06737717864414637,0.041735920550444006,0.0103606279655777,0.25843977497713505,0.46218097447795825
"(64,)",150,0.17742416578003561,0.02,0.08126899448676067,0.20817398070267912,0.43613211301233584
"(64,)",99,0.06824572039879032,0.02,0.04152961451995416,0.18290345831066873,0.4534421010744131
"(64,)",64,0.0,0.08272654099139994,0.0001,0.999,0.4984326018808778
"(64, 32)",120,0.18876412206123325,0.02,0.0001,0.9931142592324993,0.46677278153601276
"(64,)",64,0.4,0.0497001716193648,0.1,0.999,0.5073617190608835
"(64,)",64,0.0,0.03892521365431399,0.0001,0.1941644075091266,-1.0
"(64,)",88,0.10070919427672789,0.043034675843554394,0.014067425907338338,0.5594622724144782,0.4582366589327146
"(64,)",65,0.2608988485512593,0.055577911427571985,0.01477198276161884,0.1859621459928011,0.45469646007812736
"(64,)",64,0.0,0.07652745504378289,0.0001,0.999,0.48049460118425635
"(64,)",96,0.21581818575424738,0.04258052520744437,0.04296113961099277,0.2872234025608471,0.4464783127735774
"(64, 32)",64,0.4,0.059440213488002505,0.024367040796109542,0.999,0.48223615464994773
"(64,)",91,0.037051308062025674,0.02348449400325159,0.059133695291468585,0.2902394697346394,0.4458814166335058
"(64, 32)",72,0.2516513775204788,0.03903148816372984,0.051918057823563415,0.999,0.49781138081973736
"(64, 32)",64,0.4,0.07947731957399123,0.055720796644238235,0.9563180296223809,0.48589341692789967
"(64,)",65,0.0565500413163835,0.03205293682050996,0.052897845148172036,0.5522977499129976,0.4369279745324314
"(64, 32)",71,0.4,0.053247409709633736,0.09677460714733598,0.24869444237530305,-1.0
"(64, 32)",150,0.32418375524049836,0.047189531880694774,0.1,0.20537743005881962,-1.0
"(64,)",69,0.2553662679747181,0.06699035421409662,0.0001,0.1893219441652675,0.469558296856347
"(64, 32)",95,0.34494514735242926,0.02,0.0141968212865713,0.22246773474858397,-1.0
"(64,)",83,0.14593626774362442,0.02,0.04965275450511849,0.1772007178576639,0.4446876243533625
"(64,)",112,0.2369859971588195,0.02,0.02221877721194567,0.21464569528441693,0.4591647331786543
"(64,)",115,0.1010445131097601,0.038773430526608324,0.05178144748059581,0.9952802420907146,0.49071925754060325
"(64, 32)",111,0.07480977154135994,0.0762192405961576,0.09438311983423109,0.9949571307450849,0.5043772383605253
"(64,)",68,0.4,0.08827039991325214,0.046462842600932426,0.9941267967363973,0.4960556844547564
"(64,)",65,0.11517036822570664,0.027648959521400864,0.01563850570209964,0.2685019021768938,0.45264623955431754
"(64, 32)",97,0.0,0.06568370316979509,0.01188736528575362,0.9853332680797279,-1.0
"(64, 32)",108,0.00460618980506069,0.0788447564069726,0.08489390612764436,0.999,0.507958615200955
"(64,)",76,0.16044865040336034,0.02,0.02166822972257463,0.2575043595333506,0.45893271461716934
"(64, 32)",125,0.0,0.02,0.09295194720853482,0.999,0.5085555113410266
"(64,)",71,0.08568649059216997,0.023404558908073678,0.018580054536565544,0.28014715509038446,0.45125348189415043
"(64,)",64,0.4,0.02,0.011870803196813788,0.999,0.5163151611619579
"(64, 32)",87,0.23090736135243836,0.08338772993141448,0.07929763736846734,0.9486517731749319,-1.0
"(64, 32)",112,0.3960328151962009,0.07757709829668247,0.09499330839388069,0.9598564190705318,-1.0
"(64,)",150,0.17998351440374538,0.02,0.052432595810144776,0.2150552748676715,0.4462793473935535
