hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,f1_score
"(64, 32)",91,0.27635394201074476,0.07753202481238185,0.04916278144991648,0.6680166571472477,0.4099616858237548
"(64,)",101,0.055980305052153824,0.052081404532896294,0.06276896923282792,0.3944905360277247,0.42857142857142855
"(64,)",108,0.23756095986960954,0.07054336141496405,0.044081692088601236,0.2502358907381506,0.4432948666931954
"(64, 32)",91,0.11911219909617839,0.05936678214338739,0.07405560943440534,0.4146373512854131,0.3887147335423197
"(64,)",106,0.1495205707200266,0.03876103001458289,0.09880072912301509,0.6595975701157971,0.38732149076976663
"(64,)",75,0.265613617306535,0.02675325993169848,0.019679060330850977,0.4028346528407275,0.45284520493434144
"(64,)",128,0.0,0.1,0.0001,0.2,0.4656913967258795
"(64, 32)",123,0.15068525342677777,0.020700734069033767,0.00022057854218375848,0.2827595834307444,0.4369279745324314
"(64,)",123,0.37723832250647565,0.029729177773412954,0.0017238530317730241,0.7796211117667071,0.4631090487238979
"(64,)",68,0.3719524128453375,0.09181482714251647,0.0015590666475347494,0.7680510621458747,0.4603248259860789
"(64,)",128,0.0,0.1,0.0001,0.8,0.4607888631090487
"(64,)",128,0.4,0.02,0.0001,0.2,0.44129930394431555
"(64, 32)",80,0.06336400269525319,0.1,0.0001,0.2,0.46000795861520094
"(64, 32)",128,0.0,0.1,0.0001,0.8,0.47234381217668125
"(64, 32)",64,0.0,0.02,0.0001,0.8,0.45841623557500993
"(64,)",128,0.0,0.02,0.03006712753540248,0.8,0.42493904562870083
"(64,)",128,0.0,0.1,0.016999798399429694,0.2,0.4496617588539594
"(64, 32)",124,0.3027801678397707,0.1,0.0001,0.5443263707517562,0.43294866693195383
